Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1.zip,S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A.zip,56,12
S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1.zip,S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A.zip,100,24
S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1.zip,S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E.zip,104,36
S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A.zip,S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A.zip,44,12
S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A.zip,S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E.zip,48,24
S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A.zip,S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,41,36
S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A.zip,S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E.zip,4,12
S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A.zip,S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,3,24
S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A.zip,S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05.zip,55,36
S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E.zip,S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,7,12
S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E.zip,S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05.zip,59,24
S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211111T125513_20211111T125543_040524_04CE50_B09E.zip,S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A.zip,81,36
S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211205T125512_20211205T125542_040874_04DA78_6B05.zip,52,12
S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211123T125512_20211123T125542_040699_04D45B_75A3.zip,S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20211217T125511_20211217T125541_041049_04E069_9F5A.zip,74,24
