job_name,job_id,pair_id,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,burst_count,is_added_pair,looks,apply_water_mask,status,submitted_at,batch_index,run_id
delhi_ncr_sbas_d136_v1_val_20211002_20211014,97f89ba3-f023-4fea-a32d-5fc2920d0397,d136_20211002_20211014,2021-10-02,2021-10-14,12,48.0,4,False,10x2,True,PENDING,2026-09-22T10:45:50.401223+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211002_20211026,b58d9d20-c111-48ca-a15d-8b8f4a858c1e,d136_20211002_20211026,2021-10-02,2021-10-26,24,34.0,4,False,10x2,True,PENDING,2026-09-22T10:45:51.079720+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211002_20211107,d49540f5-a210-4da3-b5f0-57b8e5b587ff,d136_20211002_20211107,2021-10-02,2021-11-07,36,3.0,4,False,10x2,True,PENDING,2026-09-22T10:45:52.005736+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211014_20211026,e8b54616-29ad-40d5-9a6b-d4ad26f7f19b,d136_20211014_20211026,2021-10-14,2021-10-26,12,82.0,4,False,10x2,True,PENDING,2026-09-22T10:45:52.943581+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211014_20211107,f82611d6-f29b-4574-b692-929d9f584933,d136_20211014_20211107,2021-10-14,2021-11-07,24,45.0,4,False,10x2,True,PENDING,2026-09-22T10:45:53.585964+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211014_20211119,52f58fc8-3f64-4c4c-ba22-465c8a71869a,d136_20211014_20211119,2021-10-14,2021-11-19,36,114.0,4,False,10x2,True,PENDING,2026-09-22T10:45:54.522824+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211026_20211107,1a0393bc-898e-4f60-9923-9ff913103c85,d136_20211026_20211107,2021-10-26,2021-11-07,12,37.0,4,False,10x2,True,PENDING,2026-09-22T10:45:55.489507+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211026_20211119,712762ca-74bb-4a63-ab52-3d9284eb3dc2,d136_20211026_20211119,2021-10-26,2021-11-19,24,34.0,4,False,10x2,True,PENDING,2026-09-22T10:45:56.419161+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211026_20211201,e5db95f7-04af-417c-ad86-3c55ff09f181,d136_20211026_20211201,2021-10-26,2021-12-01,36,35.0,4,False,10x2,True,PENDING,2026-09-22T10:45:57.149837+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211107_20211119,87f21ba3-9f71-4a41-878d-aa10cfc8b070,d136_20211107_20211119,2021-11-07,2021-11-19,12,69.0,4,False,10x2,True,PENDING,2026-09-22T10:45:58.073974+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211107_20211201,55cdc705-9c40-4441-aafd-7a9757ee935b,d136_20211107_20211201,2021-11-07,2021-12-01,24,3.0,4,False,10x2,True,PENDING,2026-09-22T10:45:59.015943+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211107_20211213,d43edfa8-f18a-4bcb-83ce-81bc64d7a494,d136_20211107_20211213,2021-11-07,2021-12-13,36,21.0,4,False,10x2,True,PENDING,2026-09-22T10:45:59.958906+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211119_20211201,be8c4354-bc6c-4502-960d-b71b02866eeb,d136_20211119_20211201,2021-11-19,2021-12-01,12,69.0,4,False,10x2,True,PENDING,2026-09-22T10:46:00.625386+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211119_20211213,98674e28-6359-42d7-8c21-f24f5097b47d,d136_20211119_20211213,2021-11-19,2021-12-13,24,82.0,4,False,10x2,True,PENDING,2026-09-22T10:46:01.297210+00:00,1,20260922T104548Z
delhi_ncr_sbas_d136_v1_val_20211201_20211213,a3193027-f81e-433a-8651-9daa4b854d80,d136_20211201_20211213,2021-12-01,2021-12-13,12,24.0,4,False,10x2,True,PENDING,2026-09-22T10:46:01.923871+00:00,1,20260922T104548Z
