reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,perpendicular_baseline_max_abs_m,is_bridge,added_pair_role,bursts,reference_scenes,secondary_scenes
2021-10-02,2021-10-14,12,-48.0,48.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211002T005231_VV_BC6A-BURST|S1_290875_IW1_20211002T005234_VV_BC6A-BURST|S1_290876_IW1_20211002T005237_VV_BC6A-BURST|S1_290877_IW1_20211002T005240_VV_BC6A-BURST,S1_290874_IW1_20211014T005231_VV_37A1-BURST|S1_290875_IW1_20211014T005234_VV_37A1-BURST|S1_290876_IW1_20211014T005237_VV_37A1-BURST|S1_290877_IW1_20211014T005240_VV_37A1-BURST
2021-10-02,2021-10-26,24,33.25,34.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211002T005231_VV_BC6A-BURST|S1_290875_IW1_20211002T005234_VV_BC6A-BURST|S1_290876_IW1_20211002T005237_VV_BC6A-BURST|S1_290877_IW1_20211002T005240_VV_BC6A-BURST,S1_290874_IW1_20211026T005231_VV_BF6F-BURST|S1_290875_IW1_20211026T005234_VV_BF6F-BURST|S1_290876_IW1_20211026T005237_VV_BF6F-BURST|S1_290877_IW1_20211026T005240_VV_BF6F-BURST
2021-10-02,2021-11-07,36,-3.0,3.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211002T005231_VV_BC6A-BURST|S1_290875_IW1_20211002T005234_VV_BC6A-BURST|S1_290876_IW1_20211002T005237_VV_BC6A-BURST|S1_290877_IW1_20211002T005240_VV_BC6A-BURST,S1_290874_IW1_20211107T005231_VV_E448-BURST|S1_290875_IW1_20211107T005234_VV_E448-BURST|S1_290876_IW1_20211107T005237_VV_E448-BURST|S1_290877_IW1_20211107T005239_VV_E448-BURST
2021-10-14,2021-10-26,12,81.25,82.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211014T005231_VV_37A1-BURST|S1_290875_IW1_20211014T005234_VV_37A1-BURST|S1_290876_IW1_20211014T005237_VV_37A1-BURST|S1_290877_IW1_20211014T005240_VV_37A1-BURST,S1_290874_IW1_20211026T005231_VV_BF6F-BURST|S1_290875_IW1_20211026T005234_VV_BF6F-BURST|S1_290876_IW1_20211026T005237_VV_BF6F-BURST|S1_290877_IW1_20211026T005240_VV_BF6F-BURST
2021-10-14,2021-11-07,24,45.0,45.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211014T005231_VV_37A1-BURST|S1_290875_IW1_20211014T005234_VV_37A1-BURST|S1_290876_IW1_20211014T005237_VV_37A1-BURST|S1_290877_IW1_20211014T005240_VV_37A1-BURST,S1_290874_IW1_20211107T005231_VV_E448-BURST|S1_290875_IW1_20211107T005234_VV_E448-BURST|S1_290876_IW1_20211107T005237_VV_E448-BURST|S1_290877_IW1_20211107T005239_VV_E448-BURST
2021-10-14,2021-11-19,36,111.0,114.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211014T005231_VV_37A1-BURST|S1_290875_IW1_20211014T005234_VV_37A1-BURST|S1_290876_IW1_20211014T005237_VV_37A1-BURST|S1_290877_IW1_20211014T005240_VV_37A1-BURST,S1_290874_IW1_20211119T005231_VV_DA0A-BURST|S1_290875_IW1_20211119T005234_VV_DA0A-BURST|S1_290876_IW1_20211119T005236_VV_DA0A-BURST|S1_290877_IW1_20211119T005239_VV_DA0A-BURST
2021-10-26,2021-11-07,12,-36.25,37.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211026T005231_VV_BF6F-BURST|S1_290875_IW1_20211026T005234_VV_BF6F-BURST|S1_290876_IW1_20211026T005237_VV_BF6F-BURST|S1_290877_IW1_20211026T005240_VV_BF6F-BURST,S1_290874_IW1_20211107T005231_VV_E448-BURST|S1_290875_IW1_20211107T005234_VV_E448-BURST|S1_290876_IW1_20211107T005237_VV_E448-BURST|S1_290877_IW1_20211107T005239_VV_E448-BURST
2021-10-26,2021-11-19,24,29.75,34.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211026T005231_VV_BF6F-BURST|S1_290875_IW1_20211026T005234_VV_BF6F-BURST|S1_290876_IW1_20211026T005237_VV_BF6F-BURST|S1_290877_IW1_20211026T005240_VV_BF6F-BURST,S1_290874_IW1_20211119T005231_VV_DA0A-BURST|S1_290875_IW1_20211119T005234_VV_DA0A-BURST|S1_290876_IW1_20211119T005236_VV_DA0A-BURST|S1_290877_IW1_20211119T005239_VV_DA0A-BURST
2021-10-26,2021-12-01,36,-34.25,35.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211026T005231_VV_BF6F-BURST|S1_290875_IW1_20211026T005234_VV_BF6F-BURST|S1_290876_IW1_20211026T005237_VV_BF6F-BURST|S1_290877_IW1_20211026T005240_VV_BF6F-BURST,S1_290874_IW1_20211201T005230_VV_3579-BURST|S1_290875_IW1_20211201T005233_VV_3579-BURST|S1_290876_IW1_20211201T005236_VV_3579-BURST|S1_290877_IW1_20211201T005239_VV_3579-BURST
2021-11-07,2021-11-19,12,66.0,69.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211107T005231_VV_E448-BURST|S1_290875_IW1_20211107T005234_VV_E448-BURST|S1_290876_IW1_20211107T005237_VV_E448-BURST|S1_290877_IW1_20211107T005239_VV_E448-BURST,S1_290874_IW1_20211119T005231_VV_DA0A-BURST|S1_290875_IW1_20211119T005234_VV_DA0A-BURST|S1_290876_IW1_20211119T005236_VV_DA0A-BURST|S1_290877_IW1_20211119T005239_VV_DA0A-BURST
2021-11-07,2021-12-01,24,2.0,3.0,False,,136_290874_IW1|136_290875_IW1|136_290876_IW1|136_290877_IW1,S1_290874_IW1_20211107T005231_VV_E448-BURST|S1_290875_IW1_20211107T005234_VV_E448-BURST|S1_290876_IW1_20211107T005237_VV_E448-BURST|S1_290877_IW1_20211107T005239_VV_E448-BURST,S1_290874_IW1_20211201T005230_VV_3579-BURST|S1_290875_IW1_20211201T005233_VV_3579-BURST|S1_290876_IW1_20211201T005236_VV_3579-BURST|S1_290877_IW1_20211201T005239_VV_3579-BURST
