date,inventory_status,in_accepted_acquisitions,HyP3_status,mintpy_loaded,used_in_inversion,era5_hour01_available,reason_if_excluded
2021-10-02,present in 4/4 bursts,True,PENDING,True,True,True,
2021-10-14,present in 4/4 bursts,True,PENDING,True,True,True,
2021-10-26,present in 4/4 bursts,True,PENDING,True,True,True,
2021-11-07,present in 4/4 bursts,True,PENDING,True,True,True,
2021-11-19,present in 4/4 bursts,True,PENDING,True,True,True,
2021-12-01,present in 4/4 bursts,True,PENDING,True,True,True,
2021-12-13,present in 4/4 bursts,True,PENDING,True,True,True,
2022-01-06,present in 4/4 bursts,True,PENDING,True,True,True,
2022-01-18,present in 4/4 bursts,True,PENDING,True,True,True,
2022-01-30,present in 4/4 bursts,True,PENDING,True,True,True,
2022-02-11,present in 4/4 bursts,True,PENDING,True,True,True,
2022-02-23,present in 4/4 bursts,True,PENDING,True,True,True,
2022-03-07,present in 4/4 bursts,True,PENDING,True,True,True,
2022-03-19,present in 4/4 bursts,True,PENDING,True,True,True,
2022-03-31,present in 4/4 bursts,True,PENDING,True,True,True,
2022-04-12,present in 4/4 bursts,True,PENDING,True,True,True,
2022-05-18,present in 4/4 bursts,True,PENDING,True,True,True,
2022-05-30,present in 4/4 bursts,True,PENDING,True,True,True,
2022-06-11,present in 4/4 bursts,True,PENDING,True,True,True,
2022-06-23,present in 4/4 bursts,True,PENDING,True,True,True,
2022-07-05,present in 4/4 bursts,True,PENDING,True,True,True,
2022-07-17,present in 4/4 bursts,True,PENDING,True,True,True,
2022-07-29,present in 4/4 bursts,True,PENDING,True,True,True,
2022-08-10,present in 4/4 bursts,True,PENDING,True,True,True,
2022-11-26,present in 4/4 bursts,True,PENDING,True,True,True,
2022-12-20,present in 4/4 bursts,True,PENDING,True,True,True,
2023-01-01,present in 4/4 bursts,True,PENDING,True,True,True,
2023-01-25,present in 4/4 bursts,True,PENDING,True,True,True,
2023-02-18,present in 4/4 bursts,True,PENDING,True,True,True,
2023-03-14,present in 4/4 bursts,True,PENDING,True,True,True,
2023-04-07,present in 4/4 bursts,True,PENDING,True,True,True,
2023-05-01,present in 4/4 bursts,True,PENDING,True,True,True,
2023-05-13,present in 4/4 bursts,True,PENDING,True,True,True,
2023-05-25,present in 4/4 bursts,True,PENDING,True,True,True,
2023-06-06,present in 4/4 bursts,True,PENDING,True,True,True,
2023-06-18,present in 4/4 bursts,True,PENDING,True,True,True,
2023-06-30,present in 4/4 bursts,True,PENDING,True,True,True,
2023-07-12,present in 4/4 bursts,True,PENDING,True,True,True,
2023-07-24,present in 4/4 bursts,True,PENDING,True,True,True,
2023-08-05,present in 4/4 bursts,True,PENDING,True,True,True,
2023-08-17,present in 4/4 bursts,True,PENDING,True,True,True,
2023-08-29,present in 4/4 bursts,True,PENDING,True,True,True,
2023-09-22,present in 4/4 bursts,True,PENDING,True,True,True,
2023-10-16,present in 4/4 bursts,True,PENDING,True,True,True,
2023-11-09,present in 4/4 bursts,True,PENDING,True,True,True,
2023-12-03,present in 4/4 bursts,True,PENDING,True,True,True,
2023-12-27,present in 4/4 bursts,True,PENDING,True,True,True,
2024-01-08,present in 4/4 bursts,True,PENDING,True,True,True,
2024-01-20,present in 4/4 bursts,True,PENDING,True,True,True,
2024-02-25,present in 4/4 bursts,True,PENDING,True,True,True,
2024-03-08,present in 4/4 bursts,True,PENDING,True,True,True,
2024-03-20,present in 4/4 bursts,True,PENDING,True,True,True,
2024-04-01,present in 4/4 bursts,True,PENDING,True,True,True,
2024-04-13,present in 4/4 bursts,True,not used in any pair,False,False,False,DROPPED: unconnectable within |B_perp| <= 250 m to any neighbour
2024-04-25,present in 4/4 bursts,True,PENDING,True,True,True,
2024-05-19,present in 4/4 bursts,True,PENDING,True,True,True,
2024-05-31,present in 4/4 bursts,True,PENDING,True,True,True,
2024-07-18,present in 4/4 bursts,True,PENDING,True,True,True,
2024-08-23,present in 4/4 bursts,True,PENDING,True,True,True,
2024-09-04,present in 4/4 bursts,True,PENDING,True,True,True,
2024-09-16,present in 4/4 bursts,True,PENDING,True,True,True,
2024-09-28,present in 4/4 bursts,True,PENDING,True,True,True,
2024-10-10,present in 4/4 bursts,True,PENDING,True,True,True,
2024-10-22,present in 4/4 bursts,True,PENDING,True,True,True,
2024-11-03,present in 4/4 bursts,True,PENDING,True,True,True,
2024-11-15,present in 4/4 bursts,True,PENDING,True,True,True,
2024-11-27,present in 4/4 bursts,True,PENDING,True,True,True,
2024-12-09,present in 4/4 bursts,True,PENDING,True,True,True,
2024-12-21,present in 4/4 bursts,True,PENDING,True,True,True,
2025-01-02,present in 4/4 bursts,True,PENDING,True,True,True,
2025-01-14,present in 4/4 bursts,True,PENDING,True,True,True,
2025-01-26,present in 4/4 bursts,True,PENDING,True,True,True,
2025-02-07,present in 4/4 bursts,True,PENDING,True,True,True,
2025-02-19,present in 4/4 bursts,True,PENDING,True,True,True,
2025-03-03,present in 4/4 bursts,True,PENDING,True,True,True,
2025-03-15,present in 4/4 bursts,True,PENDING,True,True,True,
2025-03-27,present in 4/4 bursts,True,PENDING,True,True,True,
2025-04-08,present in 4/4 bursts,True,PENDING,True,True,True,
2025-04-20,present in 4/4 bursts,True,PENDING,True,True,True,
2025-05-02,present in 4/4 bursts,True,PENDING,True,True,True,
2025-05-14,present in 4/4 bursts,True,PENDING,True,True,True,
2025-05-26,present in 4/4 bursts,True,PENDING,True,True,True,
2025-06-07,present in 4/4 bursts,True,PENDING,True,True,True,
2025-06-19,present in 4/4 bursts,True,PENDING,True,True,True,
2025-07-01,present in 4/4 bursts,True,PENDING,True,True,True,
2025-07-13,present in 4/4 bursts,True,PENDING,True,True,True,
2025-07-25,present in 4/4 bursts,True,PENDING,True,True,True,
2025-08-06,present in 4/4 bursts,True,PENDING,True,True,True,
2025-08-18,present in 4/4 bursts,True,PENDING,True,True,True,
2025-08-30,present in 4/4 bursts,True,PENDING,True,True,True,
2025-09-11,present in 4/4 bursts,True,PENDING,True,True,True,
2025-09-23,present in 4/4 bursts,True,PENDING,True,True,True,
