reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,added_pair_role,coherence_median,coherence_p25,residual_median_rad,note
2022-03-31,2022-05-30,60,43.75,remove_bridge,0.6034,0.3418,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2022-07-29,2022-11-26,120,212.0,remove_bridge,0.4649,0.3054,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2022-08-10,2022-11-26,108,213.0,connect_components,0.4999,0.3106,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2022-11-26,2023-01-25,60,-152.75,remove_bridge,0.6736,0.3745,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2023-01-01,2023-05-01,120,50.5,remove_bridge,0.574,0.3327,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2023-08-29,2023-12-27,120,-46.0,remove_bridge,0.5167,0.3156,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2024-01-08,2024-03-08,60,-74.25,remove_bridge,0.7512,0.4242,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2024-04-01,2024-05-19,48,190.75,reduce_articulation,0.6586,0.3936,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2024-05-19,2024-09-16,120,-122.5,remove_bridge,0.4769,0.3078,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
2024-05-31,2024-07-18,48,-49.25,connect_components,0.638,0.3406,0.6329,"residue is the per-pixel median residual from velocity.h5, reported as a stack context value; per-PAIR residual ranking is provided by the coherence rank"
