hotspot_id,assumed_north_mm_per_yr,vertical_mm_per_yr,east_west_mm_per_yr,vertical_change_from_zero_mm_per_yr,ew_change_from_zero_mm_per_yr
H001,-5.0,-73.266,42.796,0.802,0.112
H001,-2.0,-73.747,42.728,0.321,0.045
H001,0.0,-74.068,42.684,0.0,0.0
H001,2.0,-74.389,42.639,-0.321,-0.045
H001,5.0,-74.87,42.572,-0.802,-0.112
H002,-5.0,-27.272,13.29,0.802,0.112
H002,-2.0,-27.753,13.223,0.321,0.045
H002,0.0,-28.074,13.178,0.0,0.0
H002,2.0,-28.395,13.133,-0.321,-0.045
H002,5.0,-28.876,13.066,-0.802,-0.112
H003,-5.0,-21.162,6.802,0.802,0.112
H003,-2.0,-21.643,6.735,0.321,0.045
H003,0.0,-21.964,6.69,0.0,0.0
H003,2.0,-22.285,6.645,-0.321,-0.045
H003,5.0,-22.766,6.578,-0.802,-0.112
H004,-5.0,-36.758,23.998,0.802,0.112
H004,-2.0,-37.24,23.931,0.321,0.045
H004,0.0,-37.56,23.886,0.0,0.0
H004,2.0,-37.881,23.842,-0.321,-0.045
H004,5.0,-38.362,23.774,-0.802,-0.112
H005,-5.0,-30.962,16.901,0.802,0.112
H005,-2.0,-31.443,16.834,0.321,0.045
H005,0.0,-31.764,16.789,0.0,0.0
H005,2.0,-32.085,16.744,-0.321,-0.045
H005,5.0,-32.566,16.677,-0.802,-0.112
