date,acquisition_key,burst_count,platforms,absolute_orbit,missing_bursts,burst_scene_names_json
2021-10-06,27|SENTINEL-1A|2021-10-06,4,SENTINEL-1A,39999,,"{""027_056011_IW2"": ""S1_056011_IW2_20211006T125536_VV_4BD1-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211006T125539_VV_4BD1-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211006T125541_VV_3B97-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211006T125544_VV_3B97-BURST""}"
2021-10-18,27|SENTINEL-1A|2021-10-18,4,SENTINEL-1A,40174,,"{""027_056011_IW2"": ""S1_056011_IW2_20211018T125536_VV_F83A-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211018T125539_VV_F83A-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211018T125542_VV_8434-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211018T125544_VV_8434-BURST""}"
2021-10-30,27|SENTINEL-1A|2021-10-30,4,SENTINEL-1A,40349,,"{""027_056011_IW2"": ""S1_056011_IW2_20211030T125536_VV_6B5A-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211030T125539_VV_6B5A-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211030T125542_VV_A8F8-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211030T125544_VV_A8F8-BURST""}"
2021-11-11,27|SENTINEL-1A|2021-11-11,4,SENTINEL-1A,40524,,"{""027_056011_IW2"": ""S1_056011_IW2_20211111T125536_VV_B09E-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211111T125538_VV_B09E-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211111T125541_VV_EA07-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211111T125544_VV_EA07-BURST""}"
2021-11-23,27|SENTINEL-1A|2021-11-23,4,SENTINEL-1A,40699,,"{""027_056011_IW2"": ""S1_056011_IW2_20211123T125535_VV_75A3-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211123T125538_VV_75A3-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211123T125541_VV_DD2D-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211123T125544_VV_DD2D-BURST""}"
2021-12-05,27|SENTINEL-1A|2021-12-05,4,SENTINEL-1A,40874,,"{""027_056011_IW2"": ""S1_056011_IW2_20211205T125535_VV_6B05-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211205T125538_VV_6B05-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211205T125540_VV_AACE-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211205T125543_VV_AACE-BURST""}"
2021-12-17,27|SENTINEL-1A|2021-12-17,4,SENTINEL-1A,41049,,"{""027_056011_IW2"": ""S1_056011_IW2_20211217T125534_VV_9F5A-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211217T125537_VV_9F5A-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211217T125540_VV_3ADB-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211217T125543_VV_3ADB-BURST""}"
2021-12-29,27|SENTINEL-1A|2021-12-29,4,SENTINEL-1A,41224,,"{""027_056011_IW2"": ""S1_056011_IW2_20211229T125534_VV_F2C2-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20211229T125536_VV_F2C2-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20211229T125539_VV_DF14-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20211229T125542_VV_DF14-BURST""}"
2022-01-10,27|SENTINEL-1A|2022-01-10,4,SENTINEL-1A,41399,,"{""027_056011_IW2"": ""S1_056011_IW2_20220110T125533_VV_C5F0-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20220110T125536_VV_C5F0-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20220110T125539_VV_4A4F-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20220110T125542_VV_4A4F-BURST""}"
2022-01-22,27|SENTINEL-1A|2022-01-22,4,SENTINEL-1A,41574,,"{""027_056011_IW2"": ""S1_056011_IW2_20220122T125533_VV_7B5A-BURST"", ""027_056012_IW2"": ""S1_056012_IW2_20220122T125535_VV_7B5A-BURST"", ""027_056013_IW2"": ""S1_056013_IW2_20220122T125538_VV_2473-BURST"", ""027_056014_IW2"": ""S1_056014_IW2_20220122T125541_VV_2473-BURST""}"
