date,start_time,scene_name,full_burst_id,relative_burst_id,absolute_burst_id,burst_index,subswath,azimuth_time,azimuth_anx_time,path,direction,polarization,platform,absolute_orbit,group_id,bytes,url,query_method
2021-10-06,2021-10-06T12:55:37.471211+00:00,S1_056011_IW2_20211006T125536_VV_4BD1-BURST,027_056011_IW2,56011,85912984,8,IW2,2021-10-06T12:55:36.455828,454.1446225494,27,ASCENDING,VV,SENTINEL-1A,39999,S1A_IWDV_0086_0092_039999_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1/IW2/VV/8.tiff,cmr_umm
2021-10-06,2021-10-06T12:55:40.229488+00:00,S1_056012_IW2_20211006T125539_VV_4BD1-BURST,027_056012_IW2,56012,85912985,9,IW2,2021-10-06T12:55:39.212329,456.9011235477,27,ASCENDING,VV,SENTINEL-1A,39999,S1A_IWDV_0086_0092_039999_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211006T125513_20211006T125543_039999_04BC10_4BD1/IW2/VV/9.tiff,cmr_umm
2021-10-06,2021-10-06T12:55:42.987764+00:00,S1_056013_IW2_20211006T125541_VV_3B97-BURST,027_056013_IW2,56013,85912986,0,IW2,2021-10-06T12:55:41.970885,459.6596795546,27,ASCENDING,VV,SENTINEL-1A,39999,S1A_IWDV_0091_0097_039999_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211006T125541_20211006T125608_039999_04BC10_3B97/IW2/VV/0.tiff,cmr_umm
2021-10-06,2021-10-06T12:55:45.746041+00:00,S1_056014_IW2_20211006T125544_VV_3B97-BURST,027_056014_IW2,56014,85912987,1,IW2,2021-10-06T12:55:44.731497,462.4202916655,27,ASCENDING,VV,SENTINEL-1A,39999,S1A_IWDV_0091_0097_039999_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211006T125541_20211006T125608_039999_04BC10_3B97/IW2/VV/1.tiff,cmr_umm
2021-10-18,2021-10-18T12:55:37.680393+00:00,S1_056011_IW2_20211018T125536_VV_F83A-BURST,027_056011_IW2,56011,86288871,8,IW2,2021-10-18T12:55:36.671162,454.1521035494,27,ASCENDING,VV,SENTINEL-1A,40174,S1A_IWDV_0086_0092_040174_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A/IW2/VV/8.tiff,cmr_umm
2021-10-18,2021-10-18T12:55:40.438670+00:00,S1_056012_IW2_20211018T125539_VV_F83A-BURST,027_056012_IW2,56012,86288872,9,IW2,2021-10-18T12:55:39.425607,456.9065489914,27,ASCENDING,VV,SENTINEL-1A,40174,S1A_IWDV_0086_0092_040174_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211018T125513_20211018T125543_040174_04C225_F83A/IW2/VV/9.tiff,cmr_umm
2021-10-18,2021-10-18T12:55:43.196946+00:00,S1_056013_IW2_20211018T125542_VV_8434-BURST,027_056013_IW2,56013,86288873,0,IW2,2021-10-18T12:55:42.184164,459.6651055546,27,ASCENDING,VV,SENTINEL-1A,40174,S1A_IWDV_0091_0097_040174_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211018T125541_20211018T125609_040174_04C225_8434/IW2/VV/0.tiff,cmr_umm
2021-10-18,2021-10-18T12:55:45.955223+00:00,S1_056014_IW2_20211018T125544_VV_8434-BURST,027_056014_IW2,56014,86288874,1,IW2,2021-10-18T12:55:44.942720,462.4236621092,27,ASCENDING,VV,SENTINEL-1A,40174,S1A_IWDV_0091_0097_040174_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211018T125541_20211018T125609_040174_04C225_8434/IW2/VV/1.tiff,cmr_umm
2021-10-30,2021-10-30T12:55:37.503605+00:00,S1_056011_IW2_20211030T125536_VV_6B5A-BURST,027_056011_IW2,56011,86664758,8,IW2,2021-10-30T12:55:36.498487,454.1563864368,27,ASCENDING,VV,SENTINEL-1A,40349,S1A_IWDV_0086_0092_040349_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A/IW2/VV/8.tiff,cmr_umm
2021-10-30,2021-10-30T12:55:40.261882+00:00,S1_056012_IW2_20211030T125539_VV_6B5A-BURST,027_056012_IW2,56012,86664759,9,IW2,2021-10-30T12:55:39.254988,456.9128874351,27,ASCENDING,VV,SENTINEL-1A,40349,S1A_IWDV_0086_0092_040349_027,152943336,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211030T125513_20211030T125543_040349_04C839_6B5A/IW2/VV/9.tiff,cmr_umm
