reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_max_abs_m
2021-10-06,2021-10-18,12,61.0
2021-10-06,2021-10-30,24,101.0
2021-10-06,2021-11-11,36,107.0
2021-10-18,2021-10-30,12,45.0
2021-10-18,2021-11-11,24,50.0
2021-10-18,2021-11-23,36,43.0
2021-10-30,2021-11-11,12,6.0
2021-10-30,2021-11-23,24,4.0
2021-10-30,2021-12-05,36,56.0
2021-11-11,2021-11-23,12,9.0
2021-11-11,2021-12-05,24,62.0
2021-11-11,2021-12-17,36,83.0
2021-11-23,2021-12-05,12,58.0
2021-11-23,2021-12-17,24,74.0
2021-11-23,2021-12-29,36,122.0
2021-12-05,2021-12-17,12,22.0
2021-12-05,2021-12-29,24,64.0
2021-12-05,2022-01-10,36,58.0
2021-12-17,2021-12-29,12,48.0
2021-12-17,2022-01-10,24,74.0
2021-12-17,2022-01-22,36,8.0
2021-12-29,2022-01-10,12,122.0
2021-12-29,2022-01-22,24,50.0
2021-12-29,2022-02-03,36,18.0
2022-01-10,2022-01-22,12,72.0
2022-01-10,2022-02-03,24,136.0
2022-01-10,2022-02-15,36,55.0
2022-01-22,2022-02-03,12,68.0
2022-01-22,2022-02-15,24,18.0
2022-01-22,2022-02-27,36,31.0
2022-02-03,2022-02-15,12,81.0
2022-02-03,2022-02-27,24,98.0
2022-02-03,2022-03-11,36,124.0
2022-02-15,2022-02-27,12,17.0
2022-02-15,2022-03-11,24,43.0
2022-02-15,2022-03-23,36,123.0
2022-02-27,2022-03-11,12,26.0
2022-02-27,2022-03-23,24,110.0
2022-02-27,2022-04-04,36,52.0
2022-03-11,2022-03-23,12,84.0
2022-03-11,2022-04-04,24,26.0
2022-03-11,2022-04-16,36,6.0
2022-03-23,2022-04-04,12,59.0
2022-03-23,2022-04-16,24,89.0
2022-03-23,2022-04-28,36,34.0
2022-04-04,2022-04-16,12,31.0
2022-04-04,2022-04-28,24,25.0
2022-04-04,2022-05-10,36,34.0
2022-04-16,2022-04-28,12,56.0
2022-04-16,2022-05-10,24,7.0
2022-04-16,2022-05-22,36,27.0
2022-04-28,2022-05-10,12,59.0
2022-04-28,2022-05-22,24,83.0
2022-04-28,2022-06-03,36,30.0
2022-05-10,2022-05-22,12,24.0
2022-05-10,2022-06-03,24,87.0
2022-05-10,2022-06-15,36,94.0
2022-05-22,2022-06-03,12,106.0
2022-05-22,2022-06-15,24,74.0
2022-05-22,2022-06-27,36,49.0
2022-06-03,2022-06-15,12,180.0
2022-06-03,2022-06-27,24,64.0
2022-06-03,2022-07-09,36,16.0
2022-06-15,2022-06-27,12,116.0
2022-06-15,2022-07-09,24,165.0
2022-06-15,2022-07-21,36,154.0
2022-06-27,2022-07-09,12,49.0
2022-06-27,2022-07-21,24,38.0
2022-06-27,2022-08-02,36,26.0
2022-07-09,2022-07-21,12,15.0
2022-07-09,2022-08-02,24,23.0
2022-07-09,2022-08-14,36,72.0
2022-07-21,2022-08-02,12,12.0
2022-07-21,2022-08-14,24,61.0
2022-07-21,2022-08-26,36,107.0
2022-08-02,2022-08-14,12,50.0
2022-08-02,2022-08-26,24,100.0
2022-08-02,2022-09-07,36,111.0
2022-08-14,2022-08-26,12,51.0
2022-08-14,2022-09-07,24,160.0
2022-08-14,2022-09-19,36,88.0
2022-08-26,2022-09-07,12,211.0
2022-08-26,2022-09-19,24,43.0
2022-08-26,2022-10-01,36,142.0
2022-09-07,2022-09-19,12,248.0
2022-09-07,2022-10-01,24,70.0
2022-09-19,2022-10-01,12,181.0
2022-09-19,2022-10-13,24,12.0
2022-09-19,2022-10-25,36,52.0
2022-10-01,2022-10-13,12,190.0
2022-10-01,2022-10-25,24,131.0
2022-10-01,2022-11-06,36,197.0
2022-10-13,2022-10-25,12,61.0
2022-10-13,2022-11-06,24,7.0
2022-10-13,2022-11-18,36,119.0
2022-10-25,2022-11-06,12,67.0
2022-10-25,2022-11-18,24,58.0
2022-10-25,2022-11-30,36,36.0
2022-11-06,2022-11-18,12,125.0
2022-11-06,2022-11-30,24,99.0
2022-11-06,2022-12-12,36,131.0
2022-11-18,2022-11-30,12,27.0
2022-11-18,2022-12-12,24,7.0
2022-11-18,2022-12-24,36,82.0
2022-11-30,2022-12-12,12,33.0
2022-11-30,2022-12-24,24,57.0
2022-11-30,2023-01-05,36,114.0
2022-12-12,2022-12-24,12,88.0
2022-12-12,2023-01-05,24,140.0
2022-12-12,2023-01-17,36,233.0
2022-12-24,2023-01-05,12,58.0
2022-12-24,2023-01-17,24,150.0
2022-12-24,2023-01-29,36,115.0
2023-01-05,2023-01-17,12,93.0
2023-01-05,2023-01-29,24,167.0
2023-01-05,2023-02-10,36,62.0
2023-01-17,2023-02-10,24,154.0
2023-01-17,2023-02-22,36,38.0
2023-01-29,2023-02-10,12,111.0
2023-01-29,2023-02-22,24,222.0
2023-01-29,2023-03-06,36,71.0
2023-02-10,2023-02-22,12,116.0
2023-02-10,2023-03-06,24,40.0
2023-02-10,2023-03-18,36,35.0
2023-02-22,2023-03-06,12,156.0
2023-02-22,2023-03-18,24,81.0
2023-02-22,2023-03-30,36,118.0
2023-03-06,2023-03-18,12,75.0
2023-03-06,2023-03-30,24,38.0
2023-03-06,2023-04-11,36,86.0
2023-03-18,2023-03-30,12,40.0
2023-03-18,2023-04-11,24,161.0
2023-03-18,2023-04-23,36,74.0
2023-03-30,2023-04-11,12,121.0
2023-03-30,2023-04-23,24,37.0
2023-03-30,2023-05-05,36,88.0
2023-04-11,2023-04-23,12,87.0
2023-04-11,2023-05-05,24,34.0
2023-04-11,2023-05-17,36,11.0
2023-04-23,2023-05-05,12,54.0
2023-04-23,2023-05-17,24,76.0
2023-04-23,2023-05-29,36,87.0
2023-05-05,2023-05-17,12,25.0
2023-05-05,2023-05-29,24,39.0
2023-05-05,2023-06-10,36,72.0
2023-05-17,2023-05-29,12,15.0
2023-05-17,2023-06-10,24,94.0
2023-05-17,2023-06-22,36,176.0
2023-05-29,2023-06-10,12,108.0
2023-05-29,2023-06-22,24,187.0
2023-05-29,2023-07-04,36,101.0
2023-06-10,2023-06-22,12,82.0
2023-06-10,2023-07-04,24,7.0
2023-06-10,2023-07-16,36,104.0
2023-06-22,2023-07-04,12,86.0
2023-06-22,2023-07-16,24,186.0
2023-06-22,2023-07-28,36,198.0
2023-07-04,2023-07-16,12,100.0
2023-07-04,2023-07-28,24,112.0
2023-07-04,2023-08-09,36,177.0
2023-07-16,2023-07-28,12,14.0
2023-07-16,2023-08-21,36,140.0
2023-07-28,2023-08-21,24,153.0
2023-07-28,2023-09-02,36,51.0
2023-08-09,2023-08-21,12,136.0
2023-08-09,2023-09-02,24,238.0
2023-08-09,2023-09-14,36,145.0
2023-08-21,2023-09-02,12,102.0
2023-08-21,2023-09-14,24,9.0
2023-08-21,2023-09-26,36,155.0
2023-09-02,2023-09-14,12,93.0
2023-09-02,2023-09-26,24,53.0
2023-09-02,2023-10-08,36,14.0
2023-09-14,2023-09-26,12,146.0
2023-09-14,2023-10-08,24,107.0
2023-09-14,2023-10-20,36,170.0
2023-09-26,2023-10-08,12,41.0
2023-09-26,2023-10-20,24,26.0
2023-09-26,2023-11-01,36,207.0
2023-10-08,2023-10-20,12,66.0
2023-10-08,2023-11-01,24,168.0
2023-10-08,2023-11-13,36,70.0
2023-10-20,2023-11-01,12,231.0
2023-10-20,2023-11-13,24,133.0
2023-11-01,2023-11-13,12,99.0
2023-11-01,2023-11-25,24,53.0
2023-11-01,2023-12-07,36,105.0
2023-11-13,2023-11-25,12,151.0
2023-11-13,2023-12-07,24,7.0
2023-11-13,2023-12-19,36,28.0
2023-11-25,2023-12-07,12,157.0
2023-11-25,2023-12-19,24,124.0
2023-11-25,2023-12-31,36,212.0
2023-12-07,2023-12-19,12,34.0
2023-12-07,2023-12-31,24,55.0
2023-12-07,2024-01-12,36,49.0
2023-12-19,2023-12-31,12,89.0
2023-12-19,2024-01-12,24,18.0
2023-12-19,2024-01-24,36,5.0
2023-12-31,2024-01-12,12,104.0
2023-12-31,2024-01-24,24,84.0
2023-12-31,2024-02-05,36,87.0
2024-01-12,2024-01-24,12,20.0
2024-01-12,2024-02-05,24,19.0
2024-01-12,2024-02-17,36,88.0
2024-01-24,2024-02-05,12,3.0
2024-01-24,2024-02-17,24,72.0
2024-01-24,2024-02-29,36,127.0
2024-02-05,2024-02-17,12,69.0
2024-02-05,2024-02-29,24,128.0
2024-02-05,2024-03-12,36,77.0
2024-02-17,2024-02-29,12,59.0
2024-02-17,2024-03-12,24,8.0
2024-02-17,2024-03-24,36,40.0
2024-02-29,2024-03-12,12,51.0
2024-02-29,2024-03-24,24,95.0
2024-02-29,2024-04-05,36,41.0
2024-03-12,2024-03-24,12,47.0
2024-03-12,2024-04-05,24,11.0
2024-03-12,2024-04-17,36,48.0
2024-03-24,2024-04-05,12,58.0
2024-03-24,2024-04-17,24,4.0
2024-03-24,2024-04-29,36,31.0
2024-04-05,2024-04-17,12,58.0
2024-04-05,2024-04-29,24,29.0
2024-04-05,2024-05-11,36,86.0
2024-04-17,2024-04-29,12,35.0
