date,027_056011_IW2,027_056012_IW2,027_056013_IW2,027_056014_IW2,burst_count,complete_acquisition,missing_bursts,platforms,absolute_orbit
2021-10-06,1,1,1,1,4,True,,SENTINEL-1A,39999
2021-10-18,1,1,1,1,4,True,,SENTINEL-1A,40174
2021-10-30,1,1,1,1,4,True,,SENTINEL-1A,40349
2021-11-11,1,1,1,1,4,True,,SENTINEL-1A,40524
2021-11-23,1,1,1,1,4,True,,SENTINEL-1A,40699
2021-12-05,1,1,1,1,4,True,,SENTINEL-1A,40874
2021-12-17,1,1,1,1,4,True,,SENTINEL-1A,41049
2021-12-29,1,1,1,1,4,True,,SENTINEL-1A,41224
2022-01-10,1,1,1,1,4,True,,SENTINEL-1A,41399
2022-01-22,1,1,1,1,4,True,,SENTINEL-1A,41574
2022-02-03,1,1,1,1,4,True,,SENTINEL-1A,41749
2022-02-15,1,1,1,1,4,True,,SENTINEL-1A,41924
2022-02-27,1,1,1,1,4,True,,SENTINEL-1A,42099
2022-03-11,1,1,1,1,4,True,,SENTINEL-1A,42274
2022-03-23,1,1,1,1,4,True,,SENTINEL-1A,42449
2022-04-04,1,1,1,1,4,True,,SENTINEL-1A,42624
2022-04-16,1,1,1,1,4,True,,SENTINEL-1A,42799
2022-04-28,1,1,1,1,4,True,,SENTINEL-1A,42974
2022-05-10,1,1,1,1,4,True,,SENTINEL-1A,43149
2022-05-22,1,1,1,1,4,True,,SENTINEL-1A,43324
2022-06-03,1,1,1,1,4,True,,SENTINEL-1A,43499
2022-06-15,1,1,1,1,4,True,,SENTINEL-1A,43674
2022-06-27,1,1,1,1,4,True,,SENTINEL-1A,43849
2022-07-09,1,1,1,1,4,True,,SENTINEL-1A,44024
2022-07-21,1,1,1,1,4,True,,SENTINEL-1A,44199
2022-08-02,1,1,1,1,4,True,,SENTINEL-1A,44374
2022-08-14,1,1,1,1,4,True,,SENTINEL-1A,44549
2022-08-26,1,1,1,1,4,True,,SENTINEL-1A,44724
2022-09-07,1,1,1,1,4,True,,SENTINEL-1A,44899
2022-09-19,1,1,1,1,4,True,,SENTINEL-1A,45074
2022-10-01,1,1,1,1,4,True,,SENTINEL-1A,45249
2022-10-13,1,1,1,1,4,True,,SENTINEL-1A,45424
2022-10-25,1,1,1,1,4,True,,SENTINEL-1A,45599
2022-11-06,1,1,1,1,4,True,,SENTINEL-1A,45774
2022-11-18,1,1,1,1,4,True,,SENTINEL-1A,45949
2022-11-30,1,1,1,1,4,True,,SENTINEL-1A,46124
2022-12-12,1,1,1,1,4,True,,SENTINEL-1A,46299
2022-12-24,1,1,1,1,4,True,,SENTINEL-1A,46474
2023-01-05,1,1,1,1,4,True,,SENTINEL-1A,46649
2023-01-17,1,1,1,1,4,True,,SENTINEL-1A,46824
2023-01-29,1,1,1,1,4,True,,SENTINEL-1A,46999
2023-02-10,1,1,1,1,4,True,,SENTINEL-1A,47174
2023-02-22,1,1,1,1,4,True,,SENTINEL-1A,47349
2023-03-06,1,1,1,1,4,True,,SENTINEL-1A,47524
2023-03-18,1,1,1,1,4,True,,SENTINEL-1A,47699
2023-03-30,1,1,1,1,4,True,,SENTINEL-1A,47874
2023-04-11,1,1,1,1,4,True,,SENTINEL-1A,48049
2023-04-23,1,1,1,1,4,True,,SENTINEL-1A,48224
2023-05-05,1,1,1,1,4,True,,SENTINEL-1A,48399
2023-05-17,1,1,1,1,4,True,,SENTINEL-1A,48574
2023-05-29,1,1,1,1,4,True,,SENTINEL-1A,48749
2023-06-10,1,1,1,1,4,True,,SENTINEL-1A,48924
2023-06-22,1,1,1,1,4,True,,SENTINEL-1A,49099
2023-07-04,1,1,1,1,4,True,,SENTINEL-1A,49274
2023-07-16,1,1,1,1,4,True,,SENTINEL-1A,49449
2023-07-28,1,1,1,1,4,True,,SENTINEL-1A,49624
2023-08-09,1,1,1,1,4,True,,SENTINEL-1A,49799
2023-08-21,1,1,1,1,4,True,,SENTINEL-1A,49974
2023-09-02,1,1,1,1,4,True,,SENTINEL-1A,50149
2023-09-14,1,1,1,1,4,True,,SENTINEL-1A,50324
2023-09-26,1,1,1,1,4,True,,SENTINEL-1A,50499
2023-10-08,1,1,1,1,4,True,,SENTINEL-1A,50674
2023-10-20,1,1,1,1,4,True,,SENTINEL-1A,50849
2023-11-01,1,1,1,1,4,True,,SENTINEL-1A,51024
2023-11-13,1,1,1,1,4,True,,SENTINEL-1A,51199
2023-11-25,1,1,1,1,4,True,,SENTINEL-1A,51374
2023-12-07,1,1,1,1,4,True,,SENTINEL-1A,51549
2023-12-19,1,1,1,1,4,True,,SENTINEL-1A,51724
2023-12-31,1,1,1,1,4,True,,SENTINEL-1A,51899
2024-01-12,1,1,1,1,4,True,,SENTINEL-1A,52074
2024-01-24,1,1,1,1,4,True,,SENTINEL-1A,52249
