date,previous_date,gap_days
2021-10-06,,
2021-10-18,2021-10-06,12.0
2021-10-30,2021-10-18,12.0
2021-11-11,2021-10-30,12.0
2021-11-23,2021-11-11,12.0
2021-12-05,2021-11-23,12.0
2021-12-17,2021-12-05,12.0
2021-12-29,2021-12-17,12.0
2022-01-10,2021-12-29,12.0
2022-01-22,2022-01-10,12.0
2022-02-03,2022-01-22,12.0
2022-02-15,2022-02-03,12.0
2022-02-27,2022-02-15,12.0
2022-03-11,2022-02-27,12.0
2022-03-23,2022-03-11,12.0
2022-04-04,2022-03-23,12.0
2022-04-16,2022-04-04,12.0
2022-04-28,2022-04-16,12.0
2022-05-10,2022-04-28,12.0
2022-05-22,2022-05-10,12.0
2022-06-03,2022-05-22,12.0
2022-06-15,2022-06-03,12.0
2022-06-27,2022-06-15,12.0
2022-07-09,2022-06-27,12.0
2022-07-21,2022-07-09,12.0
2022-08-02,2022-07-21,12.0
2022-08-14,2022-08-02,12.0
2022-08-26,2022-08-14,12.0
2022-09-07,2022-08-26,12.0
2022-09-19,2022-09-07,12.0
2022-10-01,2022-09-19,12.0
2022-10-13,2022-10-01,12.0
2022-10-25,2022-10-13,12.0
2022-11-06,2022-10-25,12.0
2022-11-18,2022-11-06,12.0
2022-11-30,2022-11-18,12.0
2022-12-12,2022-11-30,12.0
2022-12-24,2022-12-12,12.0
2023-01-05,2022-12-24,12.0
2023-01-17,2023-01-05,12.0
2023-01-29,2023-01-17,12.0
2023-02-10,2023-01-29,12.0
2023-02-22,2023-02-10,12.0
2023-03-06,2023-02-22,12.0
2023-03-18,2023-03-06,12.0
2023-03-30,2023-03-18,12.0
2023-04-11,2023-03-30,12.0
2023-04-23,2023-04-11,12.0
2023-05-05,2023-04-23,12.0
2023-05-17,2023-05-05,12.0
2023-05-29,2023-05-17,12.0
2023-06-10,2023-05-29,12.0
2023-06-22,2023-06-10,12.0
2023-07-04,2023-06-22,12.0
2023-07-16,2023-07-04,12.0
2023-07-28,2023-07-16,12.0
2023-08-09,2023-07-28,12.0
2023-08-21,2023-08-09,12.0
2023-09-02,2023-08-21,12.0
2023-09-14,2023-09-02,12.0
2023-09-26,2023-09-14,12.0
2023-10-08,2023-09-26,12.0
2023-10-20,2023-10-08,12.0
2023-11-01,2023-10-20,12.0
2023-11-13,2023-11-01,12.0
2023-11-25,2023-11-13,12.0
2023-12-07,2023-11-25,12.0
2023-12-19,2023-12-07,12.0
2023-12-31,2023-12-19,12.0
2024-01-12,2023-12-31,12.0
2024-01-24,2024-01-12,12.0
2024-02-05,2024-01-24,12.0
2024-02-17,2024-02-05,12.0
2024-02-29,2024-02-17,12.0
2024-03-12,2024-02-29,12.0
2024-03-24,2024-03-12,12.0
2024-04-05,2024-03-24,12.0
2024-04-17,2024-04-05,12.0
2024-04-29,2024-04-17,12.0
2024-05-11,2024-04-29,12.0
2024-05-23,2024-05-11,12.0
2024-06-04,2024-05-23,12.0
2024-06-16,2024-06-04,12.0
2024-07-10,2024-06-16,24.0
2024-07-22,2024-07-10,12.0
2024-08-03,2024-07-22,12.0
2024-08-15,2024-08-03,12.0
2024-08-27,2024-08-15,12.0
2024-09-08,2024-08-27,12.0
2024-09-20,2024-09-08,12.0
2024-10-02,2024-09-20,12.0
2024-10-14,2024-10-02,12.0
2024-10-26,2024-10-14,12.0
2024-11-07,2024-10-26,12.0
2024-11-19,2024-11-07,12.0
2024-12-13,2024-11-19,24.0
2024-12-25,2024-12-13,12.0
2025-01-06,2024-12-25,12.0
2025-01-18,2025-01-06,12.0
2025-01-30,2025-01-18,12.0
2025-02-11,2025-01-30,12.0
2025-02-23,2025-02-11,12.0
2025-03-07,2025-02-23,12.0
2025-03-19,2025-03-07,12.0
2025-03-31,2025-03-19,12.0
2025-04-12,2025-03-31,12.0
2025-04-24,2025-04-12,12.0
2025-05-06,2025-04-24,12.0
2025-05-30,2025-05-06,24.0
2025-06-11,2025-05-30,12.0
2025-06-23,2025-06-11,12.0
2025-07-05,2025-06-23,12.0
2025-07-17,2025-07-05,12.0
2025-07-29,2025-07-17,12.0
2025-08-10,2025-07-29,12.0
2025-08-22,2025-08-10,12.0
2025-09-03,2025-08-22,12.0
2025-09-15,2025-09-03,12.0
2025-09-27,2025-09-15,12.0
