date,027_056011_IW2,027_056012_IW2,027_056013_IW2,027_056014_IW2,burst_count,complete_acquisition
2021-10-06,1,1,1,1,4,True
2021-10-18,1,1,1,1,4,True
2021-10-30,1,1,1,1,4,True
2021-11-11,1,1,1,1,4,True
2021-11-23,1,1,1,1,4,True
2021-12-05,1,1,1,1,4,True
2021-12-17,1,1,1,1,4,True
2021-12-29,1,1,1,1,4,True
2022-01-10,1,1,1,1,4,True
2022-01-22,1,1,1,1,4,True
2022-02-03,1,1,1,1,4,True
2022-02-15,1,1,1,1,4,True
2022-02-27,1,1,1,1,4,True
2022-03-11,1,1,1,1,4,True
2022-03-23,1,1,1,1,4,True
2022-04-04,1,1,1,1,4,True
2022-04-16,1,1,1,1,4,True
2022-04-28,1,1,1,1,4,True
2022-05-10,1,1,1,1,4,True
2022-05-22,1,1,1,1,4,True
2022-06-03,1,1,1,1,4,True
2022-06-15,1,1,1,1,4,True
2022-06-27,1,1,1,1,4,True
2022-07-09,1,1,1,1,4,True
2022-07-21,1,1,1,1,4,True
2022-08-02,1,1,1,1,4,True
2022-08-14,1,1,1,1,4,True
2022-08-26,1,1,1,1,4,True
2022-09-07,1,1,1,1,4,True
2022-09-19,1,1,1,1,4,True
2022-10-01,1,1,1,1,4,True
2022-10-13,1,1,1,1,4,True
2022-10-25,1,1,1,1,4,True
2022-11-06,1,1,1,1,4,True
2022-11-18,1,1,1,1,4,True
2022-11-30,1,1,1,1,4,True
2022-12-12,1,1,1,1,4,True
2022-12-24,1,1,1,1,4,True
2023-01-05,1,1,1,1,4,True
2023-01-17,1,1,1,1,4,True
2023-01-29,1,1,1,1,4,True
2023-02-10,1,1,1,1,4,True
2023-02-22,1,1,1,1,4,True
2023-03-06,1,1,1,1,4,True
2023-03-18,1,1,1,1,4,True
2023-03-30,1,1,1,1,4,True
2023-04-11,1,1,1,1,4,True
2023-04-23,1,1,1,1,4,True
2023-05-05,1,1,1,1,4,True
2023-05-17,1,1,1,1,4,True
2023-05-29,1,1,1,1,4,True
2023-06-10,1,1,1,1,4,True
2023-06-22,1,1,1,1,4,True
2023-07-04,1,1,1,1,4,True
2023-07-16,1,1,1,1,4,True
2023-07-28,1,1,1,1,4,True
2023-08-09,1,1,1,1,4,True
2023-08-21,1,1,1,1,4,True
2023-09-02,1,1,1,1,4,True
2023-09-14,1,1,1,1,4,True
2023-09-26,1,1,1,1,4,True
2023-10-08,1,1,1,1,4,True
2023-10-20,1,1,1,1,4,True
2023-11-01,1,1,1,1,4,True
2023-11-13,1,1,1,1,4,True
2023-11-25,1,1,1,1,4,True
2023-12-07,1,1,1,1,4,True
2023-12-19,1,1,1,1,4,True
2023-12-31,1,1,1,1,4,True
2024-01-12,1,1,1,1,4,True
2024-01-24,1,1,1,1,4,True
2024-02-05,1,1,1,1,4,True
2024-02-17,1,1,1,1,4,True
2024-02-29,1,1,1,1,4,True
2024-03-12,1,1,1,1,4,True
2024-03-24,1,1,1,1,4,True
2024-04-05,1,1,1,1,4,True
2024-04-17,1,1,1,1,4,True
2024-04-29,1,1,1,1,4,True
2024-05-11,1,1,1,1,4,True
2024-05-23,1,1,1,1,4,True
2024-06-04,1,1,1,1,4,True
2024-06-16,1,1,1,1,4,True
2024-07-10,1,1,1,1,4,True
2024-07-22,1,1,1,1,4,True
2024-08-03,1,1,1,1,4,True
2024-08-15,1,1,1,1,4,True
2024-08-27,1,1,1,1,4,True
2024-09-08,1,1,1,1,4,True
2024-09-20,1,1,1,1,4,True
2024-10-02,1,1,1,1,4,True
2024-10-14,1,1,1,1,4,True
2024-10-26,1,1,1,1,4,True
2024-11-07,1,1,1,1,4,True
2024-11-19,1,1,1,1,4,True
2024-12-13,1,1,1,1,4,True
2024-12-25,1,1,1,1,4,True
2025-01-06,1,1,1,1,4,True
2025-01-18,1,1,1,1,4,True
2025-01-30,1,1,1,1,4,True
2025-02-11,1,1,1,1,4,True
2025-02-23,1,1,1,1,4,True
2025-03-07,1,1,1,1,4,True
2025-03-19,1,1,1,1,4,True
2025-03-31,1,1,1,1,4,True
2025-04-12,1,1,1,1,4,True
2025-04-24,1,1,1,1,4,True
2025-05-06,1,1,1,1,4,True
2025-05-18,0,1,1,1,3,False
2025-05-30,1,1,1,1,4,True
2025-06-11,1,1,1,1,4,True
2025-06-23,1,1,1,1,4,True
2025-07-05,1,1,1,1,4,True
2025-07-17,1,1,1,1,4,True
2025-07-29,1,1,1,1,4,True
2025-08-10,1,1,1,1,4,True
2025-08-22,1,1,1,1,4,True
2025-09-03,1,1,1,1,4,True
2025-09-15,1,1,1,1,4,True
2025-09-27,1,1,1,1,4,True
