date,start_time,scene_name,full_burst_id,relative_burst_id,absolute_burst_id,burst_index,subswath,azimuth_time,azimuth_anx_time,path,direction,polarization,platform,absolute_orbit,group_id,bytes,url,query_method
2021-10-02,2021-10-02T00:52:32.867972+00:00,S1_290874_IW1_20211002T005231_VV_BC6A-BURST,136_290874_IW1,290874,85771959,3,IW1,2021-10-02T00:52:31.741831,2491.0755242167,136,DESCENDING,VV,SENTINEL-1A,39933,S1A_IWDV_0495_0502_039933_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211002T005221_20211002T005248_039933_04B9C5_BC6A/IW1/VV/3.tiff,cmr_umm
2021-10-14,2021-10-14T00:52:32.898825+00:00,S1_290874_IW1_20211014T005231_VV_37A1-BURST,136_290874_IW1,290874,86147846,3,IW1,2021-10-14T00:52:31.774753,2491.0884652167,136,DESCENDING,VV,SENTINEL-1A,40108,S1A_IWDV_0495_0502_040108_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211014T005221_20211014T005248_040108_04BFD3_37A1/IW1/VV/3.tiff,cmr_umm
2021-10-26,2021-10-26T00:52:32.981345+00:00,S1_290874_IW1_20211026T005231_VV_BF6F-BURST,136_290874_IW1,290874,86523734,3,IW1,2021-10-26T00:52:31.863440,2491.100628773,136,DESCENDING,VV,SENTINEL-1A,40283,S1A_IWDV_0496_0501_040283_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211026T005221_20211026T005248_040283_04C5EA_BF6F/IW1/VV/3.tiff,cmr_umm
2021-11-07,2021-11-07T00:52:32.701865+00:00,S1_290874_IW1_20211107T005231_VV_E448-BURST,136_290874_IW1,290874,86899621,3,IW1,2021-11-07T00:52:31.588054,2491.1078302167,136,DESCENDING,VV,SENTINEL-1A,40458,S1A_IWDV_0495_0502_040458_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211107T005221_20211107T005248_040458_04CC07_E448/IW1/VV/3.tiff,cmr_umm
2021-11-19,2021-11-19T00:52:32.600088+00:00,S1_290874_IW1_20211119T005231_VV_DA0A-BURST,136_290874_IW1,290874,87275509,3,IW1,2021-11-19T00:52:31.482182,2491.107840773,136,DESCENDING,VV,SENTINEL-1A,40633,S1A_IWDV_0495_0502_040633_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211119T005221_20211119T005248_040633_04D20B_DA0A/IW1/VV/3.tiff,cmr_umm
2021-12-01,2021-12-01T00:52:32.018210+00:00,S1_290874_IW1_20211201T005230_VV_3579-BURST,136_290874_IW1,290874,87651396,3,IW1,2021-12-01T00:52:30.908525,2491.122079773,136,DESCENDING,VV,SENTINEL-1A,40808,S1A_IWDV_0495_0502_040808_136,125483664,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211201T005220_20211201T005247_040808_04D828_3579/IW1/VV/3.tiff,cmr_umm
2021-12-13,2021-12-13T00:52:31.583426+00:00,S1_290874_IW1_20211213T005230_VV_B3F5-BURST,136_290874_IW1,290874,88027283,3,IW1,2021-12-13T00:52:30.463447,2491.1141712167,136,DESCENDING,VV,SENTINEL-1A,40983,S1A_IWDV_0496_0501_040983_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20211213T005220_20211213T005247_040983_04DE32_B3F5/IW1/VV/3.tiff,cmr_umm
2022-01-06,2022-01-06T00:52:30.267737+00:00,S1_290874_IW1_20220106T005229_VV_5318-BURST,136_290874_IW1,290874,88779058,3,IW1,2022-01-06T00:52:29.143662,2491.0819606604,136,DESCENDING,VV,SENTINEL-1A,41333,S1A_IWDV_0495_0502_041333_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220106T005219_20220106T005246_041333_04E9EF_5318/IW1/VV/3.tiff,cmr_umm
2022-01-18,2022-01-18T00:52:29.799551+00:00,S1_290874_IW1_20220118T005228_VV_B063-BURST,136_290874_IW1,290874,89154945,3,IW1,2022-01-18T00:52:28.679573,2491.080930773,136,DESCENDING,VV,SENTINEL-1A,41508,S1A_IWDV_0495_0502_041508_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220118T005218_20220118T005245_041508_04EFA4_B063/IW1/VV/3.tiff,cmr_umm
2022-01-30,2022-01-30T00:52:29.324530+00:00,S1_290874_IW1_20220130T005228_VV_3936-BURST,136_290874_IW1,290874,89530833,3,IW1,2022-01-30T00:52:28.202512,2491.0785993293,136,DESCENDING,VV,SENTINEL-1A,41683,S1A_IWDV_0496_0501_041683_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220130T005218_20220130T005245_041683_04F595_3936/IW1/VV/3.tiff,cmr_umm
2022-02-11,2022-02-11T00:52:29.120230+00:00,S1_290874_IW1_20220211T005227_VV_A47B-BURST,136_290874_IW1,290874,89906720,3,IW1,2022-02-11T00:52:27.996158,2491.0698296604,136,DESCENDING,VV,SENTINEL-1A,41858,S1A_IWDV_0496_0501_041858_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220211T005217_20220211T005244_041858_04FBA9_A47B/IW1/VV/3.tiff,cmr_umm
2022-02-23,2022-02-23T00:52:29.020041+00:00,S1_290874_IW1_20220223T005227_VV_9E2F-BURST,136_290874_IW1,290874,90282608,3,IW1,2022-02-23T00:52:27.895955,2491.0635416604,136,DESCENDING,VV,SENTINEL-1A,42033,S1A_IWDV_0495_0502_042033_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220223T005217_20220223T005244_042033_0501C5_9E2F/IW1/VV/3.tiff,cmr_umm
2022-03-07,2022-03-07T00:52:28.800192+00:00,S1_290874_IW1_20220307T005227_VV_B90A-BURST,136_290874_IW1,290874,90658495,3,IW1,2022-03-07T00:52:27.672010,2491.0528772167,136,DESCENDING,VV,SENTINEL-1A,42208,S1A_IWDV_0495_0502_042208_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220307T005217_20220307T005244_042208_0507B4_B90A/IW1/VV/3.tiff,cmr_umm
2022-03-19,2022-03-19T00:52:28.930563+00:00,S1_290874_IW1_20220319T005227_VV_6BDC-BURST,136_290874_IW1,290874,91034382,3,IW1,2022-03-19T00:52:27.804423,2491.0502272167,136,DESCENDING,VV,SENTINEL-1A,42383,S1A_IWDV_0495_0502_042383_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220319T005217_20220319T005244_042383_050DA3_6BDC/IW1/VV/3.tiff,cmr_umm
2022-03-31,2022-03-31T00:52:29.060309+00:00,S1_290874_IW1_20220331T005227_VV_23F3-BURST,136_290874_IW1,290874,91410270,3,IW1,2022-03-31T00:52:27.928017,2491.0354452167,136,DESCENDING,VV,SENTINEL-1A,42558,S1A_IWDV_0495_0502_042558_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220331T005217_20220331T005244_042558_05139A_23F3/IW1/VV/3.tiff,cmr_umm
2022-04-12,2022-04-12T00:52:29.411795+00:00,S1_290874_IW1_20220412T005228_VV_AF3F-BURST,136_290874_IW1,290874,91786157,3,IW1,2022-04-12T00:52:28.283614,2491.028267773,136,DESCENDING,VV,SENTINEL-1A,42733,S1A_IWDV_0495_0502_042733_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220412T005218_20220412T005245_042733_05197A_AF3F/IW1/VV/3.tiff,cmr_umm
2022-05-18,2022-05-18T00:52:31.123541+00:00,S1_290874_IW1_20220518T005229_VV_DAE7-BURST,136_290874_IW1,290874,92913819,3,IW1,2022-05-18T00:52:29.993300,2491.021149773,136,DESCENDING,VV,SENTINEL-1A,43258,S1A_IWDV_0495_0502_043258_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220518T005219_20220518T005246_043258_052A89_DAE7/IW1/VV/3.tiff,cmr_umm
2022-05-30,2022-05-30T00:52:32.364401+00:00,S1_290874_IW1_20220530T005231_VV_23B2-BURST,136_290874_IW1,290874,93289707,3,IW1,2022-05-30T00:52:31.236214,2491.0324892167,136,DESCENDING,VV,SENTINEL-1A,43433,S1A_IWDV_0495_0502_043433_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220530T005221_20220530T005248_043433_052FB5_23B2/IW1/VV/3.tiff,cmr_umm
2022-06-11,2022-06-11T00:52:33.318014+00:00,S1_290874_IW1_20220611T005232_VV_CD99-BURST,136_290874_IW1,290874,93665594,3,IW1,2022-06-11T00:52:32.200105,2491.0408112167,136,DESCENDING,VV,SENTINEL-1A,43608,S1A_IWDV_0495_0502_043608_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220611T005222_20220611T005249_043608_0534E1_CD99/IW1/VV/3.tiff,cmr_umm
2022-06-23,2022-06-23T00:52:33.993277+00:00,S1_290874_IW1_20220623T005232_VV_F757-BURST,136_290874_IW1,290874,94041481,3,IW1,2022-06-23T00:52:32.877424,2491.042924773,136,DESCENDING,VV,SENTINEL-1A,43783,S1A_IWDV_0495_0502_043783_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220623T005222_20220623T005249_043783_053A23_F757/IW1/VV/3.tiff,cmr_umm
2022-07-05,2022-07-05T00:52:34.648520+00:00,S1_290874_IW1_20220705T005233_VV_7F99-BURST,136_290874_IW1,290874,94417369,3,IW1,2022-07-05T00:52:33.522389,2491.0331562167,136,DESCENDING,VV,SENTINEL-1A,43958,S1A_IWDV_0495_0502_043958_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220705T005223_20220705T005250_043958_053F54_7F99/IW1/VV/3.tiff,cmr_umm
2022-07-17,2022-07-17T00:52:35.443243+00:00,S1_290874_IW1_20220717T005234_VV_9DE6-BURST,136_290874_IW1,290874,94793256,3,IW1,2022-07-17T00:52:34.306836,2491.0222162167,136,DESCENDING,VV,SENTINEL-1A,44133,S1A_IWDV_0495_0502_044133_136,125489636,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220717T005224_20220717T005251_044133_054490_9DE6/IW1/VV/3.tiff,cmr_umm
2022-07-29,2022-07-29T00:52:36.091118+00:00,S1_290874_IW1_20220729T005234_VV_A098-BURST,136_290874_IW1,290874,95169143,2,IW1,2022-07-29T00:52:34.958793,2491.0231156638,136,DESCENDING,VV,SENTINEL-1A,44308,S1A_IWDV_0496_0502_044308_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220729T005228_20220729T005255_044308_0549BC_A098/IW1/VV/2.tiff,cmr_umm
2022-08-10,2022-08-10T00:52:36.919304+00:00,S1_290874_IW1_20220810T005235_VV_429F-BURST,136_290874_IW1,290874,95545031,2,IW1,2022-08-10T00:52:35.786979,2491.0246041075,136,DESCENDING,VV,SENTINEL-1A,44483,S1A_IWDV_0496_0502_044483_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20220810T005229_20220810T005256_044483_054EEC_429F/IW1/VV/2.tiff,cmr_umm
2022-11-26,2022-11-26T00:52:38.571083+00:00,S1_290874_IW1_20221126T005237_VV_5641-BURST,136_290874_IW1,290874,98928017,2,IW1,2022-11-26T00:52:37.449035,2491.0740096638,136,DESCENDING,VV,SENTINEL-1A,46058,S1A_IWDV_0496_0502_046058_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20221126T005231_20221126T005258_046058_058342_5641/IW1/VV/2.tiff,cmr_umm
2022-12-20,2022-12-20T00:52:36.996361+00:00,S1_290874_IW1_20221220T005235_VV_E589-BURST,136_290874_IW1,290874,99679792,2,IW1,2022-12-20T00:52:35.870200,2491.0748182201,136,DESCENDING,VV,SENTINEL-1A,46408,S1A_IWDV_0496_0502_046408_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20221220T005229_20221220T005256_046408_058F3B_E589/IW1/VV/2.tiff,cmr_umm
2023-01-01,2023-01-01T00:52:36.544548+00:00,S1_290874_IW1_20230101T005235_VV_8F0B-BURST,136_290874_IW1,290874,100055679,2,IW1,2023-01-01T00:52:35.428665,2491.0876682201,136,DESCENDING,VV,SENTINEL-1A,46583,S1A_IWDV_0496_0502_046583_136,128165312,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230101T005229_20230101T005256_046583_059524_8F0B/IW1/VV/2.tiff,cmr_umm
2023-01-25,2023-01-25T00:52:35.561653+00:00,S1_290874_IW1_20230125T005234_VV_FEF2-BURST,136_290874_IW1,290874,100807454,2,IW1,2023-01-25T00:52:34.443717,2491.0752531075,136,DESCENDING,VV,SENTINEL-1A,46933,S1A_IWDV_0496_0502_046933_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230125T005228_20230125T005255_046933_05A0F3_FEF2/IW1/VV/2.tiff,cmr_umm
2023-02-18,2023-02-18T00:52:34.562874+00:00,S1_290874_IW1_20230218T005233_VV_C57B-BURST,136_290874_IW1,290874,101559229,2,IW1,2023-02-18T00:52:33.451106,2491.0779106638,136,DESCENDING,VV,SENTINEL-1A,47283,S1A_IWDV_0496_0502_047283_136,128165312,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230218T005227_20230218T005254_047283_05ACB0_C57B/IW1/VV/2.tiff,cmr_umm
2023-03-14,2023-03-14T00:52:34.506065+00:00,S1_290874_IW1_20230314T005233_VV_5E79-BURST,136_290874_IW1,290874,102311004,2,IW1,2023-03-14T00:52:33.388132,2491.0573992201,136,DESCENDING,VV,SENTINEL-1A,47633,S1A_IWDV_0496_0502_047633_136,128165312,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230314T005227_20230314T005253_047633_05B88A_5E79/IW1/VV/2.tiff,cmr_umm
2023-04-07,2023-04-07T00:52:35.065117+00:00,S1_290874_IW1_20230407T005233_VV_FD01-BURST,136_290874_IW1,290874,103062778,2,IW1,2023-04-07T00:52:33.936890,2491.0388766638,136,DESCENDING,VV,SENTINEL-1A,47983,S1A_IWDV_0496_0502_047983_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230407T005227_20230407T005254_047983_05C455_FD01/IW1/VV/2.tiff,cmr_umm
2023-05-01,2023-05-01T00:52:36.189278+00:00,S1_290874_IW1_20230501T005235_VV_72C5-BURST,136_290874_IW1,290874,103814553,2,IW1,2023-05-01T00:52:35.056954,2491.0194966638,136,DESCENDING,VV,SENTINEL-1A,48333,S1A_IWDV_0496_0502_048333_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230501T005228_20230501T005255_048333_05D01F_72C5/IW1/VV/2.tiff,cmr_umm
2023-05-13,2023-05-13T00:52:36.784111+00:00,S1_290874_IW1_20230513T005235_VV_CD17-BURST,136_290874_IW1,290874,104190441,2,IW1,2023-05-13T00:52:35.647675,2491.0175436638,136,DESCENDING,VV,SENTINEL-1A,48508,S1A_IWDV_0496_0502_048508_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230513T005229_20230513T005256_048508_05D5C0_CD17/IW1/VV/2.tiff,cmr_umm
2023-05-25,2023-05-25T00:52:37.077217+00:00,S1_290874_IW1_20230525T005235_VV_BEE4-BURST,136_290874_IW1,290874,104566328,2,IW1,2023-05-25T00:52:35.948987,2491.0577076638,136,DESCENDING,VV,SENTINEL-1A,48683,S1A_IWDV_0496_0502_048683_136,127710528,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230525T005229_20230525T005256_048683_05DAF1_BEE4/IW1/VV/2.tiff,cmr_umm
2023-06-06,2023-06-06T00:52:37.697273+00:00,S1_290874_IW1_20230606T005236_VV_5482-BURST,136_290874_IW1,290874,104942215,2,IW1,2023-06-06T00:52:36.560835,2491.0157236638,136,DESCENDING,VV,SENTINEL-1A,48858,S1A_IWDV_0496_0502_048858_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230606T005230_20230606T005257_048858_05E029_5482/IW1/VV/2.tiff,cmr_umm
2023-06-18,2023-06-18T00:52:38.644112+00:00,S1_290874_IW1_20230618T005237_VV_D012-BURST,136_290874_IW1,290874,105318103,2,IW1,2023-06-18T00:52:37.524118,2491.0374551075,136,DESCENDING,VV,SENTINEL-1A,49033,S1A_IWDV_0496_0502_049033_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230618T005231_20230618T005258_049033_05E580_D012/IW1/VV/2.tiff,cmr_umm
2023-06-30,2023-06-30T00:52:38.884773+00:00,S1_290874_IW1_20230630T005237_VV_5EA5-BURST,136_290874_IW1,290874,105693990,2,IW1,2023-06-30T00:52:37.766835,2491.0390626638,136,DESCENDING,VV,SENTINEL-1A,49208,S1A_IWDV_0496_0502_049208_136,128165312,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230630T005231_20230630T005258_049208_05EACB_5EA5/IW1/VV/2.tiff,cmr_umm
2023-07-12,2023-07-12T00:52:40.148872+00:00,S1_290874_IW1_20230712T005239_VV_A110-BURST,136_290874_IW1,290874,106069877,2,IW1,2023-07-12T00:52:39.028864,2491.0633121075,136,DESCENDING,VV,SENTINEL-1A,49383,S1A_IWDV_0496_0502_049383_136,127710528,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230712T005232_20230712T005259_049383_05F03C_A110/IW1/VV/2.tiff,cmr_umm
2023-07-24,2023-07-24T00:52:40.907799+00:00,S1_290874_IW1_20230724T005239_VV_2B1A-BURST,136_290874_IW1,290874,106445765,2,IW1,2023-07-24T00:52:39.785752,2491.0374031075,136,DESCENDING,VV,SENTINEL-1A,49558,S1A_IWDV_0496_0502_049558_136,128171296,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230724T005233_20230724T005300_049558_05F58F_2B1A/IW1/VV/2.tiff,cmr_umm
2023-08-05,2023-08-05T00:52:41.892509+00:00,S1_290874_IW1_20230805T005240_VV_4B4F-BURST,136_290874_IW1,290874,106821652,2,IW1,2023-08-05T00:52:40.766351,2491.0634261075,136,DESCENDING,VV,SENTINEL-1A,49733,S1A_IWDV_0496_0502_049733_136,127710528,https://sentinel1-burst.asf.alaska.edu/S1A_IW_SLC__1SDV_20230805T005234_20230805T005301_049733_05FAF9_4B4F/IW1/VV/2.tiff,cmr_umm
