job_name,job_id,pair_id,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,burst_count,looks,apply_water_mask,status,submitted_at,batch_index,run_id
delhi_ncr_sbas_a27_v1_prod_20211006_20211018,a37d5ccc-0f28-4529-a92b-14b6c0979f28,20211006_20211018,2021-10-06,2021-10-18,12,61.0,4,10x2,True,PENDING,2026-09-21T23:30:30.281358+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211006_20211030,ebe53701-58ea-4963-8b08-dce83c32e735,20211006_20211030,2021-10-06,2021-10-30,24,101.0,4,10x2,True,PENDING,2026-09-21T23:30:31.271791+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211006_20211111,de9747a4-7c3b-4629-84c1-b1736a972ac8,20211006_20211111,2021-10-06,2021-11-11,36,107.0,4,10x2,True,PENDING,2026-09-21T23:30:32.253674+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211018_20211030,92a5f74e-3b7d-4550-89e4-5db0b09b4237,20211018_20211030,2021-10-18,2021-10-30,12,45.0,4,10x2,True,PENDING,2026-09-21T23:30:33.603386+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211018_20211111,4f8a29e8-2dbc-4811-a566-540b3a819e20,20211018_20211111,2021-10-18,2021-11-11,24,50.0,4,10x2,True,PENDING,2026-09-21T23:30:34.307912+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211018_20211123,84389cd3-b41e-4122-bcf8-cbb96bffd3f2,20211018_20211123,2021-10-18,2021-11-23,36,43.0,4,10x2,True,PENDING,2026-09-21T23:30:34.978548+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211030_20211111,a03fb126-c68e-4c21-bae8-5528298b8715,20211030_20211111,2021-10-30,2021-11-11,12,6.0,4,10x2,True,PENDING,2026-09-21T23:30:35.820913+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211030_20211123,c860d25f-37c4-4791-85bc-b729f8b44957,20211030_20211123,2021-10-30,2021-11-23,24,4.0,4,10x2,True,PENDING,2026-09-21T23:30:36.768823+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211030_20211205,3a869d04-6dac-4a5d-bbfc-824881e4587b,20211030_20211205,2021-10-30,2021-12-05,36,56.0,4,10x2,True,PENDING,2026-09-21T23:30:37.742944+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211111_20211123,e39d4dd9-0af7-42b9-96ec-0e009a82d4a9,20211111_20211123,2021-11-11,2021-11-23,12,9.0,4,10x2,True,PENDING,2026-09-21T23:30:38.417739+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211111_20211205,acde0886-d815-44a8-8387-98a577dec42f,20211111_20211205,2021-11-11,2021-12-05,24,62.0,4,10x2,True,PENDING,2026-09-21T23:30:39.134398+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211111_20211217,f9224a5e-4745-49b9-bd40-70005d55e461,20211111_20211217,2021-11-11,2021-12-17,36,83.0,4,10x2,True,PENDING,2026-09-21T23:30:40.172860+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211123_20211205,ce8755a9-b57a-4d76-ae1c-f36e3bbdc8bc,20211123_20211205,2021-11-23,2021-12-05,12,58.0,4,10x2,True,PENDING,2026-09-21T23:30:40.876217+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211123_20211217,fe8cf51b-b764-4ede-b5c1-a8703f67b293,20211123_20211217,2021-11-23,2021-12-17,24,74.0,4,10x2,True,PENDING,2026-09-21T23:30:41.694975+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211123_20211229,8b27910c-cbec-4e64-8088-9b61e0cea92e,20211123_20211229,2021-11-23,2021-12-29,36,122.0,4,10x2,True,PENDING,2026-09-21T23:30:42.594371+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211205_20211217,a4804b2d-7985-4ca3-a046-bf3f59816b44,20211205_20211217,2021-12-05,2021-12-17,12,22.0,4,10x2,True,PENDING,2026-09-21T23:30:43.575225+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211205_20211229,a3a47a75-1742-4dfa-9d82-0818ebe5f088,20211205_20211229,2021-12-05,2021-12-29,24,64.0,4,10x2,True,PENDING,2026-09-21T23:30:44.274483+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211205_20220110,b06649a9-1b8b-4c75-ad4f-b17f10a91991,20211205_20220110,2021-12-05,2022-01-10,36,58.0,4,10x2,True,PENDING,2026-09-21T23:30:44.996607+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211217_20211229,92bf6865-2554-4437-8426-c80b9d0882a2,20211217_20211229,2021-12-17,2021-12-29,12,48.0,4,10x2,True,PENDING,2026-09-21T23:30:46.075487+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211217_20220110,e38c76c3-1d6a-4807-9fb9-4c988c064a5b,20211217_20220110,2021-12-17,2022-01-10,24,74.0,4,10x2,True,PENDING,2026-09-21T23:30:46.763506+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211217_20220122,020c274a-927b-47b5-913e-30441cb22878,20211217_20220122,2021-12-17,2022-01-22,36,8.0,4,10x2,True,PENDING,2026-09-21T23:30:47.457783+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211229_20220110,f870cbcb-376f-437a-82f1-d3f9f4c50829,20211229_20220110,2021-12-29,2022-01-10,12,122.0,4,10x2,True,PENDING,2026-09-21T23:30:48.150652+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211229_20220122,f71b05eb-82b9-43b9-b076-c28ea8b2cc91,20211229_20220122,2021-12-29,2022-01-22,24,50.0,4,10x2,True,PENDING,2026-09-21T23:30:49.125398+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20211229_20220203,c5939ea1-77d4-4abe-9986-f940fbb885ac,20211229_20220203,2021-12-29,2022-02-03,36,18.0,4,10x2,True,PENDING,2026-09-21T23:30:49.852660+00:00,1,20260921T233028Z
delhi_ncr_sbas_a27_v1_prod_20220110_20220122,211d09ae-17fa-4451-b67c-eaf8f9c24ee2,20220110_20220122,2022-01-10,2022-01-22,12,72.0,4,10x2,True,PENDING,2026-09-21T23:30:50.545803+00:00,1,20260921T233028Z
