date,degree
2021-11-11,6
2021-11-23,6
2021-12-05,6
2021-12-17,6
2021-12-29,6
2022-01-10,6
2022-01-22,6
2022-02-03,6
2022-02-15,6
2022-02-27,6
2022-03-11,6
2022-03-23,6
2022-04-04,6
2022-04-16,6
2022-04-28,6
2022-05-10,6
2022-05-22,6
2022-06-03,6
2022-06-15,6
2022-06-27,6
2022-07-09,6
2022-07-21,6
2022-08-02,6
2022-08-14,6
2022-08-26,6
2022-09-19,6
2022-10-01,6
2022-10-25,6
2022-11-06,6
2022-11-18,6
2022-11-30,6
2022-12-12,6
2022-12-24,6
2023-01-05,6
2023-02-10,6
2023-02-22,6
2023-03-06,6
2023-03-18,6
2023-03-30,6
2023-04-11,6
2023-04-23,6
2023-05-05,6
2023-05-17,6
2023-05-29,6
2023-06-10,6
2023-06-22,6
2023-07-04,6
2023-08-21,6
2023-09-02,6
2023-09-14,6
2023-09-26,6
2023-10-08,6
2023-11-01,6
2023-11-13,6
2023-12-07,6
2023-12-19,6
2023-12-31,6
2024-01-12,6
2024-01-24,6
2024-02-05,6
2024-02-17,6
2024-02-29,6
2024-03-12,6
2024-03-24,6
2024-04-05,6
2024-04-17,6
2024-04-29,6
2024-05-11,6
2024-08-15,6
2024-09-08,6
2024-09-20,6
2024-10-02,6
2024-10-14,6
2025-01-18,6
2025-01-30,6
2025-02-11,6
2025-02-23,6
2025-03-07,6
2025-03-19,6
2025-03-31,6
2025-07-05,6
2025-07-17,6
2025-07-29,6
2025-08-10,6
2025-08-22,6
2021-10-30,5
2022-09-07,5
2022-10-13,5
2023-01-17,5
2023-01-29,5
2023-07-16,5
2023-07-28,5
2023-10-20,5
2023-11-25,5
2024-05-23,5
2024-06-04,5
2024-06-16,5
2024-07-10,5
2024-08-03,5
2024-08-27,5
2024-10-26,5
2024-11-07,5
2024-11-19,5
2024-12-13,5
2024-12-25,5
2025-01-06,5
2025-04-12,5
2025-04-24,5
2025-05-06,5
2025-05-30,5
2025-06-11,5
2025-06-23,5
2025-09-03,5
2021-10-18,4
2023-08-09,4
2024-07-22,4
2025-09-15,4
2021-10-06,3
2025-09-27,3
