date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,coherence_median,largest_component_frac_aoi,residual_rms_rad,residual_frac_abs_gt_1rad,reasons,n_reasons
20230330_20230411,20230330,20230411,12,118.5,0.421,0.723959,18.6066,0.999992,largest connected component 0.724 below the 12 d class bound 0.811; residual RMS 18.607 rad above the 12 d class bound 16.460,2
20230809_20230821,20230809,20230821,12,133.0,0.454,0.70957,19.2274,1.0,largest connected component 0.710 below the 12 d class bound 0.811; residual RMS 19.227 rad above the 12 d class bound 16.460,2
20220721_20220802,20220721,20220802,12,-11.6,0.5055,0.805925,18.9447,1.0,largest connected component 0.806 below the 12 d class bound 0.811; residual RMS 18.945 rad above the 12 d class bound 16.460,2
20230318_20230330,20230318,20230330,12,36.4,0.5276,0.803143,21.4537,0.999999,largest connected component 0.803 below the 12 d class bound 0.811; residual RMS 21.454 rad above the 12 d class bound 16.460,2
20230728_20230902,20230728,20230902,36,-50.6,0.3315,0.370652,43.9575,1.0,residual RMS 43.958 rad above the 36 d class bound 20.900,1
20230622_20230716,20230622,20230716,24,180.4,0.3417,0.480521,20.1895,0.99987,residual RMS 20.189 rad above the 24 d class bound 18.254,1
20230222_20230330,20230222,20230330,36,117.6,0.3431,0.478212,34.9715,1.0,residual RMS 34.971 rad above the 36 d class bound 20.900,1
20220615_20220721,20220615,20220721,36,153.1,0.3455,0.456573,42.335,1.0,residual RMS 42.335 rad above the 36 d class bound 20.900,1
20230809_20230902,20230809,20230902,24,235.3,0.3601,0.53823,37.4955,1.0,residual RMS 37.495 rad above the 24 d class bound 18.254,1
20230716_20230728,20230716,20230728,12,13.3,0.364,0.569785,6.1247,0.958425,largest connected component 0.570 below the 12 d class bound 0.811,1
20230809_20230914,20230809,20230914,36,142.0,0.368,0.542172,23.3572,1.0,residual RMS 23.357 rad above the 36 d class bound 20.900,1
20220814_20220907,20220814,20220907,24,159.7,0.3703,0.567749,22.191,1.0,residual RMS 22.191 rad above the 24 d class bound 18.254,1
20230529_20230704,20230529,20230704,36,-101.4,0.3771,0.560232,21.3807,1.0,residual RMS 21.381 rad above the 36 d class bound 20.900,1
20250903_20250915,20250903,20250915,12,98.7,0.3895,0.586011,3.6227,0.952256,largest connected component 0.586 below the 12 d class bound 0.811,1
20230330_20230423,20230330,20230423,24,37.5,0.3993,0.677298,22.315,1.0,residual RMS 22.315 rad above the 24 d class bound 18.254,1
20240815_20240827,20240815,20240827,12,145.4,0.4019,0.641861,4.2376,0.972851,largest connected component 0.642 below the 12 d class bound 0.811,1
20230704_20230716,20230704,20230716,12,94.6,0.4024,0.678302,10.0462,0.999407,largest connected component 0.678 below the 12 d class bound 0.811,1
20250822_20250903,20250822,20250903,12,50.1,0.4198,0.611256,7.7741,0.998203,largest connected component 0.611 below the 12 d class bound 0.811,1
20220802_20220814,20220802,20220814,12,-49.2,0.4247,0.645825,4.3558,0.980606,largest connected component 0.646 below the 12 d class bound 0.811,1
20240722_20240803,20240722,20240803,12,129.1,0.4249,0.649419,1.3238,0.277948,largest connected component 0.649 below the 12 d class bound 0.811,1
20230622_20230704,20230622,20230704,12,85.8,0.4344,0.651666,16.2359,0.999954,largest connected component 0.652 below the 12 d class bound 0.811,1
20230529_20230622,20230529,20230622,24,-187.3,0.4404,0.718609,19.9084,1.0,residual RMS 19.908 rad above the 24 d class bound 18.254,1
20250705_20250717,20250705,20250717,12,42.8,0.4601,0.710067,3.1773,0.936048,largest connected component 0.710 below the 12 d class bound 0.811,1
20220919_20221001,20220919,20221001,12,180.9,0.4619,0.727322,7.6493,0.998947,largest connected component 0.727 below the 12 d class bound 0.811,1
20240827_20240908,20240827,20240908,12,-20.1,0.4639,0.683709,2.6117,0.919272,largest connected component 0.684 below the 12 d class bound 0.811,1
20240803_20240815,20240803,20240815,12,-18.6,0.4658,0.766791,3.7528,0.972985,largest connected component 0.767 below the 12 d class bound 0.811,1
20240920_20241002,20240920,20241002,12,-68.4,0.4668,0.724377,7.819,0.998589,largest connected component 0.724 below the 12 d class bound 0.811,1
20220814_20220826,20220814,20220826,12,-44.7,0.4792,0.761338,4.432,0.98837,largest connected component 0.761 below the 12 d class bound 0.811,1
20250729_20250810,20250729,20250810,12,18.7,0.4803,0.652558,1.5665,0.390028,largest connected component 0.653 below the 12 d class bound 0.811,1
20230902_20230914,20230902,20230914,12,-93.3,0.4863,0.794004,5.8042,0.996941,largest connected component 0.794 below the 12 d class bound 0.811,1
20230821_20230902,20230821,20230902,12,102.3,0.4881,0.79385,3.7487,0.927841,largest connected component 0.794 below the 12 d class bound 0.811,1
20220709_20220721,20220709,20220721,12,-10.7,0.4911,0.754841,6.5893,0.992886,largest connected component 0.755 below the 12 d class bound 0.811,1
20250810_20250822,20250810,20250822,12,31.4,0.4945,0.715716,2.0961,0.865539,largest connected component 0.716 below the 12 d class bound 0.811,1
20240908_20240920,20240908,20240920,12,-56.9,0.5042,0.797459,6.7093,0.998963,largest connected component 0.797 below the 12 d class bound 0.811,1
20230517_20230529,20230517,20230529,12,14.9,0.5115,0.755225,14.8455,0.999953,largest connected component 0.755 below the 12 d class bound 0.811,1
20220627_20220709,20220627,20220709,12,47.8,0.5371,0.748235,8.3851,0.997705,largest connected component 0.748 below the 12 d class bound 0.811,1
20220907_20220919,20220907,20220919,12,-247.8,0.5384,0.912689,29.1024,0.999995,residual RMS 29.102 rad above the 12 d class bound 16.460,1
20240429_20240523,20240429,20240523,24,-185.0,0.6659,0.937493,22.58,1.0,residual RMS 22.580 rad above the 24 d class bound 18.254,1
20240511_20240523,20240511,20240523,12,-128.3,0.8198,0.983405,16.694,1.0,residual RMS 16.694 rad above the 12 d class bound 16.460,1
