pair_id,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,perpendicular_baseline_max_abs_m,perpendicular_baseline_min_m,perpendicular_baseline_median_m,burst_count,reference_burst_ids_json,secondary_burst_ids_json,reference_scene_names_json,secondary_scene_names_json
20211006_20211018,2021-10-06,2021-10-18,12,61.0,61.0,-61.0,-60.0,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211006T125536_VV_4BD1-BURST"", ""S1_056012_IW2_20211006T125539_VV_4BD1-BURST"", ""S1_056013_IW2_20211006T125541_VV_3B97-BURST"", ""S1_056014_IW2_20211006T125544_VV_3B97-BURST""]","[""S1_056011_IW2_20211018T125536_VV_F83A-BURST"", ""S1_056012_IW2_20211018T125539_VV_F83A-BURST"", ""S1_056013_IW2_20211018T125542_VV_8434-BURST"", ""S1_056014_IW2_20211018T125544_VV_8434-BURST""]"
20211006_20211030,2021-10-06,2021-10-30,24,101.0,101.0,-101.0,-101.0,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211006T125536_VV_4BD1-BURST"", ""S1_056012_IW2_20211006T125539_VV_4BD1-BURST"", ""S1_056013_IW2_20211006T125541_VV_3B97-BURST"", ""S1_056014_IW2_20211006T125544_VV_3B97-BURST""]","[""S1_056011_IW2_20211030T125536_VV_6B5A-BURST"", ""S1_056012_IW2_20211030T125539_VV_6B5A-BURST"", ""S1_056013_IW2_20211030T125542_VV_A8F8-BURST"", ""S1_056014_IW2_20211030T125544_VV_A8F8-BURST""]"
20211006_20211111,2021-10-06,2021-11-11,36,107.0,107.0,-107.0,-105.5,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211006T125536_VV_4BD1-BURST"", ""S1_056012_IW2_20211006T125539_VV_4BD1-BURST"", ""S1_056013_IW2_20211006T125541_VV_3B97-BURST"", ""S1_056014_IW2_20211006T125544_VV_3B97-BURST""]","[""S1_056011_IW2_20211111T125536_VV_B09E-BURST"", ""S1_056012_IW2_20211111T125538_VV_B09E-BURST"", ""S1_056013_IW2_20211111T125541_VV_EA07-BURST"", ""S1_056014_IW2_20211111T125544_VV_EA07-BURST""]"
20211018_20211030,2021-10-18,2021-10-30,12,45.0,45.0,-45.0,-41.0,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211018T125536_VV_F83A-BURST"", ""S1_056012_IW2_20211018T125539_VV_F83A-BURST"", ""S1_056013_IW2_20211018T125542_VV_8434-BURST"", ""S1_056014_IW2_20211018T125544_VV_8434-BURST""]","[""S1_056011_IW2_20211030T125536_VV_6B5A-BURST"", ""S1_056012_IW2_20211030T125539_VV_6B5A-BURST"", ""S1_056013_IW2_20211030T125542_VV_A8F8-BURST"", ""S1_056014_IW2_20211030T125544_VV_A8F8-BURST""]"
20211018_20211111,2021-10-18,2021-11-11,24,50.0,50.0,-50.0,-45.5,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211018T125536_VV_F83A-BURST"", ""S1_056012_IW2_20211018T125539_VV_F83A-BURST"", ""S1_056013_IW2_20211018T125542_VV_8434-BURST"", ""S1_056014_IW2_20211018T125544_VV_8434-BURST""]","[""S1_056011_IW2_20211111T125536_VV_B09E-BURST"", ""S1_056012_IW2_20211111T125538_VV_B09E-BURST"", ""S1_056013_IW2_20211111T125541_VV_EA07-BURST"", ""S1_056014_IW2_20211111T125544_VV_EA07-BURST""]"
20211018_20211123,2021-10-18,2021-11-23,36,43.0,43.0,-43.0,-41.0,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211018T125536_VV_F83A-BURST"", ""S1_056012_IW2_20211018T125539_VV_F83A-BURST"", ""S1_056013_IW2_20211018T125542_VV_8434-BURST"", ""S1_056014_IW2_20211018T125544_VV_8434-BURST""]","[""S1_056011_IW2_20211123T125535_VV_75A3-BURST"", ""S1_056012_IW2_20211123T125538_VV_75A3-BURST"", ""S1_056013_IW2_20211123T125541_VV_DD2D-BURST"", ""S1_056014_IW2_20211123T125544_VV_DD2D-BURST""]"
20211030_20211111,2021-10-30,2021-11-11,12,6.0,6.0,-6.0,-4.5,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211030T125536_VV_6B5A-BURST"", ""S1_056012_IW2_20211030T125539_VV_6B5A-BURST"", ""S1_056013_IW2_20211030T125542_VV_A8F8-BURST"", ""S1_056014_IW2_20211030T125544_VV_A8F8-BURST""]","[""S1_056011_IW2_20211111T125536_VV_B09E-BURST"", ""S1_056012_IW2_20211111T125538_VV_B09E-BURST"", ""S1_056013_IW2_20211111T125541_VV_EA07-BURST"", ""S1_056014_IW2_20211111T125544_VV_EA07-BURST""]"
20211030_20211123,2021-10-30,2021-11-23,24,4.0,4.0,-2.0,0.0,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211030T125536_VV_6B5A-BURST"", ""S1_056012_IW2_20211030T125539_VV_6B5A-BURST"", ""S1_056013_IW2_20211030T125542_VV_A8F8-BURST"", ""S1_056014_IW2_20211030T125544_VV_A8F8-BURST""]","[""S1_056011_IW2_20211123T125535_VV_75A3-BURST"", ""S1_056012_IW2_20211123T125538_VV_75A3-BURST"", ""S1_056013_IW2_20211123T125541_VV_DD2D-BURST"", ""S1_056014_IW2_20211123T125544_VV_DD2D-BURST""]"
20211030_20211205,2021-10-30,2021-12-05,36,56.0,56.0,56.0,56.0,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211030T125536_VV_6B5A-BURST"", ""S1_056012_IW2_20211030T125539_VV_6B5A-BURST"", ""S1_056013_IW2_20211030T125542_VV_A8F8-BURST"", ""S1_056014_IW2_20211030T125544_VV_A8F8-BURST""]","[""S1_056011_IW2_20211205T125535_VV_6B05-BURST"", ""S1_056012_IW2_20211205T125538_VV_6B05-BURST"", ""S1_056013_IW2_20211205T125540_VV_AACE-BURST"", ""S1_056014_IW2_20211205T125543_VV_AACE-BURST""]"
20211111_20211123,2021-11-11,2021-11-23,12,9.0,9.0,2.0,5.0,4,"[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""027_056011_IW2"", ""027_056012_IW2"", ""027_056013_IW2"", ""027_056014_IW2""]","[""S1_056011_IW2_20211111T125536_VV_B09E-BURST"", ""S1_056012_IW2_20211111T125538_VV_B09E-BURST"", ""S1_056013_IW2_20211111T125541_VV_EA07-BURST"", ""S1_056014_IW2_20211111T125544_VV_EA07-BURST""]","[""S1_056011_IW2_20211123T125535_VV_75A3-BURST"", ""S1_056012_IW2_20211123T125538_VV_75A3-BURST"", ""S1_056013_IW2_20211123T125541_VV_DD2D-BURST"", ""S1_056014_IW2_20211123T125544_VV_DD2D-BURST""]"
