station,distance_km,catalogue_solutions,parsed_solutions,data_begin,data_end,study_period_n,study_period_span_years,study_period_vertical_rate_mm_per_yr,study_period_uncertainty_mm_per_yr,full_record_vertical_rate_mm_per_yr,usable
DLHI,6.8,7,7,2021-09-12,2021-09-18,0,,,,145.8,False
GCP5,6.8,4,4,2025-09-08,2025-09-13,4,0.014,-448.172,1025.019,-448.172,False
DELH,6.9,14,14,2023-09-10,2025-09-13,14,2.01,5.385,1.208,5.385,False
LIAA,7.5,491,491,2018-12-07,2021-02-06,0,,,,2.645,False
MAT4,142.9,14,14,2023-09-10,2025-09-13,14,2.01,-1.573,0.83,-1.573,False
DEHD,208.8,21,21,2021-09-12,2025-09-13,14,3.006,-23.947,0.618,-18.268,False
DEHR,208.8,6,6,2019-09-15,2019-09-21,0,,,,127.275,False
DRDN,209.9,682,682,2024-06-09,2026-09-05,351,1.3,-62.633,2.761,-21.674,False
RGDC,226.4,23,23,2019-09-15,2025-09-13,9,2.01,3.547,2.246,-13.991,False
GARH,232.3,7,7,2021-09-12,2021-09-18,0,,,,944.093,False
GCP1,232.3,2,2,2025-09-09,2025-09-12,2,,,,,False
CHD1,232.4,14,14,2023-09-10,2025-09-13,14,2.01,-77.994,2.198,-77.994,False
SRID,307.9,5,5,2025-09-08,2025-09-13,5,0.014,-315.844,287.52,-315.844,False
MUNS,343.3,3,3,2025-09-07,2025-09-11,3,0.011,-100.626,433.036,-100.626,False
GUR1,347.0,14,14,2023-09-10,2025-09-13,14,2.01,-0.327,1.609,-0.327,False
KUL3,361.6,5,5,2025-09-07,2025-09-13,5,0.016,832.24,485.051,832.24,False
IITK,388.8,1539,1539,2022-01-26,2026-09-05,1200,3.669,10.009,0.458,11.874,True
LCK3,425.7,2483,2483,2014-09-17,2023-12-11,748,2.179,2.15,0.684,-2.233,True
LCK4,425.7,3455,3455,2014-09-17,2026-09-05,1325,3.975,-24.748,0.509,-7.62,True
GOMT,433.3,12,12,2021-09-12,2022-09-17,7,0.016,-408.245,208.624,117.479,False
CDW1,435.5,5,5,2025-09-07,2025-09-12,5,0.014,-153.473,109.675,-153.473,False
NPGJ,444.1,4679,4679,2007-05-19,2022-02-06,113,0.337,13.151,22.031,-0.713,False
JDPR,484.5,1691,1691,2021-03-11,2026-09-05,1238,3.97,-21.076,0.611,-20.558,True
