station,lat,lon,distance_km,data_begin,data_end,n_solutions
DLHI,28.5811,77.0917,6.8,2021-09-12,2021-09-18,7
GCP5,28.5811,77.0917,6.8,2025-09-08,2025-09-13,4
DELH,28.5806,77.0905,6.9,2023-09-10,2025-09-13,14
LIAA,28.6371,77.1716,7.5,2018-12-07,2021-02-06,491
MAT4,27.4715,77.6939,142.9,2023-09-10,2025-09-13,14
DEHD,30.3246,78.0547,208.8,2021-09-12,2025-09-13,21
DEHR,30.3246,78.0547,208.8,2019-09-15,2019-09-21,6
DRDN,30.3403,78.0442,209.9,2024-06-09,2026-09-05,682
RGDC,26.9675,75.7866,226.4,2019-09-15,2025-09-13,23
GARH,30.7139,76.7776,232.3,2021-09-12,2021-09-18,7
GCP1,30.7139,76.7776,232.3,2025-09-09,2025-09-12,2
CHD1,30.7142,76.7783,232.4,2023-09-10,2025-09-13,14
SRID,28.0867,74.0119,307.9,2025-09-08,2025-09-13,5
DNGD,28.7544,80.5818,340.3,2008-05-06,2019-08-17,2687
MUNS,30.0625,80.2408,343.3,2025-09-07,2025-09-11,3
GUR1,30.7149,74.4097,347.0,2023-09-10,2025-09-13,14
GNTW,29.1765,80.6262,348.8,2008-04-30,2015-09-28,1628
DRCL,29.7338,80.5009,352.2,2008-03-13,2015-02-04,1613
KUL3,31.8945,77.1386,361.6,2025-09-07,2025-09-13,5
BIKA,28.0336,73.2583,381.5,2013-11-30,2019-12-02,1791
IITK,26.5214,80.2321,388.8,2022-01-26,2026-09-05,1539
BYNA,29.4742,81.2007,409.6,2009-04-18,2012-06-28,1098
LCK2,26.9126,80.956,425.7,2011-10-11,2014-07-24,994
LCK3,26.9122,80.9556,425.7,2014-09-17,2023-12-11,2483
LCK4,26.9121,80.9556,425.7,2014-09-17,2026-09-05,3455
LCKI,26.9124,80.9559,425.7,2011-10-11,2014-07-17,987
GOMT,26.8605,81.0116,433.3,2021-09-12,2022-09-17,12
CDW1,25.9995,73.8412,435.5,2025-09-07,2025-09-12,5
NEPA,28.1341,81.5747,441.8,1996-11-04,1998-06-16,193
NPGJ,28.1172,81.5953,444.1,2007-05-19,2022-02-06,4679
NEPJ,28.0493,81.6154,447.2,1998-06-17,2000-12-02,434
BMCL,28.6558,81.7144,450.7,2007-03-18,2016-06-26,3114
SMKT,29.9694,81.8065,480.0,2008-05-16,2016-07-20,2532
SKOT,29.9684,81.8211,481.3,1996-11-11,2000-12-05,70
JDPR,26.2064,73.0239,484.5,2021-03-11,2026-09-05,1691
