index,date12,reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,aoi_px,unwrap_valid_px,unwrap_valid_frac_aoi,coherence_valid_px,coherence_valid_frac_aoi,coherence_median,coherence_p25,coherence_mean,components_in_aoi,largest_component_frac_aoi,coherence_frac_gt_0.2,coherence_frac_gt_0.3,coherence_frac_gt_0.5
0,20211006_20211018,20211006,20211018,12,56.3,1226497,1203788,0.981485,1226497,1.0,0.5229,0.3301,0.5614,2,0.836707,0.996205,0.819845,0.522309
1,20211006_20211030,20211006,20211030,24,100.4,1226497,1203680,0.981397,1226497,1.0,0.4225,0.3012,0.5105,5,0.664852,0.994951,0.754109,0.42409
2,20211006_20211111,20211006,20211111,36,105.3,1226497,1203768,0.981468,1226497,1.0,0.3824,0.2912,0.4868,6,0.568964,0.99457,0.715334,0.37968
3,20211018_20211030,20211018,20211030,12,44.1,1226497,1203705,0.981417,1226497,1.0,0.7076,0.4478,0.6623,1,0.939257,0.997583,0.901882,0.703998
4,20211018_20211111,20211018,20211111,24,48.9,1226497,1203798,0.981493,1226497,1.0,0.5056,0.3224,0.5522,4,0.811554,0.995826,0.805844,0.505381
5,20211018_20211123,20211018,20211123,36,40.2,1226497,1203801,0.981495,1226497,1.0,0.4071,0.2961,0.5074,5,0.625044,0.994707,0.735796,0.414336
6,20211030_20211111,20211030,20211111,12,4.9,1226497,1203775,0.981474,1226497,1.0,0.8258,0.6277,0.7546,8,0.981356,0.998766,0.955046,0.845442
7,20211030_20211123,20211030,20211123,24,-3.9,1226497,1203775,0.981474,1226497,1.0,0.6551,0.3741,0.6297,5,0.874984,0.997081,0.862265,0.630124
8,20211030_20211205,20211030,20211205,36,-55.3,1226497,1203728,0.981436,1226497,1.0,0.5219,0.3164,0.5674,4,0.722546,0.995897,0.79396,0.516457
9,20211111_20211123,20211111,20211123,12,-8.7,1226497,1203796,0.981491,1226497,1.0,0.8419,0.6513,0.7686,10,0.985252,0.998784,0.959741,0.860034
10,20211111_20211205,20211111,20211205,24,-60.1,1226497,1203742,0.981447,1226497,1.0,0.6498,0.3759,0.628,10,0.891622,0.997283,0.865119,0.628777
11,20211111_20211217,20211111,20211217,36,-82.3,1226497,1203783,0.981481,1226497,1.0,0.5439,0.3207,0.5779,8,0.719365,0.996151,0.802927,0.532417
12,20211123_20211205,20211123,20211205,12,-51.4,1226497,1203742,0.981447,1226497,1.0,0.8481,0.6774,0.7789,15,0.988723,0.998876,0.96689,0.879987
13,20211123_20211217,20211123,20211217,24,-73.5,1226497,1203781,0.981479,1226497,1.0,0.7068,0.4235,0.6601,4,0.936625,0.997629,0.893475,0.68141
14,20211123_20211229,20211123,20211229,36,-115.8,1226497,1203810,0.981503,1226497,1.0,0.5464,0.3262,0.5754,4,0.774929,0.996065,0.812605,0.537683
15,20211205_20211217,20211205,20211217,12,-22.1,1226497,1203739,0.981445,1226497,1.0,0.8635,0.7154,0.7992,10,0.992243,0.999223,0.975212,0.90645
16,20211205_20211229,20211205,20211229,24,-64.4,1226497,1203775,0.981474,1226497,1.0,0.7188,0.4558,0.6704,1,0.954226,0.997901,0.909564,0.709701
17,20211205_20220110,20211205,20220110,36,50.9,1226497,1203880,0.98156,1226497,1.0,0.4921,0.3118,0.5523,10,0.697418,0.995792,0.784193,0.493855
18,20211217_20211229,20211217,20211229,12,-42.3,1226497,1203759,0.981461,1226497,1.0,0.8778,0.7488,0.8153,14,0.994061,0.999234,0.978903,0.922526
19,20211217_20220110,20211217,20220110,24,73.1,1226497,1203946,0.981613,1226497,1.0,0.5661,0.3372,0.5843,4,0.820944,0.996456,0.828939,0.556707
20,20211217_20220122,20211217,20220122,36,7.4,1226497,1203764,0.981465,1226497,1.0,0.4938,0.314,0.5566,5,0.711385,0.99584,0.789832,0.494984
21,20211229_20220110,20211229,20220110,12,115.4,1226497,1203844,0.98153,1226497,1.0,0.7338,0.4657,0.6761,15,0.943972,0.997726,0.908972,0.721058
22,20211229_20220122,20211229,20220122,24,49.7,1226497,1203797,0.981492,1226497,1.0,0.5974,0.3579,0.603,5,0.864201,0.997006,0.853668,0.589825
