index,date12,reference_date,secondary_date,perpendicular_baseline_m,residual_px,residual_rms_rad,residual_median_rad,residual_frac_abs_gt_1rad
0,20211006_20211018,20211006,20211018,56.3,1203788,7.7326,7.6475,0.999634
1,20211006_20211030,20211006,20211030,100.4,1203680,7.3017,-7.2012,0.999416
2,20211006_20211111,20211006,20211111,105.3,1203768,8.2142,-8.0561,0.999218
3,20211018_20211030,20211018,20211030,44.1,1203705,2.317,-2.2224,0.963309
4,20211018_20211111,20211018,20211111,48.9,1203798,3.2344,-3.0916,0.969721
5,20211018_20211123,20211018,20211123,40.2,1203801,2.9626,-2.5632,0.938766
6,20211030_20211111,20211030,20211111,4.9,1203775,0.9773,-0.8497,0.177444
7,20211030_20211123,20211030,20211123,-3.9,1203775,0.9057,-0.3124,0.142845
8,20211030_20211205,20211030,20211205,-55.3,1203728,10.3838,-10.2585,0.999986
9,20211111_20211123,20211111,20211123,-8.7,1203796,0.7713,0.5759,0.083973
10,20211111_20211205,20211111,20211205,-60.1,1203742,3.2097,-3.0956,0.979279
11,20211111_20211217,20211111,20211217,-82.3,1203783,3.4289,-3.1654,0.972663
12,20211123_20211205,20211123,20211205,-51.4,1203742,2.6873,2.6276,0.993624
13,20211123_20211217,20211123,20211217,-73.5,1203781,2.6765,2.5774,0.974352
14,20211123_20211229,20211123,20211229,-115.8,1203810,1.2267,0.6404,0.24869
15,20211205_20211217,20211205,20211217,-22.1,1203739,0.3803,-0.0233,0.02929
16,20211205_20211229,20211205,20211229,-64.4,1203775,2.0518,-1.9497,0.951863
17,20211205_20220110,20211205,20220110,50.9,1203880,4.48,-4.287,0.989619
18,20211217_20211229,20211217,20211229,-42.3,1203759,1.9203,-1.888,0.985221
19,20211217_20220110,20211217,20220110,73.1,1203946,4.3167,-4.2255,0.991924
20,20211217_20220122,20211217,20220122,7.4,1203764,1.1888,0.473,0.237593
21,20211229_20220110,20211229,20220110,115.4,1203844,2.3519,-2.278,0.9652
22,20211229_20220122,20211229,20220122,49.7,1203797,3.9296,-3.8555,0.989675
23,20211229_20220203,20211229,20220203,-17.6,1203776,4.5935,4.512,0.9921
24,20220110_20220122,20220110,20220122,-65.7,1203866,1.6122,-1.5682,0.957989
25,20220110_20220203,20220110,20220203,-133.0,1203880,6.864,6.8433,0.999937
26,20220110_20220215,20220110,20220215,-52.4,1203866,3.0651,-2.849,0.973865
27,20220122_20220203,20220122,20220203,-67.3,1203793,8.4633,8.4333,0.999998
28,20220122_20220215,20220122,20220215,13.3,1203742,1.4759,-1.2718,0.808071
29,20220122_20220227,20220122,20220227,30.8,1203662,1.0731,0.4037,0.207824
30,20220203_20220215,20220203,20220215,80.6,1203837,9.6349,-9.6406,0.999995
31,20220203_20220227,20220203,20220227,98.1,1203720,1.9286,-1.6927,0.896844
32,20220203_20220311,20220203,20220311,123.5,1203830,9.3896,-9.2805,0.999868
33,20220215_20220227,20220215,20220227,17.5,1203708,7.9982,7.9689,0.999986
34,20220215_20220311,20220215,20220311,42.9,1203829,12.9598,12.95,1.0
35,20220215_20220323,20220215,20220323,120.5,1203694,2.3759,-2.0999,0.925453
36,20220227_20220311,20220227,20220311,25.4,1203745,5.0661,4.9929,0.999398
37,20220227_20220323,20220227,20220323,103.0,1203795,10.0914,-10.0665,0.999859
38,20220227_20220404,20220227,20220404,45.4,1203789,3.8605,-3.6876,0.983198
39,20220311_20220323,20220311,20220323,77.6,1203905,15.052,-15.0622,0.999993
40,20220311_20220404,20220311,20220404,19.9,1203917,8.7371,-8.6758,0.999909
41,20220311_20220416,20220311,20220416,-4.5,1203921,8.3756,8.3217,0.999664
42,20220323_20220404,20220323,20220404,-57.7,1203850,6.3925,6.3553,0.999607
43,20220323_20220416,20220323,20220416,-82.1,1203816,17.1124,17.0849,0.999759
44,20220323_20220428,20220323,20220428,-32.3,1203838,9.5742,9.525,0.999909
45,20220404_20220416,20220404,20220416,-24.4,1203764,10.7204,10.7211,0.999535
46,20220404_20220428,20220404,20220428,25.3,1203853,3.195,3.1373,0.990324
47,20220404_20220510,20220404,20220510,-31.7,1203820,9.3233,9.2996,0.999897
48,20220416_20220428,20220416,20220428,49.8,1203792,7.5625,-7.5637,0.999524
49,20220416_20220510,20220416,20220510,-7.3,1203958,1.5411,-1.407,0.904266
50,20220416_20220522,20220416,20220522,-26.8,1203772,10.4788,-10.4342,0.999916
