index,date12,residual_rms_rad,residual_frac_abs_gt_1rad
0,20211006_20211018,8.1191,0.999724
1,20211006_20211030,9.5713,0.999931
2,20211006_20211111,8.8537,0.999568
3,20211018_20211030,4.9401,0.997143
4,20211018_20211111,4.2325,0.988099
5,20211018_20211123,3.5296,0.961371
6,20211030_20211111,0.9655,0.154021
7,20211030_20211123,1.9775,0.926719
8,20211030_20211205,9.3662,0.999934
9,20211111_20211123,1.1222,0.513829
10,20211111_20211205,3.8092,0.988557
11,20211111_20211217,5.0622,0.992865
12,20211123_20211205,1.6835,0.969449
13,20211123_20211217,0.8851,0.135898
14,20211123_20211229,1.5029,0.465227
15,20211205_20211217,1.156,0.777065
16,20211205_20211229,2.5924,0.974805
17,20211205_20220110,3.3777,0.970477
18,20211217_20211229,1.4151,0.953649
19,20211217_20220110,2.1964,0.926129
20,20211217_20220122,1.16,0.227501
21,20211229_20220110,0.8759,0.127913
22,20211229_20220122,4.521,0.994717
23,20211229_20220203,3.9856,0.984891
24,20220110_20220122,3.9009,0.997154
25,20220110_20220203,4.5402,0.997795
26,20220110_20220215,3.752,0.98779
27,20220122_20220203,8.4404,0.999998
28,20220122_20220215,0.8462,0.138038
29,20220122_20220227,2.6428,0.941581
30,20220203_20220215,8.0072,0.999989
31,20220203_20220227,1.0102,0.186561
32,20220203_20220311,8.5825,0.999755
33,20220215_20220227,8.4565,0.999989
34,20220215_20220311,12.1453,1.0
35,20220215_20220323,5.357,0.9965
36,20220227_20220311,3.8089,0.997267
37,20220227_20220323,13.6625,0.999864
38,20220227_20220404,7.2265,0.998456
39,20220311_20220323,17.3514,0.999993
40,20220311_20220404,10.8859,0.999944
41,20220311_20220416,6.6301,0.999037
42,20220323_20220404,6.5364,0.999626
43,20220323_20220416,17.6526,0.999759
44,20220323_20220428,11.2181,0.999934
45,20220404_20220416,11.1163,0.999536
46,20220404_20220428,4.6842,0.998048
47,20220404_20220510,11.9323,0.999954
48,20220416_20220428,6.4537,0.999519
49,20220416_20220510,1.0514,0.226052
50,20220416_20220522,8.2309,0.999881
51,20220428_20220510,7.3242,0.999907
52,20220428_20220522,1.8384,0.941883
53,20220428_20220603,4.4472,0.98342
54,20220510_20220522,8.9707,0.999995
55,20220510_20220603,3.5369,0.974168
56,20220510_20220615,1.3676,0.256606
57,20220522_20220603,6.2059,0.997959
58,20220522_20220615,2.7572,0.937543
59,20220522_20220627,19.9789,1.0
60,20220603_20220615,3.588,0.987311
61,20220603_20220627,1.7236,0.858981
62,20220603_20220709,17.4845,0.999999
63,20220615_20220627,5.1605,0.992
64,20220615_20220709,15.5461,0.999998
65,20220615_20220721,44.6116,1.0
66,20220627_20220709,3.9434,0.957941
67,20220627_20220721,4.6952,0.945701
68,20220627_20220802,25.3293,1.0
69,20220709_20220721,7.0752,0.99533
70,20220709_20220802,16.4689,0.999994
71,20220709_20220814,9.8929,0.999779
72,20220721_20220802,23.119,1.0
73,20220721_20220814,10.1466,0.99938
74,20220721_20220826,21.2645,0.999998
75,20220802_20220814,7.1316,0.998445
76,20220802_20220826,4.1942,0.969417
77,20220802_20220907,1.7443,0.358962
78,20220814_20220826,4.6565,0.985894
79,20220814_20220907,19.0774,1.0
80,20220814_20220919,7.7756,0.996277
81,20220826_20220907,2.1423,0.917954
82,20220826_20220919,18.7023,0.999698
83,20220826_20221001,4.7756,0.980952
84,20220907_20220919,26.9468,0.999995
85,20220907_20221001,6.3077,0.996637
86,20220919_20221001,8.0775,0.999187
87,20220919_20221013,1.325,0.262268
88,20220919_20221025,15.0751,0.999813
89,20221001_20221013,8.4695,0.999963
90,20221001_20221025,7.063,0.998302
91,20221001_20221106,3.1106,0.937649
92,20221013_20221025,15.2767,0.999914
93,20221013_20221106,5.6317,0.996278
94,20221013_20221118,4.051,0.967291
95,20221025_20221106,9.8509,0.999954
96,20221025_20221118,5.277,0.996513
97,20221025_20221130,4.9396,0.989445
98,20221106_20221118,4.6536,0.998957
99,20221106_20221130,5.0844,0.995075
100,20221106_20221212,4.3971,0.983923
101,20221118_20221130,0.5586,0.036102
102,20221118_20221212,5.8111,0.999221
103,20221118_20221224,2.3957,0.938741
104,20221130_20221212,1.0019,0.273817
105,20221130_20221224,1.7654,0.937963
106,20221130_20230105,1.1803,0.245167
107,20221212_20221224,3.82,0.999625
108,20221212_20230105,1.6623,0.936224
109,20221212_20230117,2.0157,0.919341
110,20221224_20230105,1.0229,0.418827
111,20221224_20230117,1.9497,0.967838
112,20221224_20230129,9.1941,0.999908
113,20230105_20230117,2.828,0.997845
114,20230105_20230129,8.2569,0.999542
115,20230105_20230210,2.1242,0.938987
116,20230117_20230210,5.404,0.999404
117,20230117_20230222,6.3341,0.999319
118,20230129_20230210,10.0618,0.998681
119,20230129_20230222,17.2348,0.999995
120,20230129_20230306,22.152,1.0
121,20230210_20230222,1.0767,0.318883
122,20230210_20230306,5.786,0.99931
123,20230210_20230318,1.5686,0.43306
124,20230222_20230306,4.9388,0.998321
125,20230222_20230318,1.2593,0.261642
126,20230222_20230330,34.3575,1.0
127,20230306_20230318,4.9395,0.995113
128,20230306_20230330,18.4422,0.999995
129,20230306_20230411,6.448,0.985782
130,20230318_20230330,20.6508,0.999999
131,20230318_20230411,5.3009,0.976613
132,20230318_20230423,2.3319,0.752683
133,20230330_20230411,18.234,0.999992
134,20230330_20230423,23.0996,1.0
135,20230330_20230505,15.9675,0.995284
136,20230411_20230423,0.6779,0.093517
137,20230411_20230505,1.5157,0.784373
138,20230411_20230517,10.0129,0.999161
139,20230423_20230505,1.7818,0.919696
140,20230423_20230517,10.4322,0.999431
141,20230423_20230529,13.6341,0.999999
142,20230505_20230517,8.8085,0.999301
143,20230505_20230529,12.1032,0.999998
144,20230505_20230610,26.0051,1.0
145,20230517_20230529,3.7578,0.977618
146,20230517_20230610,11.2186,0.999772
147,20230517_20230622,6.4404,0.988528
148,20230529_20230610,8.0445,0.999192
149,20230529_20230622,14.5306,0.999998
150,20230529_20230704,17.8886,1.0
151,20230610_20230622,16.0614,0.999975
152,20230610_20230704,9.1828,0.997735
153,20230610_20230716,4.302,0.945771
154,20230622_20230704,7.4778,0.988265
155,20230622_20230716,6.5646,0.976338
156,20230622_20230728,6.3477,0.922853
157,20230704_20230716,5.1766,0.971268
158,20230704_20230728,18.1269,0.999945
159,20230704_20230809,10.7629,0.999704
160,20230716_20230728,7.9523,0.987137
161,20230716_20230821,3.4431,0.878308
162,20230728_20230821,3.4186,0.550628
163,20230728_20230902,49.8501,1.0
164,20230809_20230821,15.3809,1.0
165,20230809_20230902,34.243,1.0
