index,date12,residual_rms_rad
0,20211006_20211018,7.333
1,20211006_20211030,6.9938
2,20211006_20211111,8.2598
3,20211018_20211030,2.6974
4,20211018_20211111,3.331
5,20211018_20211123,3.3592
6,20211030_20211111,1.4255
7,20211030_20211123,1.6105
8,20211030_20211205,10.7706
9,20211111_20211123,0.7283
10,20211111_20211205,3.1702
11,20211111_20211217,3.0554
12,20211123_20211205,3.1567
13,20211123_20211217,3.4841
14,20211123_20211229,1.5178
15,20211205_20211217,0.9716
16,20211205_20211229,2.2083
17,20211205_20220110,4.1456
18,20211217_20211229,2.3786
19,20211217_20220110,4.1963
20,20211217_20220122,1.2249
21,20211229_20220110,1.9141
22,20211229_20220122,4.0008
23,20211229_20220203,4.2367
24,20220110_20220122,2.242
25,20220110_20220203,5.8407
26,20220110_20220215,3.934
27,20220122_20220203,7.7851
28,20220122_20220215,1.9467
29,20220122_20220227,1.2081
30,20220203_20220215,9.3233
31,20220203_20220227,2.1658
32,20220203_20220311,8.1665
33,20220215_20220227,8.2246
34,20220215_20220311,13.9304
35,20220215_20220323,2.007
36,20220227_20220311,5.8209
37,20220227_20220323,9.3792
38,20220227_20220404,3.3754
39,20220311_20220323,15.0148
40,20220311_20220404,8.9829
41,20220311_20220416,7.4164
42,20220323_20220404,6.3078
43,20220323_20220416,16.0851
44,20220323_20220428,9.482
45,20220404_20220416,9.8457
46,20220404_20220428,3.3891
47,20220404_20220510,9.2251
48,20220416_20220428,6.7215
49,20220416_20220510,1.4183
50,20220416_20220522,9.637
51,20220428_20220510,6.09
52,20220428_20220522,5.0986
53,20220428_20220603,2.7117
54,20220510_20220522,8.9297
55,20220510_20220603,2.185
56,20220510_20220615,1.6407
57,20220522_20220603,3.6848
58,20220522_20220615,4.6553
59,20220522_20220627,14.3605
60,20220603_20220615,2.1137
61,20220603_20220627,1.5846
62,20220603_20220709,20.2892
63,20220615_20220627,1.6258
64,20220615_20220709,13.0548
65,20220615_20220721,42.07
66,20220627_20220709,7.0236
67,20220627_20220721,7.7361
68,20220627_20220802,19.1478
69,20220709_20220721,7.1628
70,20220709_20220802,13.3238
71,20220709_20220814,9.3263
72,20220721_20220802,19.9895
73,20220721_20220814,9.6655
74,20220721_20220826,11.3454
75,20220802_20220814,4.7026
76,20220802_20220826,3.6008
77,20220802_20220907,5.1786
78,20220814_20220826,5.3504
79,20220814_20220907,21.8439
80,20220814_20220919,7.4468
81,20220826_20220907,14.2657
82,20220826_20220919,8.8016
83,20220826_20221001,5.9692
84,20220907_20220919,29.3343
85,20220907_20221001,8.811
86,20220919_20221001,8.2993
87,20220919_20221013,2.0105
88,20220919_20221025,9.2011
89,20221001_20221013,8.7261
90,20221001_20221025,3.029
91,20221001_20221106,5.3319
92,20221013_20221025,9.8002
93,20221013_20221106,3.7501
94,20221013_20221118,2.9491
95,20221025_20221106,6.3839
96,20221025_20221118,1.7901
97,20221025_20221130,2.6667
98,20221106_20221118,5.1795
99,20221106_20221130,4.1258
100,20221106_20221212,3.9046
101,20221118_20221130,1.2806
102,20221118_20221212,4.7245
103,20221118_20221224,2.0813
104,20221130_20221212,0.7864
105,20221130_20221224,2.6254
106,20221130_20230105,1.5599
107,20221212_20221224,3.4856
108,20221212_20230105,1.8474
109,20221212_20230117,3.3585
110,20221224_20230105,1.4785
111,20221224_20230117,0.8362
112,20221224_20230129,7.7908
113,20230105_20230117,1.3129
114,20230105_20230129,6.4862
115,20230105_20230210,0.9994
116,20230117_20230210,4.6286
117,20230117_20230222,6.1765
118,20230129_20230210,5.9311
119,20230129_20230222,13.6649
120,20230129_20230306,17.3879
121,20230210_20230222,2.6444
122,20230210_20230306,5.3744
123,20230210_20230318,3.3151
124,20230222_20230306,3.9229
125,20230222_20230318,3.4674
126,20230222_20230330,34.8558
127,20230306_20230318,3.3505
128,20230306_20230330,17.6229
129,20230306_20230411,5.1111
130,20230318_20230330,22.4759
131,20230318_20230411,4.6848
132,20230318_20230423,4.332
133,20230330_20230411,18.7904
134,20230330_20230423,23.0898
135,20230330_20230505,15.8203
136,20230411_20230423,0.9108
137,20230411_20230505,2.5382
138,20230411_20230517,3.4912
139,20230423_20230505,2.2732
140,20230423_20230517,3.6645
141,20230423_20230529,12.7192
142,20230505_20230517,4.2189
143,20230505_20230529,11.066
144,20230505_20230610,19.1715
145,20230517_20230529,14.8288
146,20230517_20230610,16.6139
147,20230517_20230622,2.7932
148,20230529_20230610,2.6238
149,20230529_20230622,20.2371
150,20230529_20230704,21.8976
151,20230610_20230622,15.9602
152,20230610_20230704,4.3707
153,20230610_20230716,10.7202
