coherence_low,coherence_high,n_pixels,median_mm_per_yr,p05_mm_per_yr,p95_mm_per_yr,fraction_below_minus10,mean_elevation_m,median_formal_std_mm_per_yr
0.5,0.55,71643,-17.059,-36.495,2.778,0.72377,164.1,1.3618
0.55,0.6,63419,-13.992,-32.901,4.815,0.63503,166.2,1.3363
0.6,0.65,61297,-10.723,-29.468,6.875,0.52502,169.3,1.3165
0.65,0.7,61875,-7.701,-26.068,7.728,0.41552,172.6,1.2955
0.7,0.75,63475,-5.328,-21.788,7.321,0.31244,174.4,1.2485
0.75,0.8,70202,-3.769,-17.824,6.657,0.22172,175.0,1.1922
0.8,0.85,82860,-2.815,-14.925,5.771,0.14951,173.9,1.1245
0.85,0.9,109174,-1.787,-12.518,4.936,0.09478,172.6,1.0687
0.9,0.95,167583,-0.382,-7.4,4.389,0.02329,173.2,0.9851
0.95,1.0,181894,-0.289,-4.341,2.726,0.00816,169.2,0.6534
