hotspot_id,scenario,coherence_min,threshold_mm_per_yr,min_area_km2,overlap_fraction,component_area_km2,component_median_mm_per_yr,persists
H001,primary,0.8,10.0,0.4,1.0,5.5904,-30.95,True
H002,primary,0.8,10.0,0.4,1.0,12.8256,-13.586,True
H003,primary,0.8,10.0,0.4,1.0,2.2544,-12.867,True
H004,primary,0.8,10.0,0.4,1.0,1.072,-14.31,True
H005,primary,0.8,10.0,0.4,1.0,0.8352,-14.209,True
H001,strict_coh_0.90,0.9,10.0,0.4,0.6528,3.6496,-31.975,True
H002,strict_coh_0.90,0.9,10.0,0.4,0.0112,0.0,,False
H003,strict_coh_0.90,0.9,10.0,0.4,0.0177,0.0,,False
H004,strict_coh_0.90,0.9,10.0,0.4,0.7731,0.8288,-14.908,True
H005,strict_coh_0.90,0.9,10.0,0.4,0.0556,0.0,,False
H001,relaxed_coh_0.70,0.7,10.0,0.4,1.0,6.5216,-29.705,True
H002,relaxed_coh_0.70,0.7,10.0,0.4,1.0,28.0896,-14.473,True
H003,relaxed_coh_0.70,0.7,10.0,0.4,1.0,28.0896,-14.473,True
H004,relaxed_coh_0.70,0.7,10.0,0.4,1.0,1.2592,-14.028,True
H005,relaxed_coh_0.70,0.7,10.0,0.4,1.0,1.5344,-15.972,True
H001,relaxed_coh_0.60,0.6,10.0,0.4,1.0,8.976,-22.784,True
H002,relaxed_coh_0.60,0.6,10.0,0.4,1.0,52.2496,-15.391,True
H003,relaxed_coh_0.60,0.6,10.0,0.4,1.0,52.2496,-15.391,True
H004,relaxed_coh_0.60,0.6,10.0,0.4,1.0,8.976,-22.784,True
H005,relaxed_coh_0.60,0.6,10.0,0.4,1.0,52.2496,-15.391,True
H001,relaxed_coh_0.50,0.5,10.0,0.4,1.0,9.4,-22.399,True
H002,relaxed_coh_0.50,0.5,10.0,0.4,1.0,77.1056,-16.281,True
H003,relaxed_coh_0.50,0.5,10.0,0.4,1.0,77.1056,-16.281,True
H004,relaxed_coh_0.50,0.5,10.0,0.4,1.0,9.4,-22.399,True
H005,relaxed_coh_0.50,0.5,10.0,0.4,1.0,77.1056,-16.281,True
H001,no_coh_cut,0.0,10.0,0.4,1.0,9.4288,-22.422,True
H002,no_coh_cut,0.0,10.0,0.4,1.0,606.0384,-21.645,True
H003,no_coh_cut,0.0,10.0,0.4,1.0,606.0384,-21.645,True
H004,no_coh_cut,0.0,10.0,0.4,1.0,9.4288,-22.422,True
H005,no_coh_cut,0.0,10.0,0.4,1.0,606.0384,-21.645,True
H001,threshold_7.5,0.8,7.5,0.4,1.0,6.1872,-27.284,True
H002,threshold_7.5,0.8,7.5,0.4,1.0,20.3808,-12.526,True
H003,threshold_7.5,0.8,7.5,0.4,1.0,20.3808,-12.526,True
H004,threshold_7.5,0.8,7.5,0.4,1.0,1.6688,-12.165,True
H005,threshold_7.5,0.8,7.5,0.4,1.0,1.8832,-12.161,True
H001,threshold_5,0.8,5.0,0.4,1.0,7.2016,-22.381,True
H002,threshold_5,0.8,5.0,0.4,1.0,22.8272,-12.142,True
H003,threshold_5,0.8,5.0,0.4,1.0,22.8272,-12.142,True
H004,threshold_5,0.8,5.0,0.4,1.0,2.1456,-10.803,True
H005,threshold_5,0.8,5.0,0.4,1.0,10.8656,-9.121,True
H001,threshold_15,0.8,15.0,0.4,0.8417,4.7056,-36.816,True
H002,threshold_15,0.8,15.0,0.4,0.0208,0.0,,False
H003,threshold_15,0.8,15.0,0.4,0.0149,0.0,,False
H004,threshold_15,0.8,15.0,0.4,0.3985,0.4272,-18.337,False
H005,threshold_15,0.8,15.0,0.4,0.2165,0.0,,False
H001,min_area_1.0,0.8,10.0,1.0,1.0,5.5904,-30.95,True
H002,min_area_1.0,0.8,10.0,1.0,1.0,12.8256,-13.586,True
H003,min_area_1.0,0.8,10.0,1.0,1.0,2.2544,-12.867,True
H004,min_area_1.0,0.8,10.0,1.0,1.0,1.072,-14.31,True
H005,min_area_1.0,0.8,10.0,1.0,1.0,0.0,,False
H001,min_area_2.0,0.8,10.0,2.0,1.0,5.5904,-30.95,True
H002,min_area_2.0,0.8,10.0,2.0,1.0,12.8256,-13.586,True
H003,min_area_2.0,0.8,10.0,2.0,1.0,2.2544,-12.867,True
H004,min_area_2.0,0.8,10.0,2.0,1.0,0.0,,False
H005,min_area_2.0,0.8,10.0,2.0,1.0,0.0,,False
H001,min_area_5.0,0.8,10.0,5.0,1.0,5.5904,-30.95,True
H002,min_area_5.0,0.8,10.0,5.0,1.0,12.8256,-13.586,True
H003,min_area_5.0,0.8,10.0,5.0,1.0,0.0,,False
H004,min_area_5.0,0.8,10.0,5.0,1.0,0.0,,False
H005,min_area_5.0,0.8,10.0,5.0,1.0,0.0,,False
H001,coh_0.70_thr_5,0.7,5.0,0.4,1.0,13.0912,-14.001,True
H002,coh_0.70_thr_5,0.7,5.0,0.4,1.0,78.072,-10.96,True
H003,coh_0.70_thr_5,0.7,5.0,0.4,1.0,78.072,-10.96,True
H004,coh_0.70_thr_5,0.7,5.0,0.4,1.0,13.0912,-14.001,True
H005,coh_0.70_thr_5,0.7,5.0,0.4,1.0,78.072,-10.96,True
H001,coh_0.90_thr_15,0.9,15.0,0.4,0.5721,3.1984,-36.983,True
H002,coh_0.90_thr_15,0.9,15.0,0.4,0.0012,0.0,,False
H003,coh_0.90_thr_15,0.9,15.0,0.4,0.0014,0.0,,False
H004,coh_0.90_thr_15,0.9,15.0,0.4,0.3701,0.0,,False
H005,coh_0.90_thr_15,0.9,15.0,0.4,0.0057,0.0,,False
