hotspot_id,date,los_displacement_mm,los_interquartile_halfwidth_mm
H001,20211006,0.0,-0.0
H001,20211018,6.275,2.072
H001,20211030,1.44,1.742
H001,20211111,11.162,1.597
H001,20211123,-1.001,2.339
H001,20211205,-8.293,2.3
H001,20211217,-5.84,2.586
H001,20211229,-7.272,2.705
H001,20220110,-7.172,3.072
H001,20220122,-2.853,3.641
H001,20220203,-2.982,3.363
H001,20220215,-16.422,3.855
H001,20220227,-11.404,4.422
H001,20220311,-1.294,7.027
H001,20220323,-34.373,3.901
H001,20220404,-12.005,5.899
H001,20220416,13.975,7.354
H001,20220428,-7.848,6.863
H001,20220510,-10.688,7.626
H001,20220522,-12.958,12.023
H001,20220603,-24.317,7.834
H001,20220615,-27.971,8.917
H001,20220627,-8.95,9.554
H001,20220709,-12.086,11.149
H001,20220721,-27.356,10.185
H001,20220802,-27.848,11.546
H001,20220814,-13.413,12.568
H001,20220826,-13.917,12.756
H001,20220907,-50.135,14.203
H001,20220919,-12.442,15.125
H001,20221001,-12.743,15.149
H001,20221013,-17.795,15.329
H001,20221025,-21.768,15.327
H001,20221106,-17.599,16.645
H001,20221118,-24.438,15.947
H001,20221130,-25.919,16.947
H001,20221212,-29.861,17.332
H001,20221224,-31.332,16.932
H001,20230105,-34.529,17.952
H001,20230117,-28.462,18.613
H001,20230129,-18.864,18.939
H001,20230210,-30.206,19.12
H001,20230222,-33.895,20.49
H001,20230306,-27.854,20.096
H001,20230318,-34.417,22.794
H001,20230330,-10.584,22.572
H001,20230411,-54.659,22.3
H001,20230423,-36.022,23.352
H001,20230505,-40.593,24.028
H001,20230517,-17.28,21.377
H001,20230529,-44.794,24.893
H001,20230610,-29.129,26.992
H001,20230622,-51.597,26.906
H001,20230704,-40.544,26.696
H001,20230716,-48.182,27.865
H001,20230728,-21.167,32.937
H001,20230809,-24.419,30.705
H001,20230821,-35.891,30.721
H001,20230902,-44.036,30.556
H001,20230914,-16.314,33.419
H001,20230926,-36.982,33.718
H001,20231008,-33.757,34.613
H001,20231020,-52.494,34.217
H001,20231101,-42.071,34.392
H001,20231113,-44.699,36.333
H001,20231125,-45.413,36.108
H001,20231207,-59.288,34.93
H001,20231219,-51.848,36.09
H001,20231231,-50.044,36.704
H001,20240112,-54.378,36.439
H001,20240124,-55.214,37.071
H001,20240205,-48.705,39.954
H001,20240217,-52.467,37.825
H001,20240229,-64.742,38.803
H001,20240312,-57.037,39.74
H001,20240324,-56.58,39.416
H001,20240405,-74.671,43.797
H001,20240417,-55.624,41.452
H001,20240429,-60.399,41.755
H001,20240511,-68.008,40.809
H001,20240523,-76.507,39.741
H001,20240604,-69.744,44.357
H001,20240616,-88.532,42.116
H001,20240710,-114.259,39.28
H001,20240722,-86.574,46.446
