date,los_displacement_mm,n_pixels
20211006,0.0,21150
20211018,-0.4688,21150
20211030,0.2075,21150
20211111,-0.295,21150
20211123,-0.5972,21150
20211205,-2.6464,21150
20211217,-0.4881,21150
20211229,-1.1884,21150
20220110,-1.9501,21150
20220122,0.3251,21150
20220203,-0.2693,21150
20220215,-2.9295,21150
20220227,1.364,21150
20220311,-3.558,21150
20220323,0.7159,21150
20220404,-0.77,21150
20220416,-0.1417,21150
20220428,-2.5429,21150
20220510,-2.8856,21150
20220522,-2.0515,21150
20220603,-7.0752,21150
20220615,-0.7301,21150
20220627,-14.0174,21150
20220709,2.0414,21150
20220721,-3.759,21150
20220802,3.0971,21150
20220814,1.556,21150
20220826,9.3588,21150
20220907,-7.567,21150
20220919,-2.9228,21150
20221001,1.0106,21150
20221013,0.6426,21150
20221025,5.1893,21150
20221106,-1.2812,21150
20221118,-1.2273,21150
20221130,-0.5044,21150
20221212,-0.3923,21150
20221224,-0.4573,21150
20230105,-0.7608,21150
20230117,1.2813,21150
20230129,0.1508,21150
20230210,-1.3972,21150
20230222,-1.9742,21150
20230306,0.1026,21150
20230318,-0.4184,21150
20230330,2.8642,21150
20230411,-1.7524,21150
20230423,2.8585,21150
20230505,-2.7623,21150
20230517,-3.071,21150
20230529,1.2794,21150
20230610,3.6141,21150
20230622,-4.7916,21150
20230704,5.2544,21150
20230716,10.9675,21150
20230728,14.9959,21150
20230809,2.5892,21150
20230821,1.174,21150
20230902,2.7072,21150
20230914,1.399,21150
20230926,4.3388,21150
20231008,5.4049,21150
20231020,-2.8969,21150
20231101,0.1802,21150
20231113,1.105,21150
20231125,1.1055,21150
20231207,-0.7832,21150
20231219,0.3737,21150
20231231,0.4903,21150
20240112,1.1318,21150
20240124,0.2808,21150
20240205,-0.4088,21150
20240217,-0.3559,21150
20240229,-2.8539,21150
20240312,1.9102,21150
20240324,3.6835,21150
20240405,-1.9194,21150
20240417,3.1997,21150
20240429,2.0441,21150
20240511,-1.0602,21150
20240523,-5.5308,21150
20240604,0.2252,21150
20240616,5.1042,21150
20240710,-1.5735,21150
20240722,1.2669,21150
20240803,3.5759,21150
20240815,2.1392,21150
20240827,-1.1912,21150
20240908,3.3816,21150
20240920,3.3946,21150
20241002,2.6509,21150
20241014,-1.8154,21150
20241026,0.4962,21150
20241107,-2.2244,21150
20241119,0.0597,21150
20241213,-0.9254,21150
20241225,-2.8236,21150
20250106,-1.9412,21150
20250118,5.8443,21150
20250130,-3.1447,21150
20250211,-1.8775,21150
20250223,-0.9438,21150
20250307,-2.0202,21150
20250319,2.1328,21150
20250331,-2.6004,21150
20250412,-6.2742,21150
20250424,-1.4998,21150
20250506,-0.3651,21150
20250530,1.9213,21150
20250611,-0.6095,21150
20250623,2.0928,21150
20250705,1.8941,21150
20250717,-0.7648,21150
20250729,-1.8641,21150
20250810,-5.5742,21150
20250822,-6.2797,21150
20250903,-2.3779,21150
20250915,-2.0746,21150
20250927,-2.3137,21150
