coherence_low,coherence_high,ascending_n,ascending_median_mm_per_yr,ascending_fraction_below_minus10,descending_n,descending_median_mm_per_yr,descending_fraction_below_minus10
0.5,0.55,71651,-17.059,0.72376,186854,-28.414,0.72891
0.55,0.6,63426,-13.994,0.63506,61606,-26.391,0.69242
0.6,0.65,61299,-10.723,0.52503,8725,-24.43,0.65444
0.65,0.7,61882,-7.702,0.41555,515,-23.927,0.61942
0.7,0.75,63481,-5.328,0.31247,17,10.204,0.29412
0.75,0.8,70211,-3.768,0.2217,2,22.855,0.0
0.8,0.85,82873,-2.815,0.14949,0,,
0.85,0.9,109190,-1.787,0.09477,0,,
0.9,0.95,167609,-0.382,0.0233,0,,
0.95,1.0,181908,-0.289,0.00816,0,,
