row0,col0,center_row,center_col,median_coherence,median_velocity_mm_per_yr,median_velocity_std_mm_per_yr,min_edge_distance_m,min_support
150,650,175,675,0.4859306663274765,-35.09229049086571,5.291489884257317,0.0,1.0
150,700,175,725,0.47556452453136444,-44.920267537236214,4.972744267433882,320.0,1.0
150,750,175,775,0.4682871848344803,-38.74043561518192,5.403600167483091,684.6897107449477,1.0
150,800,175,825,0.3086905777454376,-34.22580286860466,5.76572073623538,357.77087639996637,1.0
150,850,175,875,0.22854794561862946,-48.45338128507137,5.705977324396372,40.0,1.0
200,650,225,675,0.47159531712532043,-34.48898904025555,5.247181514278054,322.49030993194197,1.0
200,700,225,725,0.493038535118103,-42.92030446231365,4.868949996307492,0.0,1.0
200,750,225,775,0.4896741658449173,-38.70813734829426,4.96723735705018,1520.0,1.0
200,800,225,825,0.3105497658252716,-38.34930621087551,5.750414449721575,1946.4840096954301,1.0
200,850,225,875,0.3271447718143463,-40.39209149777889,5.493950564414263,1600.0,1.0
200,900,225,925,0.2951308637857437,-38.450779393315315,5.596950417384505,0.0,1.0
200,950,225,975,0.3673553317785263,-47.64206148684025,4.9050734378397465,440.0,1.0
200,1000,225,1025,0.31219199299812317,-47.12594300508499,4.585358314216137,268.3281572999748,1.0
200,1100,225,1125,0.3787647485733032,-41.189366951584816,3.846022649668157,360.0,1.0
200,1150,225,1175,0.32743319869041443,-35.60913912951946,3.216858603991568,40.0,1.0
250,650,275,675,0.4807717204093933,-42.852772399783134,4.891569027677178,590.592922409336,1.0
250,700,275,725,0.44337761402130127,-44.56278309226036,5.237288074567914,280.0,1.0
250,750,275,775,0.4642338305711746,-41.60085693001747,5.124954506754875,0.0,1.0
250,800,275,825,0.3922055810689926,-39.82231579720974,5.536794662475586,320.0,1.0
250,850,275,875,0.3101004362106323,-46.54627665877342,5.803329637274146,2074.222745994268,1.0
250,900,275,925,0.35278110206127167,-38.83603401482105,5.668357014656067,1320.0,1.0
250,950,275,975,0.31254997849464417,-43.17872039973736,5.559269338846207,1391.402170474087,1.0
250,1000,275,1025,0.28093884885311127,-46.83241993188858,4.78576822206378,120.0,1.0
250,1100,275,1125,0.41103264689445496,-45.06104066967964,3.700096858665347,1000.0,1.0
250,1150,275,1175,0.29435117542743683,-47.16683365404606,3.5381639609113336,1974.6392075515973,1.0
250,1200,275,1225,0.28027790784835815,-39.927251636981964,3.342854557558894,1657.4679484080527,1.0
250,1250,275,1275,0.31373922526836395,-35.827819257974625,3.2656467519700527,1329.661611087573,1.0
250,1300,275,1325,0.24887803941965103,-43.772026896476746,2.7466105530038476,989.5453501482384,1.0
250,1350,275,1375,0.26024098694324493,-46.47929407656193,2.4286528350785375,680.0,1.0
250,1400,275,1425,0.2448747679591179,-43.09668764472008,2.2629632148891687,322.49030993194197,1.0
250,1450,275,1475,0.2659972310066223,-34.46989320218563,1.7791800200939178,40.0,1.0
300,650,325,675,0.40588393807411194,-42.84125007688999,5.505203735083342,1000.0,1.0
300,700,325,725,0.4817177653312683,-49.83643628656864,4.990843357518315,1724.1809649801846,1.0
300,750,325,775,0.44332027435302734,-41.915638372302055,5.625968566164374,120.0,1.0
300,800,325,825,0.481515571475029,-36.09953820705414,5.51928486675024,341.76014981270123,1.0
300,850,325,875,0.3354478180408478,-45.83684355020523,5.812604213133454,1582.4032355881986,1.0
300,900,325,925,0.2610061466693878,-39.03213515877724,5.995553219690919,560.0,1.0
300,950,325,975,0.3157040923833847,-39.37944024801254,5.435373401269317,791.9595949289333,1.0
300,1000,325,1025,0.2805640995502472,-44.40455511212349,4.938415484502912,320.0,1.0
300,1100,325,1125,0.45478029549121857,-42.451122775673866,3.814909025095403,966.6436778875658,1.0
300,1150,325,1175,0.30257683992385864,-37.27365657687187,3.9041737327352166,1280.0,1.0
300,1200,325,1225,0.42475149035453796,-44.043440371751785,3.4174679312855005,2274.37903613272,1.0
300,1250,325,1275,0.29310087859630585,-35.72092764079571,3.811072907410562,2440.0,1.0
300,1300,325,1325,0.28450828790664673,-33.42634066939354,3.160939901135862,440.0,1.0
300,1350,325,1375,0.349579781293869,-47.36347310245037,2.5179788935929537,0.0,1.0
300,1400,325,1425,0.2714560329914093,-45.33149674534798,2.4422755232080817,1600.0,1.0
300,1450,325,1475,0.2144721895456314,-34.35722179710865,2.1540175657719374,1970.1776569639603,1.0
300,1500,325,1525,0.2672417461872101,-33.84101390838623,1.7307015368714929,1649.2422502470642,1.0
300,1550,325,1575,0.25622813403606415,-37.561940029263496,1.6253575449809432,1320.6059215375342,1.0
300,1600,325,1625,0.2501189708709717,-30.377776362001896,1.627245801500976,640.0,1.0
300,1650,325,1675,0.35178670287132263,-21.6103233397007,1.3261770945973694,0.0,1.0
300,1700,325,1725,0.26523202657699585,-38.13252039253712,1.4160993741825223,329.84845004941286,1.0
300,1750,325,1775,0.25258195400238037,-29.392319731414318,1.3399564195424318,0.0,1.0
350,650,375,675,0.29919570684432983,-38.81161846220493,6.033215438947082,1329.661611087573,1.0
350,700,375,725,0.49812452495098114,-43.51501725614071,4.948257235810161,1761.8172436436191,1.0
350,750,375,775,0.4609680622816086,-32.41126425564289,5.653663771227002,0.0,1.0
350,800,375,825,0.46569696068763733,-33.75614061951637,5.58332004584372,200.0,1.0
350,850,375,875,0.33110930025577545,-39.18400593101978,5.954839056357741,1480.0,1.0
350,900,375,925,0.3524283766746521,-49.96635764837265,5.4305552039295435,0.0,1.0
350,950,375,975,0.3392103612422943,-49.14696514606476,5.377249326556921,560.0,1.0
350,1000,375,1025,0.4075935184955597,-43.288227170705795,5.086065037176013,379.47331922020555,1.0
350,1150,375,1175,0.36242184042930603,-44.964173808693886,4.245028365403414,0.0,1.0
350,1200,375,1225,0.3524169474840164,-44.35115493834019,4.120402503758669,1880.0,1.0
350,1250,375,1275,0.31526871025562286,-39.98233750462532,3.478171769529581,2600.0,1.0
350,1300,375,1325,0.2602910250425339,-37.18126751482487,3.5727745853364468,1092.5200226998131,1.0
350,1350,375,1375,0.24865981936454773,-44.50146481394768,3.046657657250762,1000.0,1.0
350,1400,375,1425,0.23165372759103775,-57.145390659570694,2.4459188571199775,1886.7962264113207,1.0
350,1450,375,1475,0.27215950191020966,-44.285159558057785,2.3094082716852427,2840.0,1.0
350,1500,375,1525,0.25230175256729126,-30.816445127129555,2.1214932203292847,2600.0,1.0
350,1550,375,1575,0.21444512903690338,-23.987984284758568,1.9573253812268376,2624.804754643667,1.0
350,1600,375,1625,0.2194429412484169,-25.555328465998173,1.971769379451871,800.0,1.0
350,1650,375,1675,0.26210829615592957,-25.443709455430508,1.6970261349342763,480.0,1.0
350,1700,375,1725,0.2854451835155487,-35.50206683576107,1.8445168971084058,1480.0,1.0
350,1750,375,1775,0.2922656238079071,-30.965037643909454,1.5414285589940846,1974.6392075515973,1.0
350,1800,375,1825,0.32226283848285675,-22.297315299510956,1.1614228133112192,1358.2341477079717,1.0
350,1900,375,1925,0.3150644600391388,-28.17424200475216,1.1261774343438447,240.0,1.0
350,1950,375,1975,0.33068498969078064,-18.53439211845398,1.0639703832566738,641.2487816752559,1.0
350,2000,375,2025,0.33181969821453094,-5.585949867963791,0.9707628923933953,322.49030993194197,1.0
350,2050,375,2075,0.4418911933898926,-8.703657425940037,0.8687262306921184,0.0,1.0
400,650,425,675,0.2892695367336273,-35.83274222910404,6.0128760524094105,1028.3968105745953,1.0
400,700,425,725,0.4404555708169937,-33.66108052432537,5.621116375550628,240.0,1.0
400,750,425,775,0.4380623549222946,-37.22933679819107,5.6140783708542585,0.0,1.0
