reference_date,secondary_date,temporal_baseline_days,perpendicular_baseline_m,role,ifg_spatial_coherence_median,coherence_rank_of_219,coherence_percentile
2022-03-31,2022-05-30,60,43.75,remove_bridge,0.2636,30,13.7
2022-07-29,2022-11-26,120,212.0,remove_bridge,0.2578,1,0.5
2022-08-10,2022-11-26,108,213.0,connect_components,0.2594,4,1.8
2022-11-26,2023-01-25,60,-152.75,remove_bridge,0.2684,69,31.5
2023-01-01,2023-05-01,120,50.5,remove_bridge,0.2659,47,21.5
2023-08-29,2023-12-27,120,-46.0,remove_bridge,0.2605,8,3.7
2024-01-08,2024-03-08,60,-74.25,remove_bridge,0.2709,79,36.1
2024-04-01,2024-05-19,48,190.75,reduce_articulation,0.2681,68,31.1
2024-05-19,2024-09-16,120,-122.5,remove_bridge,0.2586,2,0.9
2024-05-31,2024-07-18,48,-49.25,connect_components,0.2638,31,14.2
