hotspot,date,gw_anomaly,n_stations
H001,2022-08-18,,1
H001,2022-08-19,,1
H001,2022-08-20,,1
H001,2022-08-21,,1
H001,2022-08-22,,1
H001,2022-08-23,,1
H001,2022-08-24,,1
H001,2022-08-25,,1
H001,2022-08-26,,1
H001,2022-08-27,,1
H001,2022-08-28,22.281499999999998,2
H001,2022-08-29,22.213250000000002,2
H001,2022-08-30,22.247,2
H001,2022-08-31,22.289749999999998,2
H001,2022-09-01,22.399,2
H001,2022-09-02,22.339750000000002,2
H001,2022-09-03,22.339,2
H001,2022-09-04,22.356499999999997,2
H001,2022-09-05,22.348,2
H001,2022-09-06,22.343999999999998,2
H001,2022-09-07,22.3615,2
H001,2022-09-08,22.302500000000002,2
H001,2022-09-09,22.328249999999997,2
H001,2022-09-10,22.32575,2
H001,2022-09-11,22.28525,2
H001,2022-09-12,22.343500000000002,2
H001,2022-09-13,22.318749999999998,2
H001,2022-09-14,22.34175,2
H001,2022-09-15,22.299500000000002,2
H001,2022-09-16,22.311,2
H001,2022-09-17,22.343,2
H001,2022-09-18,22.3285,2
H001,2022-09-19,22.3215,2
H001,2022-09-20,22.314,2
H001,2022-09-21,22.2945,2
H001,2022-09-22,22.37175,2
H001,2022-09-23,22.40075,2
H001,2022-09-24,22.42625,2
H001,2022-09-25,22.413249999999998,2
H001,2022-09-26,22.46125,2
H001,2022-09-27,22.416,2
H001,2022-09-28,22.41575,2
H001,2022-09-29,22.416,2
H001,2022-09-30,22.459,2
H001,2022-10-01,22.40775,2
H001,2022-10-02,22.4015,2
H001,2022-10-03,22.39675,2
H001,2022-10-04,22.4325,2
H001,2022-10-05,22.5,2
H001,2022-10-06,22.39875,2
H001,2022-10-07,22.4985,2
H001,2022-10-08,22.42675,2
H001,2022-10-09,22.43975,2
H001,2022-10-10,22.5045,2
H001,2022-10-11,22.451,2
H001,2022-10-12,22.50675,2
H001,2022-10-13,22.466,2
H001,2022-10-14,22.517,2
H001,2022-10-15,22.47325,2
H001,2022-10-16,22.501,2
H001,2022-10-17,22.5055,2
H001,2022-10-18,22.5145,2
H001,2022-10-19,22.408749999999998,2
H001,2022-10-20,22.50175,2
H001,2022-10-21,22.5045,2
H001,2022-10-22,22.555500000000002,2
H001,2022-10-23,22.52475,2
H001,2022-10-24,22.5365,2
H001,2022-10-25,22.42475,2
H001,2022-10-26,22.451999999999998,2
H001,2022-10-27,22.396,2
H001,2022-10-28,22.395,2
H001,2022-10-29,22.452,2
H001,2022-10-30,22.4665,2
H001,2022-10-31,22.4065,2
H001,2022-11-01,22.38725,2
H001,2022-11-02,22.39275,2
H001,2022-11-03,22.445999999999998,2
H001,2022-11-04,22.53425,2
H001,2022-11-05,22.48325,2
H001,2022-11-06,22.48125,2
H001,2022-11-07,22.408,2
H001,2022-11-08,22.52375,2
H001,2022-11-09,22.507749999999998,2
H001,2022-11-10,22.506999999999998,2
H001,2022-11-11,22.423000000000002,2
H001,2022-11-12,22.3915,2
H001,2022-11-13,22.3905,2
H001,2022-11-14,22.46975,2
H001,2022-11-15,22.5035,2
H001,2022-11-16,22.48625,2
H001,2022-11-17,22.48775,2
H001,2022-11-18,22.5125,2
H001,2022-11-19,22.4485,2
H001,2022-11-20,22.4755,2
H001,2022-11-21,22.485500000000002,2
H001,2022-11-22,22.488,2
H001,2022-11-23,22.535500000000003,2
H001,2022-11-24,22.40025,2
H001,2022-11-25,22.36875,2
H001,2022-11-26,22.38275,2
H001,2022-11-27,22.383,2
H001,2022-11-28,22.44725,2
H001,2022-11-29,22.38225,2
H001,2022-11-30,22.35225,2
H001,2022-12-01,22.36475,2
H001,2022-12-02,22.36825,2
H001,2022-12-03,22.36375,2
H001,2022-12-04,22.35125,2
H001,2022-12-05,22.3505,2
H001,2022-12-06,22.34775,2
H001,2022-12-07,22.39375,2
H001,2022-12-08,22.417,2
H001,2022-12-09,22.47325,2
H001,2022-12-10,22.479,2
H001,2022-12-11,22.399749999999997,2
H001,2022-12-12,22.33575,2
H001,2022-12-13,22.31375,2
H001,2022-12-14,22.36375,2
H001,2022-12-15,22.30275,2
H001,2022-12-16,22.3915,2
H001,2022-12-17,22.37425,2
H001,2022-12-18,22.376,2
H001,2022-12-19,22.407999999999998,2
H001,2022-12-20,22.38575,2
H001,2022-12-21,22.38825,2
H001,2022-12-22,22.4335,2
H001,2022-12-23,22.431,2
H001,2022-12-24,22.456,2
H001,2022-12-25,22.45525,2
H001,2022-12-26,22.428,2
H001,2022-12-27,22.476,2
H001,2022-12-28,22.456249999999997,2
H001,2022-12-29,22.4765,2
