hotspot,lag_days,N,spearman,pearson,p_block,role
H001,0,69,-0.1943,-0.0725,1.0,positive
H001,30,72,-0.1038,-0.0093,1.0,positive
H001,60,70,-0.0414,0.0251,1.0,positive
H001,90,73,-0.0379,0.018,1.0,positive
H001,-30,74,-0.2732,-0.2045,0.5056,falsification
H001,-60,72,-0.4263,-0.2913,0.5072,falsification
H001,-90,74,-0.3063,-0.2594,0.5012,falsification
H004,0,83,0.0033,-0.0828,1.0,positive
H004,30,84,-0.0223,-0.046,1.0,positive
H004,60,83,-0.1777,-0.178,0.5168,positive
H004,90,84,-0.2722,-0.151,0.496,positive
H004,-30,84,-0.0717,-0.1325,1.0,falsification
H004,-60,84,-0.1798,-0.2133,1.0,falsification
H004,-90,85,-0.2076,-0.13,1.0,falsification
H002,0,51,-0.1007,-0.1299,1.0,positive
H002,30,55,0.1419,0.1084,1.0,positive
H002,60,52,0.2126,0.251,0.489,positive
H002,90,56,0.0459,0.1052,1.0,positive
H002,-30,56,-0.2504,-0.2839,0.5048,falsification
H002,-60,53,-0.1059,-0.2674,0.4986,falsification
H002,-90,57,-0.0172,-0.0349,1.0,falsification
H003,0,54,0.1247,0.1129,0.5012,positive
H003,30,54,0.2386,0.2258,0.5048,positive
H003,60,55,0.0947,0.1287,0.5066,positive
H003,90,55,-0.3656,-0.2198,0.495,positive
H003,-30,55,-0.0358,-0.0888,0.4922,falsification
H003,-60,56,-0.1811,-0.3038,0.5072,falsification
H003,-90,56,0.1751,0.11,0.4918,falsification
