producer,station,lat,lon,n_obs,first,last,exact_zero_fraction,constant_fraction,coverage_fraction,longest_gap_days,n_days,qc_class
delhi_sw_gw,40 MGD Nilothi STP,28.656607,77.055383,1995,2022-11-04 17:26:00,2024-07-31 06:00:00,1.0,0.9995,0.7921,94.09,503,FAIL_DEAD_SENSOR
delhi_sw_gw,Akshardham P-6 Rainywell,28.616121,77.28266,792,2024-01-02 12:00:00,2024-07-20 00:00:00,0.0,0.1174,1.005,1.25,201,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,Alipur_4,28.799178,77.137048,1893,2023-12-08 18:00:00,2025-07-14 12:00:00,0.1437,0.1622,0.8442,78.25,493,PASS_WITH_GAPS
delhi_sw_gw,Bakhtawarpur Village,28.830845,77.179796,1648,2023-12-08 00:00:00,2025-07-14 18:00:00,0.165,0.9672,0.7043,159.25,412,FAIL_DEAD_SENSOR
delhi_sw_gw,Bakkargarh Village,28.593893,76.876161,649,2022-11-04 17:56:00,2024-04-16 06:00:00,1.0,0.9985,0.3062,235.09,162,FAIL_DEAD_SENSOR
delhi_sw_gw,Baktavarpur 2,28.827877,77.162431,96,2023-03-06 12:42:00,2023-05-29 00:00:00,1.0,0.9896,0.2976,60.87,25,FAIL_DEAD_SENSOR
delhi_sw_gw,Barwala_4,28.764122,77.062335,2810,2023-03-06 10:16:00,2025-07-14 06:00:00,1.0,0.9996,0.8467,78.25,729,FAIL_DEAD_SENSOR
delhi_sw_gw,Bawana WTP,28.815964,7.057178,2865,2023-03-08 12:29:00,2025-07-14 00:00:00,1.0,0.9997,0.8708,78.25,748,FAIL_DEAD_SENSOR
delhi_sw_gw,Beri Wala Bagh,28.619525,77.107,1153,2023-10-25 06:00:00,2024-11-04 00:00:00,1.0,0.9991,0.7899,79.25,297,FAIL_DEAD_SENSOR
delhi_sw_gw,Bhagirathi WTP,28.704129,77.274827,1557,2023-03-06 12:50:00,2024-05-28 12:00:00,1.0,0.9994,0.8753,56.92,393,FAIL_DEAD_SENSOR
delhi_sw_gw,Bhalaswa Lake,28.743598,77.173068,2621,2023-03-06 15:04:00,2025-07-12 12:00:00,1.0,0.9996,0.7776,172.25,668,FAIL_DEAD_SENSOR
delhi_sw_gw,Bindapur Jal board Uttam Nagar,28.612391,77.073364,2472,2023-03-06 12:58:00,2025-07-06 00:00:00,1.0,0.9996,0.7562,137.25,645,FAIL_DEAD_SENSOR
delhi_sw_gw,Budhanpur Majra,28.767782,77.002478,577,2023-12-08 00:00:00,2024-05-03 18:00:00,0.3293,0.4367,1.0,0.5,148,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,Budhpur_1,28.782182,77.135933,1398,2023-10-24 18:00:00,2025-05-12 12:00:00,1.0,0.9993,0.6307,207.25,357,FAIL_DEAD_SENSOR
delhi_sw_gw,Burari_2,28.756228,77.196368,1920,2023-12-08 18:00:00,2025-07-14 12:00:00,0.1396,0.2057,0.8579,79.25,501,PASS_WITH_GAPS
delhi_sw_gw,Burari A-5 Rainy well,28.76879,77.206413,600,2024-04-03 18:00:00,2024-11-22 06:00:00,1.0,0.9983,0.6695,78.25,156,FAIL_DEAD_SENSOR
delhi_sw_gw,Burari Jal Board,28.733406,77.197952,2048,2023-10-26 00:00:00,2025-07-14 18:00:00,1.0,0.9995,0.8153,79.25,512,FAIL_DEAD_SENSOR
delhi_sw_gw,Chatesar_1,28.757685,76.96282,2920,2023-03-04 12:43:00,2025-07-14 12:00:00,1.0,0.9997,0.8806,78.25,760,FAIL_DEAD_SENSOR
delhi_sw_gw,Chawla Village 1,28.55598,77.006781,1993,2022-11-04 16:33:00,2025-07-14 00:00:00,1.0,0.9995,0.5412,353.96,532,FAIL_DEAD_SENSOR
delhi_sw_gw,Chhawla Village-2,28.564256,77.002377,3033,2022-11-04 18:00:00,2025-07-14 06:00:00,1.0,0.9997,0.8067,98.12,793,FAIL_DEAD_SENSOR
delhi_sw_gw,Chhawla Village-3,28.562713,77.008146,2895,2023-03-06 14:37:00,2025-07-14 18:00:00,1.0,0.9997,0.8411,79.25,725,FAIL_DEAD_SENSOR
delhi_sw_gw,Coronational Piller STP,28.724068,77.192602,2052,2023-10-26 00:00:00,2025-07-13 18:00:00,1.0,0.9995,0.8182,79.25,513,FAIL_DEAD_SENSOR
delhi_sw_gw,Daulatpur Site,28.543026,76.968245,1580,2022-11-05 11:11:00,2024-08-01 00:00:00,1.0,0.9994,0.6299,234.96,400,FAIL_DEAD_SENSOR
delhi_sw_gw,Dwarka Site STP,28.65661,77.007148,2463,2022-11-04 17:31:00,2025-01-20 06:00:00,1.0,0.9996,0.7834,93.11,633,FAIL_DEAD_SENSOR
delhi_sw_gw,Dwarka WTP,28.607861,77.004922,2510,2022-11-04 17:19:00,2025-02-02 00:00:00,1.0,0.9996,0.7795,93.02,640,FAIL_DEAD_SENSOR
delhi_sw_gw,Garhi Randala,28.725533,76.964817,2933,2023-03-06 16:13:00,2025-07-14 12:00:00,1.0,0.9997,0.8827,78.25,760,FAIL_DEAD_SENSOR
delhi_sw_gw,Ghalibpur_1,28.529587,76.879106,1571,2023-05-02 00:00:00,2024-05-30 12:00:00,1.0,0.9994,1.0,1.25,395,FAIL_DEAD_SENSOR
delhi_sw_gw,Ghummanhera,28.533259,76.928695,64,2022-12-23 13:35:00,2023-07-07 18:00:00,1.0,0.9844,0.0812,181.97,16,FAIL_DEAD_SENSOR
delhi_sw_gw,Hamidpur_1,28.828072,77.152017,2723,2023-03-08 10:36:00,2025-07-14 12:00:00,1.0,0.9996,0.8233,79.25,708,FAIL_DEAD_SENSOR
delhi_sw_gw,Hiranki_2,28.801228,77.181269,2180,2023-03-08 16:14:00,2025-06-15 18:00:00,1.0,0.9995,0.6558,106.8,545,FAIL_DEAD_SENSOR
delhi_sw_gw,Hiranki jal Board,28.799674,77.185994,1244,2023-03-08 13:01:00,2025-09-21 18:00:00,1.0,0.9992,0.3315,512.0,308,FAIL_DEAD_SENSOR
delhi_sw_gw,Holambi Kalan-1,28.796924,77.093506,2357,2023-03-08 12:56:00,2025-07-08 18:00:00,1.0,0.9996,0.692,210.25,591,FAIL_DEAD_SENSOR
delhi_sw_gw,Holambi Kalan-2,28.796751,77.17526,421,2023-03-08 11:09:00,2023-10-28 17:13:00,1.0,0.9976,0.4553,89.72,107,FAIL_DEAD_SENSOR
delhi_sw_gw,ITO V-7 Rainywell,28.627363,77.260293,267,2023-03-06 12:54:00,2023-07-10 18:00:00,1.0,0.9963,0.5276,61.19,67,FAIL_DEAD_SENSOR
delhi_sw_gw,Jaffarpur Kalan-1,28.59306,76.919752,2013,2022-11-04 16:27:00,2025-07-14 00:00:00,1.0,0.9995,0.5443,348.07,535,FAIL_DEAD_SENSOR
delhi_sw_gw,Jaffarpur Kalan-2,28.587139,76.924383,3047,2022-11-04 18:05:00,2025-07-14 06:00:00,1.0,0.9997,0.8098,99.98,796,FAIL_DEAD_SENSOR
delhi_sw_gw,Janak Puri BPS,28.626821,77.094117,20,2023-03-06 10:35:00,2024-02-11 20:30:00,1.0,0.95,0.0175,213.35,6,FAIL_DEAD_SENSOR
delhi_sw_gw,Janakpuri C-2 BPS,28.623384,77.085892,732,2023-11-24 12:00:00,2024-05-26 06:00:00,0.4426,0.4413,1.0054,1.25,185,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,Jat khor,28.783938,76.975912,250,2023-03-08 10:42:00,2023-05-22 12:00:00,1.0,0.996,0.8289,14.09,63,FAIL_DEAD_SENSOR
delhi_sw_gw,Jaunti_1,28.751257,76.962865,1004,2024-06-01 06:15:00,2025-05-23 18:00:00,0.0,0.1026,0.7031,78.25,251,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,Kair Viilage,28.623046,76.921139,1985,2023-02-16 20:42:00,2025-01-26 12:00:00,1.0,0.9995,0.7197,94.25,511,FAIL_DEAD_SENSOR
delhi_sw_gw,Kanjawala Village-2,28.74029,77.005833,350,2023-03-06 15:35:00,2023-06-29 06:13:00,1.0,0.9971,0.7913,15.76,91,FAIL_DEAD_SENSOR
delhi_sw_gw,Karala Village,28.738172,77.036871,1653,2023-03-06 15:12:00,2024-06-12 00:00:00,1.0,0.9994,0.9052,16.25,420,FAIL_DEAD_SENSOR
delhi_sw_gw,Keshopur (Hastal),28.654241,77.086034,2396,2023-03-06 15:08:00,2025-02-22 18:00:00,1.0,0.9996,0.8333,81.25,600,FAIL_DEAD_SENSOR
delhi_sw_gw,Khayala Jal Board,28.655815,77.107821,1996,2023-10-26 00:00:00,2025-07-14 18:00:00,1.0,0.9995,0.7946,67.25,499,FAIL_DEAD_SENSOR
delhi_sw_gw,Khera Kalan_1,28.770901,77.111818,1896,2023-12-08 06:00:00,2025-07-15 00:00:00,0.1429,0.2822,0.8444,79.25,494,PASS_WITH_GAPS
delhi_sw_gw,Madanpur Dabas-2,28.713549,77.024083,1056,2023-03-08 10:40:00,2024-08-01 12:00:00,1.0,0.9991,0.5224,206.11,268,FAIL_DEAD_SENSOR
delhi_sw_gw,Malikpur_2,28.549226,76.899343,2133,2023-04-04 06:00:00,2025-04-17 12:00:00,1.0,0.9995,0.7369,105.62,549,FAIL_DEAD_SENSOR
delhi_sw_gw,Mayapuri Phase-2,28.6225,77.123768,2678,2023-03-08 10:46:00,2025-07-14 12:00:00,1.0,0.9996,0.8023,79.5,690,FAIL_DEAD_SENSOR
delhi_sw_gw,Mitroan Village,28.606988,76.949855,1550,2023-04-05 00:00:00,2024-06-17 12:00:00,1.0,0.9994,0.8841,51.25,389,FAIL_DEAD_SENSOR
delhi_sw_gw,Mungeshpur_1,28.815643,76.973015,2496,2023-03-06 15:57:00,2025-03-10 12:00:00,1.0,0.9996,0.8803,55.0,647,FAIL_DEAD_SENSOR
delhi_sw_gw,Nangal Thakuran Village 1,28.798778,77.009323,1352,2023-03-06 11:39:00,2024-02-26 06:00:00,1.0,0.9993,0.9664,14.0,345,FAIL_DEAD_SENSOR
delhi_sw_gw,Nangal Thakuran Village-2,28.806685,77.008927,2387,2023-03-06 16:10:00,2025-05-22 18:00:00,1.0,0.9996,0.7478,182.25,605,FAIL_DEAD_SENSOR
delhi_sw_gw,Naya Bans,28.783548,77.096035,1870,2023-10-26 00:00:00,2025-07-14 12:00:00,1.0,0.9995,0.7596,133.25,477,FAIL_DEAD_SENSOR
delhi_sw_gw,Neelwal,28.667911,76.976996,377,2023-06-01 12:00:00,2023-09-03 06:00:00,1.0,0.9973,1.0106,0.5,95,FAIL_DEAD_SENSOR
delhi_sw_gw,New Delhi Bakkarwala Bakkarwala,28.667358,77.012916,2733,2022-08-30 18:00:00,2024-08-01 00:00:00,0.0,0.0241,0.9972,2.25,700,PASS
delhi_sw_gw,New Delhi Daurala Daurala,28.510715,76.894526,2709,2022-08-22 18:00:00,2025-10-14 12:00:00,0.0,0.4053,0.6171,224.5,709,PASS_WITH_GAPS
delhi_sw_gw,New Delhi DSIIDC DSIIDC,28.810556,77.081947,3191,2022-08-18 18:00:00,2025-02-19 12:00:00,0.0,0.0232,0.9061,78.75,830,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Hiranki Hiranki 11500,28.799725,77.863054,1449,2023-03-30 18:00:00,2024-06-27 12:00:00,0.0,0.0186,0.8,93.65,364,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,New Delhi Hiranki Hiranki 12500,28.775829,77.204692,2152,2023-03-30 18:00:00,2025-09-03 00:00:00,0.0,0.0112,0.6667,181.25,592,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Hiranki Hiranki 13500,28.874166,77.70472,330,2023-04-14 18:00:00,2023-07-06 12:00:00,0.0,0.0424,1.012,0.5,84,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,New Delhi Hiranki Hiranki 14500,28.478332,77.448893,1208,2023-03-30 18:00:00,2024-01-27 12:00:00,0.0,0.0141,1.0033,0.75,304,FAIL_INSUFFICIENT_RECORD
delhi_sw_gw,New Delhi Hiranki Hiranki 16000,28.790555,77.462778,2909,2023-03-30 18:00:00,2025-10-12 00:00:00,0.0,0.0103,0.8425,111.75,781,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD1450,28.7432,77.7138,2343,2023-03-27 06:00:00,2025-03-12 06:00:00,0.0,0.0162,0.8591,80.5,616,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD2800,28.716111,77.83278,2257,2023-08-03 14:17:00,2025-08-17 12:00:00,0.0,0.0758,0.8201,88.25,611,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD3750,28.697777,77.665558,1895,2023-03-30 18:00:00,2025-08-22 00:00:00,0.0,0.0069,0.5845,182.25,512,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Khera Khurd Khera Khurd,28.78139,77.095556,3090,2022-08-17 18:00:00,2025-01-12 14:45:00,0.0,0.0045,0.9078,79.0,798,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Libaspur Libaspur,28.751926,77.151187,1769,2023-05-25 06:00:00,2025-02-06 12:00:00,0.0,0.0254,0.7628,78.75,476,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Mundella kalan Mundella kalan,28.610835,76.894722,2933,2022-08-16 18:00:00,2024-12-09 00:00:00,0.0,0.2185,0.9043,78.75,765,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Mungeshpur Mungeshpur,28.516277,77.060958,3852,2022-08-27 18:00:00,2025-10-01 12:00:00,0.0,0.0138,0.9072,78.75,1026,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Nangli Sarkrawati,28.619167,77.000275,3485,2022-06-19 18:00:00,2025-05-24 12:00:00,0.0,0.0143,0.8617,78.75,922,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Nizampur Nizampur,28.719166,76.959724,1709,2022-08-17 18:00:00,2023-10-28 00:00:00,0.0,0.0193,0.9977,2.25,436,PASS
delhi_sw_gw,New Delhi Salahpur Salahpur,28.516111,77.060838,3497,2022-08-17 18:00:00,2025-06-15 00:00:00,0.0,0.2202,0.8945,78.25,924,PASS_WITH_GAPS
delhi_sw_gw,New Delhi Sultanpur Dabas,28.765278,77.038054,2798,2022-08-17 18:00:00,2024-08-01 00:00:00,0.0,0.02,0.9986,2.25,714,PASS
delhi_sw_gw,Nilothi STP/Lake,28.3924,77.0251,359,2022-11-04 17:11:00,2023-05-05 00:00:00,1.0,0.9972,0.4945,94.05,90,FAIL_DEAD_SENSOR
delhi_sw_gw,Nizampur-2,28.714187,76.961263,1520,2023-04-03 12:00:00,2024-05-30 00:00:00,1.0,0.9993,0.9054,42.25,383,FAIL_DEAD_SENSOR
