station_key,state,site_name,latitude,longitude,well_type,n_seasons,dist_km_H001,dist_km_H004,dist_km_H002,dist_km_H003,min_dist_km_to_any,within_2km,within_5km,within_10km,within_20km
Baghpat    Baghpat         Sisana             Sisana|28.964|77.2177,Uttar Pradesh,Baghpat    Baghpat         Sisana             Sisana,28.964,77.2177,Dug Well,1,51.00139403289889,50.43773248563531,21.6991873084651,22.281043422070066,21.6991873084651,False,False,False,False
Baghpat    Baraut          Baraut             Baraut|29.1071|77.2642,Uttar Pradesh,Baghpat    Baraut          Baraut             Baraut,29.1071,77.2642,Dug Well,1,67.54219790923581,66.96787522602838,37.38624133395669,38.19519803575624,37.38624133395669,False,False,False,False
Baghpat    Baraut          Shahpur            Shahpur|29.0745|77.2522,Uttar Pradesh,Baghpat    Baraut          Shahpur            Shahpur,29.0745,77.2522,unspecified,1,63.73813928870428,63.160005190459714,33.670347766570295,34.451886408826645,33.670347766570295,False,False,False,False
Baghpat    Binauli         Binauli            Binauli|29.0931|77.3996,Uttar Pradesh,Baghpat    Binauli         Binauli            Binauli,29.0931,77.3996,unspecified,1,70.75177176767488,70.70547453934111,44.289562442922815,44.71499944648599,44.289562442922815,False,False,False,False
Baghpat    Khekra          Khekhra            Khekhra Pz|28.874|77.275,Uttar Pradesh,Baghpat    Khekra          Khekhra            Khekhra Pz,28.874,77.275,Bore Well,1,43.541938397551334,43.51929519278869,20.68639170648305,20.466607715222093,20.466607715222093,False,False,False,False
Baghpat    Pilana          Doula              Doula|28.9569|77.3362,Uttar Pradesh,Baghpat    Pilana          Doula              Doula,28.9569,77.3362,unspecified,1,54.45003438812842,54.47981199504894,30.040358270105056,30.151682945807366,30.040358270105056,False,False,False,False
Baghpat    Pilana          Pilana             Pilana Pz|28.951|77.418,Uttar Pradesh,Baghpat    Pilana          Pilana             Pilana Pz,28.951,77.418,Bore Well,2,57.980513559586406,58.369333714535216,36.78392762633895,36.693882571563,36.693882571563,False,False,False,False
Baghpat    Pilana          Pilana            Pilana Pz|28.951|77.418,Uttar Pradesh,Baghpat    Pilana          Pilana            Pilana Pz,28.951,77.418,Bore Well,1,57.980513559586406,58.369333714535216,36.78392762633895,36.693882571563,36.693882571563,False,False,False,False
Central     CIVIL LINES                          ISBT (Kasmi|28.66444|77.23444,Delhi,Central     CIVIL LINES                          ISBT (Kasmi,28.66444,77.23444,unspecified,1,21.84583204956713,22.76328754479297,22.961651509207694,21.49968663281913,21.49968663281913,False,False,False,False
Central     CIVIL LINES                          Majnu Ka Ti|28.69583|77.22777,Delhi,Central     CIVIL LINES                          Majnu Ka Ti,28.69583,77.22777,unspecified,1,24.11431865352782,24.692515868320505,20.058472264575894,18.642260838467248,18.642260838467248,False,False,False,True
Central     CIVIL LINES    Burari                Burari DJB|28.73305|77.19722,Delhi,Central     CIVIL LINES    Burari                Burari DJB ,28.73305,77.19722,unspecified,1,26.132821898810178,26.17088113776447,15.127691231648335,13.760212906833024,13.760212906833024,False,False,False,True
Central     CIVIL LINES    Isbt Kasmiri Gate     Khela Ghat|28.66444|77.23444,Delhi,Central     CIVIL LINES    Isbt Kasmiri Gate     Khela Ghat ,28.66444,77.23444,unspecified,1,21.84583204956713,22.76328754479297,22.961651509207694,21.49968663281913,21.49968663281913,False,False,False,False
Central     CIVIL LINES    Jagatpur              Jagatpur Pz|28.74|77.2225,Delhi,Central     CIVIL LINES    Jagatpur              Jagatpur Pz,28.74,77.2225,Bore Well,1,27.96137473084803,28.18174040374735,16.757214812633308,15.483930446779938,15.483930446779938,False,False,False,True
