producer,station,lat,lon,n_obs,first,last,exact_zero_fraction,constant_fraction,coverage_fraction,longest_gap_days,n_days,qc_class,d_H001,d_H004,d_H002,d_H003,min_d
delhi_sw_gw,Alipur_4,28.799178,77.137048,1893,2023-12-08 18:00:00,2025-07-14 12:00:00,0.1437,0.1622,0.8442,78.25,493,PASS_WITH_GAPS,31.384740830612472,30.618737712928088,6.442964094024729,5.48050756265414,5.48050756265414
delhi_sw_gw,Burari_2,28.756228,77.196368,1920,2023-12-08 18:00:00,2025-07-14 12:00:00,0.1396,0.2057,0.8579,79.25,501,PASS_WITH_GAPS,28.444478474266266,28.349772433985297,13.651980653013375,12.402361636435483,12.402361636435483
delhi_sw_gw,Khera Kalan_1,28.770901,77.111818,1896,2023-12-08 06:00:00,2025-07-15 00:00:00,0.1429,0.2822,0.8444,79.25,494,PASS_WITH_GAPS,27.92477792744884,26.98753290476309,6.1811415503805724,4.690272213182449,4.690272213182449
delhi_sw_gw,New Delhi Bakkarwala Bakkarwala,28.667358,77.012916,2733,2022-08-30 18:00:00,2024-08-01 00:00:00,0.0,0.0241,0.9972,2.25,700,PASS,17.57000136460294,15.472844159737507,17.46824579497145,16.509473296126213,15.472844159737507
delhi_sw_gw,New Delhi Daurala Daurala,28.510715,76.894526,2709,2022-08-22 18:00:00,2025-10-14 12:00:00,0.0,0.4053,0.6171,224.5,709,PASS_WITH_GAPS,18.28602367701979,15.916717015105615,38.09517419543758,37.27628801902016,15.916717015105615
delhi_sw_gw,New Delhi DSIIDC DSIIDC,28.810556,77.081947,3191,2022-08-18 18:00:00,2025-02-19 12:00:00,0.0,0.0232,0.9061,78.75,830,PASS_WITH_GAPS,32.17502555968541,30.938099827604603,0.9715752669463301,0.8120904599610209,0.8120904599610209
delhi_sw_gw,New Delhi Hiranki Hiranki 12500,28.775829,77.204692,2152,2023-03-30 18:00:00,2025-09-03 00:00:00,0.0,0.0112,0.6667,181.25,592,PASS_WITH_GAPS,30.76745017596618,30.650997360897495,13.512846947748908,12.434901541071202,12.434901541071202
delhi_sw_gw,New Delhi Hiranki Hiranki 16000,28.790555,77.462778,2909,2023-03-30 18:00:00,2025-10-12 00:00:00,0.0,0.0103,0.8425,111.75,781,PASS_WITH_GAPS,47.77652393137981,48.97095364203167,38.02943478752619,37.228890919440474,37.228890919440474
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD1450,28.7432,77.7138,2343,2023-03-27 06:00:00,2025-03-12 06:00:00,0.0,0.0162,0.8591,80.5,616,PASS_WITH_GAPS,66.48298896300174,68.36201523265937,62.915299941745936,62.03739663918709,62.03739663918709
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD2800,28.716111,77.83278,2257,2023-08-03 14:17:00,2025-08-17 12:00:00,0.0,0.0758,0.8201,88.25,611,PASS_WITH_GAPS,76.48669000340257,78.55133035931621,74.82490005306563,73.92088135165977,73.92088135165977
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD3750,28.697777,77.665558,1895,2023-03-30 18:00:00,2025-08-22 00:00:00,0.0,0.0069,0.5845,182.25,512,PASS_WITH_GAPS,60.31938613837352,62.30400628556166,59.173213597265445,58.18229380523101,58.18229380523101
delhi_sw_gw,New Delhi Khera Khurd Khera Khurd,28.78139,77.095556,3090,2022-08-17 18:00:00,2025-01-12 14:45:00,0.0,0.0045,0.9078,79.0,798,PASS_WITH_GAPS,28.9652717326741,27.863253473741896,4.330463714842894,2.8191303547484505,2.8191303547484505
delhi_sw_gw,New Delhi Libaspur Libaspur,28.751926,77.151187,1769,2023-05-25 06:00:00,2025-02-06 12:00:00,0.0,0.0254,0.7628,78.75,476,PASS_WITH_GAPS,26.54672947932038,26.045361602095102,10.335535921150028,8.912144185033057,8.912144185033057
delhi_sw_gw,New Delhi Mundella kalan Mundella kalan,28.610835,76.894722,2933,2022-08-16 18:00:00,2024-12-09 00:00:00,0.0,0.2185,0.9043,78.75,765,PASS_WITH_GAPS,20.76885919766514,17.903342964456872,28.642101863609042,28.07238672707089,17.903342964456872
delhi_sw_gw,New Delhi Mungeshpur Mungeshpur,28.516277,77.060958,3852,2022-08-27 18:00:00,2025-10-01 12:00:00,0.0,0.0138,0.9072,78.75,1026,PASS_WITH_GAPS,2.0614796471918826,1.9692184715094738,33.26128388876907,31.975399024901836,1.9692184715094738
delhi_sw_gw,New Delhi Nangli Sarkrawati,28.619167,77.000275,3485,2022-06-19 18:00:00,2025-05-24 12:00:00,0.0,0.0143,0.8617,78.75,922,PASS_WITH_GAPS,13.463836044813549,10.960837545021095,22.93772649576979,21.936057593437624,10.960837545021095
delhi_sw_gw,New Delhi Nizampur Nizampur,28.719166,76.959724,1709,2022-08-17 18:00:00,2023-10-28 00:00:00,0.0,0.0193,0.9977,2.25,436,PASS,25.007750996398528,22.67914994453043,15.395361053473392,15.075565080840514,15.075565080840514
delhi_sw_gw,New Delhi Salahpur Salahpur,28.516111,77.060838,3497,2022-08-17 18:00:00,2025-06-15 00:00:00,0.0,0.2202,0.8945,78.25,924,PASS_WITH_GAPS,2.077737965744315,1.9837960717988523,33.28016236860364,31.99454076032495,1.9837960717988523
delhi_sw_gw,New Delhi Sultanpur Dabas,28.765278,77.038054,2798,2022-08-17 18:00:00,2024-08-01 00:00:00,0.0,0.02,0.9986,2.25,714,PASS,27.46643248842882,25.850288171544616,6.538050956277463,5.949100180867912,5.949100180867912
