producer,station,n,min_value,max_value,n_negative,n_exact_zero,frac_constant_on_runs,duplicate_timestamps,abrupt_jump_gt_10m
delhi_sw_gw,40 MGD Nilothi STP,1995,0.0,0.0,0,1995,1.0,0,0
delhi_sw_gw,Akshardham P-6 Rainywell,792,3.162,999.0,0,0,0.118,0,4
delhi_sw_gw,Alipur_4,1893,0.0,9.833,0,272,0.162,0,0
delhi_sw_gw,Bakhtawarpur Village,1648,0.0,999.0,0,272,0.968,0,2
delhi_sw_gw,Bakkargarh Village,649,0.0,0.0,0,649,1.0,0,0
delhi_sw_gw,Baktavarpur 2,96,0.0,0.0,0,96,1.0,0,0
delhi_sw_gw,Barwala_4,2810,0.0,0.0,0,2810,1.0,0,0
delhi_sw_gw,Bawana WTP,2865,0.0,0.0,0,2865,1.0,0,0
delhi_sw_gw,Beri Wala Bagh,1153,0.0,0.0,0,1153,1.0,0,0
delhi_sw_gw,Bhagirathi WTP,1557,0.0,0.0,0,1557,1.0,0,0
delhi_sw_gw,Bhalaswa Lake,2621,0.0,0.0,0,2621,1.0,0,0
delhi_sw_gw,Bindapur Jal board Uttam Nagar,2472,0.0,0.0,0,2472,1.0,0,0
delhi_sw_gw,Budhanpur Majra,577,0.0,4.538,0,190,0.438,0,0
delhi_sw_gw,Budhpur_1,1398,0.0,0.0,0,1398,1.0,0,0
delhi_sw_gw,Burari_2,1920,0.0,5.586,0,268,0.206,0,0
delhi_sw_gw,Burari A-5 Rainy well,600,0.0,0.0,0,600,1.0,0,0
delhi_sw_gw,Burari Jal Board,2048,0.0,0.0,0,2048,1.0,0,0
delhi_sw_gw,Chatesar_1,2920,0.0,0.0,0,2920,1.0,0,0
delhi_sw_gw,Chawla Village 1,1993,0.0,0.0,0,1993,1.0,0,0
delhi_sw_gw,Chhawla Village-2,3033,0.0,0.0,0,3033,1.0,0,0
delhi_sw_gw,Chhawla Village-3,2895,0.0,0.0,0,2895,1.0,0,0
delhi_sw_gw,Coronational Piller STP,2052,0.0,0.0,0,2052,1.0,0,0
delhi_sw_gw,Daulatpur Site,1580,0.0,0.0,0,1580,1.0,0,0
delhi_sw_gw,Dwarka Site STP,2463,0.0,0.0,0,2463,1.0,0,0
delhi_sw_gw,Dwarka WTP,2510,0.0,0.0,0,2510,1.0,0,0
delhi_sw_gw,Garhi Randala,2933,0.0,0.0,0,2933,1.0,0,0
delhi_sw_gw,Ghalibpur_1,1571,0.0,0.0,0,1571,1.0,0,0
delhi_sw_gw,Ghummanhera,64,0.0,0.0,0,64,1.0,0,0
delhi_sw_gw,Hamidpur_1,2723,0.0,0.0,0,2723,1.0,0,0
delhi_sw_gw,Hiranki_2,2180,0.0,0.0,0,2180,1.0,0,0
delhi_sw_gw,Hiranki jal Board,1244,0.0,0.0,0,1244,1.0,0,0
delhi_sw_gw,Holambi Kalan-1,2357,0.0,0.0,0,2357,1.0,0,0
delhi_sw_gw,Holambi Kalan-2,421,0.0,0.0,0,421,1.0,0,0
delhi_sw_gw,ITO V-7 Rainywell,267,0.0,0.0,0,267,1.0,0,0
delhi_sw_gw,Jaffarpur Kalan-1,2013,0.0,0.0,0,2013,1.0,0,0
delhi_sw_gw,Jaffarpur Kalan-2,3047,0.0,0.0,0,3047,1.0,0,0
delhi_sw_gw,Janak Puri BPS,20,0.0,0.0,0,20,1.0,0,0
delhi_sw_gw,Janakpuri C-2 BPS,732,0.0,5.659,0,324,0.442,0,0
delhi_sw_gw,Jat khor,250,0.0,0.0,0,250,1.0,0,0
delhi_sw_gw,Jaunti_1,1004,4.508,5.243,0,0,0.103,0,0
delhi_sw_gw,Kair Viilage,1985,0.0,0.0,0,1985,1.0,0,0
delhi_sw_gw,Kanjawala Village-2,350,0.0,0.0,0,350,1.0,0,0
delhi_sw_gw,Karala Village,1653,0.0,0.0,0,1653,1.0,0,0
delhi_sw_gw,Keshopur (Hastal),2396,0.0,0.0,0,2396,1.0,0,0
delhi_sw_gw,Khayala Jal Board,1996,0.0,0.0,0,1996,1.0,0,0
delhi_sw_gw,Khera Kalan_1,1896,0.0,13.033,0,271,0.282,0,1
delhi_sw_gw,Madanpur Dabas-2,1056,0.0,0.0,0,1056,1.0,0,0
delhi_sw_gw,Malikpur_2,2133,0.0,0.0,0,2133,1.0,0,0
delhi_sw_gw,Mayapuri Phase-2,2678,0.0,0.0,0,2678,1.0,0,0
delhi_sw_gw,Mitroan Village,1550,0.0,0.0,0,1550,1.0,0,0
delhi_sw_gw,Mungeshpur_1,2496,0.0,0.0,0,2496,1.0,0,0
delhi_sw_gw,Nangal Thakuran Village 1,1352,0.0,0.0,0,1352,1.0,0,0
delhi_sw_gw,Nangal Thakuran Village-2,2387,0.0,0.0,0,2387,1.0,0,0
delhi_sw_gw,Naya Bans,1870,0.0,0.0,0,1870,1.0,0,0
delhi_sw_gw,Neelwal,377,0.0,0.0,0,377,1.0,0,0
delhi_sw_gw,New Delhi Bakkarwala Bakkarwala,2733,-847.345,-0.576,2733,0,0.024,0,2
delhi_sw_gw,New Delhi Daurala Daurala,2709,22.7,26.9,0,0,0.405,0,0
delhi_sw_gw,New Delhi DSIIDC DSIIDC,3191,-18.44,-16.839,3191,0,0.023,0,0
delhi_sw_gw,New Delhi Hiranki Hiranki 11500,1449,-8.925,-0.969,1449,0,0.019,0,0
delhi_sw_gw,New Delhi Hiranki Hiranki 12500,2152,-10.645,-3.143,2152,0,0.011,0,0
delhi_sw_gw,New Delhi Hiranki Hiranki 13500,330,-15.188,-4.009,330,0,0.043,0,2
delhi_sw_gw,New Delhi Hiranki Hiranki 14500,1208,-4.323,0.577,1196,0,0.014,0,0
delhi_sw_gw,New Delhi Hiranki Hiranki 16000,2909,-7.01,-2.009,2909,0,0.01,0,0
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD1450,2343,-4.43,0.186,2342,0,0.016,0,0
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD2800,2257,-2.818,24.5,2067,0,0.076,0,1
delhi_sw_gw,New Delhi Jagatpur Jagatpur RD3750,1895,-2.497,0.167,1890,0,0.007,0,0
delhi_sw_gw,New Delhi Khera Khurd Khera Khurd,3090,-18.675,0.432,3054,0,0.005,0,1
delhi_sw_gw,New Delhi Libaspur Libaspur,1769,-7.208,-6.139,1769,0,0.025,0,0
delhi_sw_gw,New Delhi Mundella kalan Mundella kalan,2933,-8.425,25.0,1350,0,0.219,0,1
delhi_sw_gw,New Delhi Mungeshpur Mungeshpur,3852,-4.609,-2.12,3852,0,0.014,0,0
delhi_sw_gw,New Delhi Nangli Sarkrawati,3485,-18.052,-13.777,3485,0,0.014,0,0
delhi_sw_gw,New Delhi Nizampur Nizampur,1709,-2.832,1.217,1532,0,0.019,0,0
delhi_sw_gw,New Delhi Salahpur Salahpur,3497,-21.302,25.8,1923,0,0.22,0,1
delhi_sw_gw,New Delhi Sultanpur Dabas,2798,-7.295,-2.887,2798,0,0.02,0,0
delhi_sw_gw,Nilothi STP/Lake,359,0.0,0.0,0,359,1.0,0,0
delhi_sw_gw,Nizampur-2,1520,0.0,0.0,0,1520,1.0,0,0
