producer,station_id,station_name,agency,district,latitude,longitude,record_start,record_end,observation_count,observations_in_study_period,median_sampling_hours,min_interval_hours,max_routine_interval_hours,largest_gap_hours,study_period_coverage_pct,observed_expected_ratio,months_represented,dist_H001_km,dist_H004_km,dist_H002_km,dist_H003_km,min_dist_km
delhi_sw_gw,delhi_sw_gw:40 MGD Nilothi STP,40 MGD Nilothi STP,Delhi SW GW,WEST,28.656607,77.055383,2022-11-04 17:26:00,2024-07-31 06:00:00,1995,1995,6.0,0.017,6.0,2258.117,78.6,0.786,18,15.268,13.711,17.723,16.502,13.711
delhi_sw_gw,delhi_sw_gw:Akshardham P-6 Rainywell,Akshardham P-6 Rainywell,Delhi SW GW,EAST,28.616121,77.28266,2024-01-02 12:00:00,2024-07-20 00:00:00,792,792,6.0,0.017,6.0,30.0,99.25,0.9925,7,22.318,24.027,30.101,28.635,22.318
delhi_sw_gw,delhi_sw_gw:Alipur_4,Alipur_4,Delhi SW GW,NORTH WEST,28.799178,77.137048,2023-12-08 18:00:00,2025-07-14 12:00:00,1893,1893,6.0,6.0,30.0,1878.0,81.07,0.8107,19,31.385,30.619,6.443,5.481,5.481
delhi_sw_gw,delhi_sw_gw:Bakhtawarpur Village,Bakhtawarpur Village,Delhi SW GW,NORTH WEST,28.830845,77.179796,2023-12-08 00:00:00,2025-07-14 18:00:00,1648,1648,6.0,6.0,6.0,3822.0,70.46,0.7046,15,35.747,35.241,10.5,10.101,10.101
delhi_sw_gw,delhi_sw_gw:Bakkargarh Village,Bakkargarh Village,Delhi SW GW,SOUTH WEST,28.593893,76.876161,2022-11-04 17:56:00,2024-04-16 06:00:00,649,649,6.0,0.017,6.0,5642.217,30.7,0.307,10,21.604,18.757,31.241,30.682,18.757
delhi_sw_gw,delhi_sw_gw:Baktavarpur 2,Baktavarpur 2,Delhi SW GW,NORTH WEST,28.827877,77.162431,2023-03-06 12:42:00,2023-05-29 00:00:00,96,96,6.0,0.017,93.294,1460.9,28.75,0.2875,2,35.007,34.379,8.778,8.391,8.391
delhi_sw_gw,delhi_sw_gw:Barwala_4,Barwala_4,Delhi SW GW,NORTH,28.764122,77.062335,2023-03-06 10:16:00,2025-07-14 06:00:00,2810,2810,6.0,0.017,6.0,1878.0,81.61,0.8161,28,27.075,25.675,5.783,4.721,4.721
delhi_sw_gw,delhi_sw_gw:Bawana WTP,Bawana WTP,Delhi SW GW,NORTH WEST,28.815964,7.057178,2023-03-08 12:29:00,2025-07-14 00:00:00,2865,2865,6.0,0.017,30.0,1878.0,83.43,0.8343,28,6722.038,6719.209,6710.817,6711.932,6710.817
delhi_sw_gw,delhi_sw_gw:Beri Wala Bagh,Beri Wala Bagh,Delhi SW GW,WEST,28.619525,77.107,2023-10-25 06:00:00,2024-11-04 00:00:00,1153,1153,6.0,6.0,6.0,1902.0,76.71,0.7671,13,11.218,10.831,22.002,20.592,10.831
delhi_sw_gw,delhi_sw_gw:Bhagirathi WTP,Bhagirathi WTP,Delhi SW GW,NORTH EAST,28.704129,77.274827,2023-03-06 12:50:00,2024-05-28 12:00:00,1557,1557,6.0,0.017,6.0,1365.983,86.7,0.867,14,27.76,28.628,23.188,21.878,21.878
delhi_sw_gw,delhi_sw_gw:Bhalaswa Lake,Bhalaswa Lake,Delhi SW GW,NORTH WEST,28.743598,77.173068,2023-03-06 15:04:00,2025-07-12 12:00:00,2621,2621,6.0,0.017,6.0,4134.0,76.29,0.7629,25,26.301,26.052,12.552,11.162,11.162
delhi_sw_gw,delhi_sw_gw:Bindapur Jal board Uttam Nagar,Bindapur Jal board Uttam Nagar,Delhi SW GW,SOUTH WEST,28.612391,77.073364,2023-03-06 12:58:00,2025-07-06 00:00:00,2472,2472,6.0,0.017,30.0,3294.0,72.5,0.725,26,10.17,8.968,22.551,21.241,8.968
delhi_sw_gw,delhi_sw_gw:Budhanpur Majra,Budhanpur Majra,Delhi SW GW,NORTH WEST,28.767782,77.002478,2023-12-08 00:00:00,2024-05-03 18:00:00,577,577,6.0,6.0,12.0,12.0,97.63,0.9763,6,28.477,26.58,8.701,8.611,8.611
delhi_sw_gw,delhi_sw_gw:Budhpur_1,Budhpur_1,Delhi SW GW,NORTH WEST,28.782182,77.135933,2023-10-24 18:00:00,2025-05-12 12:00:00,1398,1398,6.0,5.983,6.0,4974.0,61.78,0.6178,14,29.506,28.768,7.106,5.845,5.845
delhi_sw_gw,delhi_sw_gw:Burari_2,Burari_2,Delhi SW GW,NORTH EAST,28.756228,77.196368,2023-12-08 18:00:00,2025-07-14 12:00:00,1920,1920,6.0,5.983,26.76,1902.0,82.23,0.8223,18,28.444,28.35,13.652,12.402,12.402
delhi_sw_gw,delhi_sw_gw:Burari A-5 Rainy well,Burari A-5 Rainy well,Delhi SW GW,NORTH EAST,28.76879,77.206413,2024-04-03 18:00:00,2024-11-22 06:00:00,600,600,6.0,0.017,12.36,1878.0,64.52,0.6452,7,30.117,30.047,13.942,12.81,12.81
delhi_sw_gw,delhi_sw_gw:Burari Jal Board,Burari Jal Board,Delhi SW GW,NORTH,28.733406,77.197952,2023-10-26 00:00:00,2025-07-14 18:00:00,2048,2048,6.0,6.0,6.0,1902.0,81.56,0.8156,20,26.199,26.242,15.161,13.797,13.797
delhi_sw_gw,delhi_sw_gw:Chatesar_1,Chatesar_1,Delhi SW GW,NORTH WEST,28.757685,76.96282,2023-03-04 12:43:00,2025-07-14 12:00:00,2920,2920,6.0,0.017,30.0,1878.0,84.59,0.8459,28,28.726,26.536,12.54,12.585,12.54
delhi_sw_gw,delhi_sw_gw:Chawla Village 1,Chawla Village 1,Delhi SW GW,SOUTH WEST,28.55598,77.006781,2022-11-04 16:33:00,2025-07-14 00:00:00,1993,1993,6.0,0.033,30.0,8494.933,50.72,0.5072,22,8.243,5.377,29.55,28.438,5.377
delhi_sw_gw,delhi_sw_gw:Chhawla Village-2,Chhawla Village-2,Delhi SW GW,SOUTH WEST,28.564256,77.002377,2022-11-04 18:00:00,2025-07-14 06:00:00,3033,3033,6.0,0.05,26.28,2354.883,77.18,0.7718,30,9.075,6.219,28.753,27.665,6.219
delhi_sw_gw,delhi_sw_gw:Chhawla Village-3,Chhawla Village-3,Delhi SW GW,NORTH WEST,28.562713,77.008146,2023-03-06 14:37:00,2025-07-14 18:00:00,2895,2895,6.0,0.017,7.696,1902.0,84.05,0.8405,27,8.507,5.657,28.79,27.68,5.657
delhi_sw_gw,delhi_sw_gw:Coronational Piller STP,Coronational Piller STP,Delhi SW GW,NORTH,28.724068,77.192602,2023-10-26 00:00:00,2025-07-13 18:00:00,2052,2052,6.0,5.983,30.0,1902.0,81.85,0.8185,20,25.038,25.086,15.409,13.999,13.999
