block_row,block_col,window_row,window_col,full_grid_row,full_grid_col,lon,lat,n_pixels,median_temporal_coherence,median_velocity_m_per_yr,median_velocity_std,stable_candidate
0,240,30,270,778,946,76.90263,28.86196,3269,0.3633,-0.03991,0.00278,False
0,300,30,330,778,1006,76.92722,28.86161,2779,0.4168,-0.03759,0.00242,False
0,360,30,390,778,1066,76.95182,28.86126,2290,0.5213,-0.03334,0.00209,False
0,420,30,450,778,1126,76.97641,28.8609,1800,0.4282,-0.03534,0.00187,False
0,480,30,510,778,1186,77.001,28.86054,1312,0.466,-0.02327,0.00185,False
0,540,30,570,778,1246,77.0256,28.86017,821,0.3098,-0.04617,0.00211,False
60,180,90,210,838,886,76.87765,28.84066,1021,0.4406,-0.03487,0.00239,False
60,240,90,270,838,946,76.90224,28.84031,3600,0.3752,-0.03284,0.00243,False
60,300,90,330,838,1006,76.92682,28.83996,3600,0.6239,-0.03021,0.00209,False
60,360,90,390,838,1066,76.95141,28.83961,3600,0.6784,-0.0199,0.00173,False
60,420,90,450,838,1126,76.976,28.83925,3600,0.6211,-0.01752,0.0016,False
60,480,90,510,838,1186,77.00059,28.83889,3600,0.3867,-0.03465,0.00177,False
60,540,90,570,838,1246,77.02518,28.83852,3600,0.3452,-0.03185,0.00191,False
60,600,90,630,838,1306,77.04976,28.83815,3600,0.3707,-0.03353,0.00152,False
60,660,90,690,838,1366,77.07435,28.83777,3434,0.6832,-0.02095,0.00141,False
60,720,90,750,838,1426,77.09894,28.83739,2953,0.8629,-0.01297,0.00134,False
60,780,90,810,838,1486,77.12352,28.83701,2463,0.7501,-0.01439,0.00137,False
60,840,90,870,838,1546,77.14811,28.83662,1975,0.6368,-0.01817,0.00138,False
60,900,90,930,838,1606,77.17269,28.83622,1484,0.6516,-0.02211,0.00149,False
60,960,90,990,838,1666,77.19727,28.83583,996,0.5009,-0.03298,0.00151,False
60,1020,90,1050,838,1726,77.22186,28.83542,505,0.3859,-0.02982,0.00155,False
120,180,150,210,898,886,76.87726,28.819,1731,0.3599,-0.02768,0.00217,False
120,240,150,270,898,946,76.90184,28.81866,3600,0.4676,-0.02266,0.00193,False
120,300,150,330,898,1006,76.92643,28.81831,3600,0.6396,-0.02314,0.00181,False
120,360,150,390,898,1066,76.95101,28.81796,3600,0.5687,-0.02598,0.0017,False
120,420,150,450,898,1126,76.97559,28.8176,3600,0.5292,-0.02431,0.00166,False
120,480,150,510,898,1186,77.00018,28.81724,3600,0.4954,-0.02794,0.00151,False
120,540,150,570,898,1246,77.02476,28.81687,3600,0.3446,-0.02555,0.00148,False
120,600,150,630,898,1306,77.04934,28.8165,3600,0.5136,-0.02378,0.00132,False
120,660,150,690,898,1366,77.07392,28.81612,3600,0.7948,-0.01483,0.00124,False
120,720,150,750,898,1426,77.0985,28.81574,3600,0.7911,-0.01512,0.00127,False
120,780,150,810,898,1486,77.12308,28.81536,3600,0.7111,-0.0137,0.00129,False
120,840,150,870,898,1546,77.14766,28.81497,3600,0.8255,-0.0104,0.00126,False
120,900,150,930,898,1606,77.17224,28.81458,3600,0.682,-0.0174,0.00138,False
120,960,150,990,898,1666,77.19682,28.81418,3600,0.4404,-0.03396,0.00147,False
120,1020,150,1050,898,1726,77.2214,28.81378,3600,0.4235,-0.02235,0.00144,False
120,1080,150,1110,898,1786,77.24598,28.81337,3547,0.4088,-0.01799,0.00137,False
120,1140,150,1170,898,1846,77.27055,28.81296,3070,0.6887,-0.01063,0.00128,False
180,180,210,210,958,886,76.87687,28.79735,2441,0.3838,-0.0364,0.00188,False
